,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002475.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600809.SH,X600741.SH,X000661.SZ,X600183.SH,X002241.SZ,X600703.SH,X000596.SZ,X002007.SZ,X300003.SZ,X002236.SZ,X601877.SH,X000157.SZ,X300142.SZ,X000100.SZ,X000066.SZ,X002463.SZ,X002179.SZ,X002008.SZ,X300124.SZ,X600271.SH,X300136.SZ,X000625.SZ,X600867.SH,X002506.SZ,X600177.SH,X002129.SZ,X300014.SZ,X600498.SH,X000977.SZ,X600066.SH,X002049.SZ,X002456.SZ,X002180.SZ,X002371.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000625.SZ,0,0.0393115948286044,0,0.176618217962261,0.0383731224199255,0,0,0,0,0,0,0,0,0,0,0.0973674886968153,0,-0.102630016648486,0,0.0810030962169816,3.46944695195361e-18,0,0,0,0.0808836854415633,0,0,0,0,8.67361737988404e-19,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.133554731933808,0,0,0,0.00317246606862813,0.0424482086955223,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0.0440766329661017,0,0
X600867.SH,0,0,0,0,0,0,0,0,0.0309723237823858,0,0,0,0,0,0,0,0.0269078700250019,0,0,0.147317464199328,0,0,0,0.27080858189734,0,0,0,0.0744403809608749,0,-0.193716592948149,0,0,0,0,0,0,0,0,0,0,-0.000409710521320958,0,0,0.0295289770278573,0,0,0,0.221134050320556,0,0,0,-0.0545318886314181,0,0,0,0,0.119449058711959,0,0
X002506.SZ,0,0,0,0.164989111336805,0,0,0,0,0,0,0,0,0,0,0.0537735853187177,0,0,0,0,0.203265198233165,0,0,0,0,0,0,0,0,0,0,-0.132642074776999,0,0.0222713185433063,0,0.0558314973416328,0,0.0465043016544427,0,0,0,-0.204673272057088,-0.129436116794497,0,0,0,0,-0.0981627090223244,0,0.183489511706871,0,0,0,0,0,0,0,-0.0281173050864092,0,0
X600177.SH,0,0,0,0,0,0,0,-0.0754971380082452,0,0,0,0,0,0,0.0560081837402583,0.00555700584011614,0,0,0,0,0.0166880871842033,0.027690916293778,0,0,0,0,0,0,0,0.0150813932327931,0,0,0,0,0.0789149191950381,-0.029273816588126,0.004028070828414,0,0,0,0,0,0,0,0.0189147037261624,0,0.0822790951820727,0.0338769430605032,0,0.010537507704291,0,-0.00786432102979144,-0.0200542650119552,0,0,0,-0.0322712698825963,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152640808766907,0,0,0,0,0.0368109733660526,0,0,0,0,0,0,0.167127573307488,0,-0.397806331670611,0.146999639199675,0,8.67361737988404e-19,0,0,0,0,0,-0.141764696380322,0.522507811535146,0,0,0.148134557341396,0,-0.1139148271849,0.0197883751466259,0,0,0.0663377051009677,0,0,0,0,-0.00261167314999523,0,0
X300014.SZ,0,0,0,0,0,0,0.0123982533989671,-0.275879686005986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334689211048135,0,0,0,0,0,4.33680868994202e-19,0,0.223812943722311,0,0,0,0,0.377879709497531,0.445090475614963,0,0,-0.0372700492561508,0,0,0,0,0,-0.151714909275752,0,-0.0784920496722885,0,0,0,0,0,0,0,0.142523325604302,0,0
X600498.SH,0,0,0,0,0,0,-0.197201236429124,0,0,0.194054451239566,0,-0.179419086107588,0,0,0,0.0749899600062007,0,0,0,0,0.068913035184995,0,0,7.00124167730583e-05,0,0,0,0,0,0,0,0,0,0,0,0.0287927116927309,0,0,0,0,0.108392872228348,0,0,0.0996809965248532,0,0,0,0,0.0736217246352085,0,0,0.0331154962743529,-0.0180009958635821,0,0,0,0,0,0
X000977.SZ,0,0,0.0118452221877142,0,0,0,0.133128948207693,0,0,0,0,0,0.0162878693667671,0,0,0,0.193708858836895,0,-0.0810070107867946,0,0.223768788404406,0,0,0.0838538528306493,0,0,0,0.0892849971612001,0,0,0.0787011494709913,0.193482549471909,0,0,0,0,0,0.0788843652893212,0,0,0,0.110036897026237,0,0,0,0,0,0,0,0.178033661514833,0,0,-0.0474977121905309,0,0,0,0.0456949879272313,0,0
X600066.SH,0,0,0,0.0643509630594432,0,0,0,0,0,0.0156482936617273,0,0,0,0,0.178801231709407,0.139695935787732,-0.126015877144107,0,0,0,0,0,0,0,0,0,0,0,0,0.0169545504260763,0,0,-0.0340457503269726,0,0,0,0.232809469708095,0,0.0168261245370067,0,0,0,0,0,0,0,0,0,0.0119722078241767,0,0,0,0,0,0,0,0.00680525988155145,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258176095354942,0.171227559765375,0,0,0,0.0844248950521168,0,0,0,0,0.0537707612610625,0.128290445514149,0,0,0,0,0.134209235665407,0,0,0,0,0,0,0,0,0,0,0.151335652742726,0,0.111728800277154,0.122184092224366,0,2.16840434497101e-19,0,0,0,0,0.00641845509965449,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546905032509457,0.0763152023624677,0.141439172267441,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0.31707768917617,0,0,0,0,0.14945569176748,0,0,0,0.0602693539570361,0,0,0,0,0,0,-0.0625993929691805,0,0,0,0.117411197065596,0,0
X002180.SZ,0,0,0,0,0,0,0,-0.0434455580468342,0,0,0,0,0,0,0,0,-0.0252672979774732,0,0,0.22960852636423,0,0,0,0,0,0,0,0,0,0.309572442464507,-0.0805014223875012,0,0,0,0,0,0,0.121879424007939,0,0,-0.041828095625859,0,0,0.0649227403002935,0,0,0.121870089345931,0,0,0,0,-0.0288240332423159,0,0,0,0,-8.67361737988404e-19,0,0
