,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X002241.SZ,X002475.SZ,X000338.SZ,X600066.SH,X000100.SZ,X601877.SH,X002236.SZ,X600118.SH,X002456.SZ,X600271.SH,X000157.SZ,X300124.SZ,X600177.SH,X600372.SH,X600089.SH,X600522.SH,X002007.SZ,X002085.SZ,X002508.SZ,X000066.SZ,X000981.SZ,X300003.SZ,X600867.SH,X002294.SZ,X600699.SH,X000559.SZ,X002292.SZ,X300136.SZ,X002180.SZ,X002074.SZ,X600809.SH,X000623.SZ,X600498.SH,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165576078954597,0,0,0,0,0.23722865172349,0,0,0,0,0,0,0,0,0,0,0.0308325707809106,0,0,0,0,0,0,0.134123370262563,0,0.0882877990080804,0.043898261244605,0,0.0161823967288825,0,0,0,-0.0231072671151382,0.0100564597030726,0,0,0,0,0,0
X002007.SZ,0,0,0,0.0376984758748615,0,0,0,0.0448534351797646,0,0.0609877854530403,0,0,0.0282093924287035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00941048891620306,0,0,0,0,0,0,0.153621454806596,0,0,0,0.0499100788368505,0.0092582826138064,0.0805840751308302,0,0,0.017378947279401,-0.00722151635874646,0,0,0,0,0,0
X002085.SZ,0,0,0,-0.0483056182530143,0,0,0,-0.0634629537156921,0,0,0,0,0.128048384313786,0,0,0,0,-0.0318613501626904,0,0,0,0.422141150777036,-0.00833534435677596,0.0368963214132519,0,0,0,0,0,0.201409721131873,0,0,0,0,0,0,0,0,0,0,0,0,0.0405639787069203,0,0,0,0,0.0161813519679802,-0.142496353067783,0,-0.00785799813552455,-0.00848017838269651,0,0,0,0,0,0
X002508.SZ,0,0.0847629402905129,0,0,0,-0.0118500206083213,0,0,0,0.187130365183469,0,0,0,0,0,0.143953079493016,0.00376643956682094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0528545299838929,0,0,0,0,0,0.0602607136665941,0,0,0.0564565459529427,0,0,0,0,0,-0.134444759002156,0.00841095128601114,-0.00132307655161552,0,0,0,0,0,0
X000066.SZ,0,0,0,0,-0.093586391179668,0,0,0.134664336569381,0,0,0,0,0,0,0,0,0,-1.04420636111192,0,0,0,0,0.65534362041689,-0.0248413396619357,0,0,0,0,0,0,0,0,-0.732031207069395,0,0,0,0,0,0,0,0,0.78660245051009,0,-0.205507220577933,0,0,0,0,0,0,0.0390868831994249,-0.0201419477997433,0,0,0,0,0,0
X000981.SZ,0,0,0,-0.0378722157476067,-0.0330283525717565,0,0,0,0,0.104941023654614,0,0,0,0,0,0,-0.127831971417685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135442975857993,0,0.068733712613563,0,0,0,0,0,0,0,0.0256321164634918,0,0.106198722577025,0,0,0,0,0.0253253303214706,0,0,0,0,0,0
X300003.SZ,0,0,0,0.0581948971198491,0,0,0,0,0,0,0,0.0396982266566396,0,0,0,0,0,0.109429559467604,0,0,0.248345643786154,0,0,0.106151423295968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347757676766714,0,0,0,0,0.0881334416065768,0,0,0,-0.00146040333888064,-0.00462666984855793,0,0,0,0,0,0
X600867.SH,0,0,0,0,0,0,0,0,0,0,0,0.252269774217654,0,0,0,0,0,0,0,0,0,0,0,0.107571017052409,0,0,0,0,0,0,0,0,0,0,0,0,0.045494130511586,0,0,0,0,0,0.11107912765846,0.0236121640768613,0,0,0.0206723924009933,0,0,0,0.00868453255379311,0.00321357115507306,0,0,0,0,0,0
X002294.SZ,0,0.065559746366419,0,-0.0697322330503992,0,0,0,0,0,0.0963471751600861,0,0,0.0531497900732923,0,0,0,0,0,0,0.0787468238532505,0,0,0.1804166533669,0,0,0,0.0152769446485472,0,0.021243225367022,0,0,0,0,0,0.0233430856706637,0,0,0,0,0,0,0,-0.0141062342552694,0,0,0,0,0,0.0297191032180174,0,0,-0.00158034322768721,0,0,0,0,0,0
X600699.SH,0,0,0,-0.141997063330096,0,0,0,0,0,0,0,0.157161809410283,0.0140824315843586,0,0,0,0,0,0,0.0282022705333209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192571237955767,0,0.181735959297183,0,0,0,0,0.14096315989704,-0.0244211300087147,0,0,0.0710789121681089,0,0,0.118294156397827,0,0.0232718733774268,-0.00477707948341481,0,0,0,0,0,0
X000559.SZ,0.176142308285853,0,0,0.0372709697650156,0,0,0,0.0454137969844952,0,0.114875568418562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0973044788506119,0,0.432078557851836,0.154883425131044,0,0,0,0,0,0,0,0.0133853640558168,-0.00344518585810465,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0,0.132853363193888,0,0,0,0,0,0,0,0,0,0.14908328371371,0,0,0,0,0,0,0,0,0,0,0,0,0.163738853519584,0,0,0,0.00700051673964984,0,0,0,0,0,0.603831266750822,0,0,0,0,0,0,0,0.132161271750975,0.145939574778818,-0.00554942892616696,0.00494973701724417,0,0,0,0,0,0
