,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X002475.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X002241.SZ,X600183.SH,X000596.SZ,X600703.SH,X002007.SZ,X300003.SZ,X601877.SH,X000100.SZ,X002236.SZ,X000157.SZ,X300142.SZ,X002463.SZ,X002179.SZ,X000066.SZ,X300124.SZ,X600271.SH,X002008.SZ,X000625.SZ,X300136.SZ,X600867.SH,X002129.SZ,X300014.SZ,X000977.SZ,X600177.SH,X002506.SZ,X600498.SH,X002049.SZ,X002180.SZ,X600066.SH,X002456.SZ,X600487.SH,X002371.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002007.SZ,3.46944695195361e-18,0,0,0,0,0,-0.204808914584583,0,0,0,0.115528415815618,0,0.0797326011267208,0,0,0,0,0.270696333331719,0,0,0.133018144722348,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.00390283371363578,0,0,0.0213090316231524,0,-0.0693098932991534,0,0,0.0326425309456068,0,0,0,0,-0.152760756246694,0,0,0,0,0,0,0,0.000647064869682417,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0.0279167440164742,0,0,0,0,0.30644338334908,0,0.000841000059788349,0,0,0,0.154679481191651,0,0.0105152148932195,0,0,0,0,0.0361847134044001,0,0,0.097584776598768,0.117324450245186,0,0,0,0,0,0,0.0388100597677333,0.0163456854658032,0.112532133362757,0,0,0,-0.0528559037328192,0,0,0,0,0,0,-0.0189491153424632,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273865630990783,0,0,-0.0752189143215543,0,0,0,-0.0805447100567241,0,0,0,0.0347750339692151,0,0,0,0,0,0,0.124571327738685,0,4.33680868994202e-19,0,0.146642218135394,0,0.0893977173080478,0,0,0,0,0,0.087179249428876,-6.93889390390723e-18,0,-0.0612658432248187,0,0.0401483454945962,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0.0276872668026492,0.0608146645641596,0,0,0,0.455735190453793,0,0,0,0,0.0160368963815124,0,0.0397339473671376,0,0,0,0.23339258109217,0,0,0,0,0,0,0,0,0,-0.0128806645412044,0,0,0,0,0,0,0.00981344801926105,0,0,0,0,0,0.00430954549632237,0,0,0,0,0,0,0.00390471545397216,0,0,0,0,0.00502475446156586,0,0
X002236.SZ,0,0,-0.20907264200865,0,0.751420845498257,0,-0.057941973565628,0,0,0,0,0,0,0,0,0,0,0,0.115737501734425,0,0,0,-0.0525318735077464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.00350310094436805,0,0,0,0,0.00233385214877649,0,0
X000157.SZ,0,0,0,0.0858027911737798,0,0,0,0,0,0,0,0,0.479147212048435,0,0,0,-0.0860457816936589,0,0.23645332425542,-0.122190066990492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0696562408862771,-0.0209427935256605,-0.192491178841158,0.028562212136257,0,-0.0287857538488191,0.0470330214641831,0,0,0,0,0,0,0,0,0,0,-0.0265750995606858,0,0,0,0,-0.0417154922881416,0,0
X300142.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156835562340924,0,0.0707675166981782,0,-0.0377194991793198,0,0,0,0.0259943034815172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0892494398740614,0,0.123007505910692,0,0,0,0,0,0.0825602089900578,0.0375469486267624,0.10970058408603,0,0,0,0.00272248760712999,0,0,0,0,-0.00168689556304384,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.16452365899109,0,0,0,0,0,0,0,0.339482432620637,0,0,0,0,0,0,0,0,0,0,0,0.0933159497638464,0,0,-0.034959222130262,0,0.380801401327083,0,0,0.0881734450901007,0.152113077240056,0,0,0,0.13115472257512,0,0,-0.226353979313202,0,0,0,0.00136184290064552,0,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104268164425597,0.0544978322924256,0,0,0,0.0783165850311154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.081257017383314,0,0.138423080800049,-0.239298756084422,0,0,0.276540276325115,0,0,0,0,0,0,0.0165044144517188,0,0,0,0,0,0,0,0,0.0217892134010395,0,0
X000066.SZ,-0.178868141933229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279858467845226,0,0.15224687079767,0,0.040210755152929,0,0,0,0,0,0.17489663345344,0,0,0,0,0,0,0,0,0,0.154196902030783,0.195429860091504,0,0,0,0,0.0875773562102267,0,0,0,0.368748021572479,0,0,0.00525832906275085,0,0,0,0.0226506574915741,0,0
