,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X600690.SH,X002304.SZ,X002475.SZ,X000651.SZ,X002371.SZ,X000063.SZ,X300124.SZ,X003816.SZ,X600104.SH,X000725.SZ,X000596.SZ,X300014.SZ,X002129.SZ,X600031.SH,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X002049.SZ,X002236.SZ,X000661.SZ,X600372.SH,X000100.SZ,X002241.SZ,X000977.SZ,X002180.SZ,X601877.SH,X600741.SH,X600702.SH,X600584.SH,X000157.SZ,X600522.SH,X002074.SZ,X000733.SZ,X300142.SZ,X600460.SH,X300003.SZ,X002007.SZ,X002294.SZ,X300146.SZ,X000800.SZ,X002463.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600487.SH,0,0,0.0658450181299268,0,0,0,0,0,0,0,0,0.149014895746289,0,0,0,0,0,0.0150317624440939,0,0,0.141718438416796,0,0.155460374370973,0,0.216022315265927,0,0,0,0,0,0.101145087428019,0,0,0,0,0,0.101157248925373,0,0.216931731810409,0,0,0,0,0,0,0,0,0,0.0588968126890779,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0,0,0,-0.177316619961506,0.0283320935534875,0.0390360265303448,0,0,0,0,0.0156712399813273,0,0,0.0764785344705213,0,0,0,0,-0.117445861187821,0,0,0,0,0,0.150354684946049,9.32919746778713e-05,-0.101281354134537,0,0,0,0,4.33680868994202e-19,0,0,0,0,-0.00267147028059627,0,-0.0582313242726931,0,0,0,0,0,0,0,0,0,0,0,0,-0.177841270326704,-0.151375749204728,0,0,0,0,0,0
Slope,0,-0.105112717538652,0,0,0.228568475000298,0,0,0,0,0,0.232577361323235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105510892809474,-0.0819265916455139,0.0629304598911579,0,0,0,0.0776676657089007,0,0,0,0,-0.0230970117967011,0,0,-0.144240295719651,0,0,0,0,0.054167085578602,0,0,0,0,0,0,0,0.916235409766631,0,0,0,0,0,0
TED,0,0,0,-0.0344667110556042,0.422571392260589,0,0,0,0,0,0.409062361606682,0,0,0,0,0,0.292808241743619,0.186853029454996,0,0.0775578789123394,0,0.694326183106658,0,-0.4929120630693,0,0,0,0,0,0,0,-0.0335759227816249,-0.734974085892295,0,0,0,0,0,0,0,-0.122193286160174,0,0,0,0,0,0,0,0,0,0,0.813915516882794,0,0,0,0,-2.47547631861676,0,0
RealEstate_excess,0,0,0,0,0,-0.0389502922613387,0,0,-0.00730458019507563,0,-0.00801373125197008,0,0.0764694285919545,0.207232879687475,0,0,0,0,0,0,0,0,0,0,0,0,0.144353018840606,0,0,0,0,0,0,0,0,0.210281336084118,0.0483761013906279,0,0.0146963498441586,0,-0.0494376678627075,0,0,0,0,0,0,0,-0.0839028190711864,0,0,0.0634629528354405,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,-0.0816852945889272,0,0,0,0.059856458851183,0.0373877841497749,0,0,0,0,0,0,0,-0.00116087786304039,0,0.032437881048486,0,0,0,0,-0.0314678213255709,0,0,0,0,0,0,-0.0923307351990789,0,0,0,0.0561445457545282,0,0.158680712152901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,-5.15527576588201e-05,-0.000979849631539501,0.000783749868776224,0,0,0,0,0,0,0,0,0,0,-0.00194396919922725,0,0,-0.000500985212951931,-2.71050543121376e-20,0,0.000681162742099749,0,0.00129659906798113,0,0,0,0,0,0.00166859007332709,0,0.00201568646503193,0,0,0,0,0,0,0,0,-0.00268606193755717,0,0,0,0,-0.00258495395359236,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00382118542296135,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0.000197094071842981,0.000665598855598588,0,0,0,0,0,0,0,0,0.000758336073200211,0,-0.00494028872290399,0,0.00307963203942361,0,0,0,0.00227075484648909,0,0,0,0,-0.00101941549639758,0,0,0,0,0,0,0,0,0,0,0.00178956982779337,0,0,0,0,0,0,0,0,0.00667643258399957,-0.00425013319079816,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,-0.00290230263274033,0,0,0,0,0,0,0,0.00220576392666277,0,0,0,0,0,0,0,0,0.000554745168622312,0,0,0,0,0,-0.000674357519109605,0,0,-0.00989509772295425,0,-0.00215662302224061,0,0,0,-0.0011774593403807,0,0,0,0,0,0,0,-0.00139014632632476,0,0,0,0.00364222402391374,0,0,0,0.111467228259154,0,0
