,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X600031.SH,X600741.SH,X002475.SZ,X002241.SZ,X002236.SZ,X600066.SH,X000338.SZ,X000100.SZ,X601877.SH,X002085.SZ,X002456.SZ,X600271.SH,X600118.SH,X000157.SZ,X600089.SH,X300124.SZ,X600522.SH,X600177.SH,X002508.SZ,X002007.SZ,X600372.SH,X300136.SZ,X000066.SZ,X600699.SH,X000981.SZ,X300003.SZ,X600487.SH,X600867.SH,X002294.SZ,X002074.SZ,X000559.SZ,X002008.SZ,X002180.SZ,X600566.SH,X002292.SZ,X000623.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600522.SH,0,0,0,0,0,0,0,0.046466423884806,0,0,0,0,0,0.0289233965019006,0.196106907514959,0,0.0945032224120674,0,0,0,0,0,0,0,0,0.083579548846246,0,0,0,0,0,0,0,0,0,0.0200622864680095,0,0,0,0.114964415128505,0,0,0,0,0,0.0721721811706742,0.0443542686687787,0.0520924793218194,0,0,0,-0.00469528821294738,0.000641175053715547,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0.0583964993534656,0,0,0.0537124194751016,0.0142986929443378,0.0655067554197611,0,0,0,0,0,0,0.0279933159485698,0.0659289232249472,0,0.00980392085293335,0,0,0,0,0,0.0195171110243506,0.0161611322476852,0,0,0,0.024110835527762,0,0,0,0.0546456412840427,0,0,0.00390190999591542,0,0,0,0,0,0,0,0,0.0341749409880764,0,0,0.00329153542746783,0.000166499809627231,0,0,0,0,0,0
X002508.SZ,0,0,0,0.113462101367609,0,0,-0.0334167446031571,0,0,0,0.0768971528328335,0,-0.0831669666933636,0.0939019124739693,0,0,0.273390577925128,0,0.377041503939113,0,0,0,0,0,-0.0413008231179161,0,0,0,0,0,0,0,0,-0.0790623491508413,0.136195337907769,0.0617973754867808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284532927989412,-0.0102914247885398,0,0,0,0,0,0
X002007.SZ,0,0,0,0.090781854454293,0,0,0,0,0,0,0.115117732297839,0,0.0392055203049354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288615366919229,0.0532701849506771,0,0,0.0426581142198763,0,0,0,0,0,0.0561843597709204,0,0,0.061663094408511,0,0,0,0.0181646691905348,-0.00945834704617715,0,0,0,0,0,0
X600372.SH,0,0.119994688079314,0,0,0,0,0,0,0.023933899835246,0,0,0,0,-0.0539084317629212,0,-0.0245314880949579,0,0,0.0030588928273888,-0.103272474781308,0,0,0,0,0,0.591710408953023,0,0,0.167489779329778,0,0,0,0,0,0,0,0.128944134472431,0,0,0.00721597550928527,0,0,0.0297835032807637,0,0,0,-0.0535241199086516,0.0599065982545631,0,0,0,-0.00425318948473084,0.00207251318666888,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0,0,-0.0238410824818198,0,0.0797276471092566,0,0,0.206742065951869,0,0,0,0,0,0,0,0.822531152469727,0,0,0,0,0,0,0,0,0,0,0,-0.0651270553488784,-0.0753695749658948,0,0,0,0,0,0,0,0.164524854555855,0,0,0,0,0,0,8.67361737988404e-19,-2.16840434497101e-19,0,0,0,0,0,0
X000066.SZ,0,0,0,-0.11133059832652,-0.65661634154351,0.210766683391624,0,0.665927448993971,0,0,0,0,0,0.465174328587435,0,0,0,0,0,-0.743359794108288,0,0,-0.173628633854507,0,0,0,0,0,0,0,0,0.216125579326577,0,0,0,0,0,0,0,0,0,0,0.113364418859362,0,0,0,0,0,0,0,-0.436595216120985,-0.0483603231582964,0.0655048797008559,0,0,0,0,0,0
X600699.SH,0,0,-0.0311054766380534,0,0,0.0860053895364839,0,0,0,0,0,0.0477929821368305,0,0.00619722140513927,0.154483247154192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181601962988836,0,0,0.145108305673276,6.93889390390723e-18,0,0,0.189361926654535,0,0,0,0,0,0,0,0,-0.0287889904659527,0.012282936164428,0,0,0,0,0,0
X000981.SZ,0,0,0,0,0,0,0,0.0192482720601103,0,0,0,-0.020970462272607,0,-0.00796025058382559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00566300550885033,-0.0465122156396243,0,0,0,0,0,0,-0.0133728163264719,0,0,-0.00771008123818134,0,0,0.0684491265608006,0,0,0,0.0263050900433441,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.0865423396062876,0.0393256218659335,0,0.261008848396699,0,0,0,0.0583898229070143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535778651570413,0,0,0,0,0,0,0,0.150516046062754,0,0,0,-0.0208860428908677,0.00538411520167994,0,0,0,0,0,0
