,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X300014.SZ,X600690.SH,X002304.SZ,X600104.SH,X000651.SZ,X002371.SZ,X600031.SH,X000725.SZ,X002241.SZ,X300124.SZ,X600703.SH,X000063.SZ,X002129.SZ,X003816.SZ,X000338.SZ,X000596.SZ,X000625.SZ,X002049.SZ,X000661.SZ,X601877.SH,X002179.SZ,X300142.SZ,X600460.SH,X000100.SZ,X600089.SH,X600741.SH,X002074.SZ,X002236.SZ,X000799.SZ,X600702.SH,X601799.SH,X000157.SZ,X600779.SH,X600884.SH,X600584.SH,X002414.SZ,X000733.SZ,X600563.SH,X600183.SH,X600522.SH,X002180.SZ,X002007.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000799.SZ,0,0,0,0.69204275930826,0.103331297830773,0,0,0,0,0,0,0,0,0,0,0.0664787076550102,0.0718226364485731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801409321513187,0,0,0.0363261256106718,0,0,0,-0.0392976951449734,0,0,-0.000234752943814826,0,0,0,0,0,0,0,1.0842021724855e-19,-0.030494205079022,0,0,0,0,0,0
X600702.SH,0,0.0970508958409383,0,0,0.0645161498598976,0,0,0.188086536678463,0.0343770852606971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190316568118141,0,0,0.0190981941501387,1.73472347597681e-18,0,0,0,0,0,0.0448173282723634,0.0629609864810102,0,0.268022062669688,0,0,0,0.295688272012903,0,0,0,0,0,0,0,0,0,0,0,-0.0365124013118883,0,0,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0,-0.0107746955644871,0.0751961665260503,0,0,0,-0.00365068738817017,0,0,-0.0686202971532155,0,0.0668470213580165,0,0,0,0,0,0,0,0,-0.00679707684097953,0,0,0.171236999221049,0,0,0,0,0,-4.33680868994202e-19,-0.015379899626549,0,0,0,0,0,0,0,0,0,-0.0507298049924488,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0.14711381487056,0,0,0,-0.0410102554224157,0.636425761693699,0,0,0,0,0,-0.0670813596937054,0.0201590582681172,0,0,0,0,0,0,0,0.0060369071734065,0,0,0,0.1136540594747,0,0,0,0,0,0,0,0,0,-0.0982530636489137,0,0,0,0.0562322009718857,0,0,0,0,0,-0.0196796234396415,0,0,0,0,0,0
X600779.SH,0.169848577733552,0.416411750923256,0,0,0,0,0.0404993522781926,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0290075689738068,0,0.0185803370218734,0,0,0,0,0,0,0,0,0,0,0,0,0.0801266791564836,0.135194971223646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,-0.0310547522386241,0,0,0,-0.0301407078008252,0,0
X600884.SH,-0.287488636719324,0,0,0,0,-0.102755049032543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188234712176103,0.0185508464084967,0,0,-0.338201527196216,0,0,0.208640297992227,0,0,0,0,0.106461230754688,0,0,0,0,0,0,-0.191894191360252,0,0,0,0,0,0.0262491206090696,0,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,-0.0195709373912905,0,0,0,0,0,0,0,0.0387977953468518,0,0.153030264738494,0,0,0,0,0,0,0,0.056359208120059,-0.0736546730369011,0,0,0.00732277957610991,0,0,0,0,0.11096498658492,0,0.0135658730797726,0,0,0,-0.0212490615965307,0,0.0665243119961288,0,0,0,0,0,0,0,0,0,0.0352946430523226,0,0,0,-0.00202598287300216,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,-0.285911554331878,0,0,0,0.0739243046576671,0,0,0,0,0,0,-0.0745354505115854,0.0952846061080511,0.0425630669450369,0.291982276260383,0,0.0766080013129702,-0.11655347670482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673221103848574,0,0,0,0,0,0,0,0.389531007224043,0,-0.0173853946641822,0,0,0,0,0,0,0
X000733.SZ,0,0,0,0,0,0,0,0,-0.150914371435667,0,0,0,0,0,0,-0.116043531148123,0,0.270189048191716,0,0,0,0,0,0.15521541953497,0,0,0.0848946888902936,0.458582802112086,0,0.0167676487455021,0,0.195263857819526,0,0,0.0567941642373159,0.000249454234675322,0,0,0,0,0.0510207518057163,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0
X600563.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.19015905405881,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0839824260790251,0,-0.0231182654885095,0,0,0,0,0.227105815471162,0,0,0.253136541276533,0,0,0.0993931374851638,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.123790217913839,0,0
