,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X600104.SH,X002415.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X000568.SZ,X600031.SH,X002475.SZ,X600690.SH,X000338.SZ,X600741.SH,X000661.SZ,X600809.SH,X000596.SZ,X601877.SH,X002236.SZ,X600183.SH,X600703.SH,X000157.SZ,X000100.SZ,X002007.SZ,X300003.SZ,X300142.SZ,X300124.SZ,X600271.SH,X002179.SZ,X000625.SZ,X600498.SH,X002241.SZ,X002506.SZ,X600177.SH,X002129.SZ,X002463.SZ,X600867.SH,X300014.SZ,X002008.SZ,X600487.SH,X600066.SH,X300146.SZ,X002049.SZ,X300136.SZ,X000050.SZ,X002371.SZ,X000977.SZ,X600118.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002463.SZ,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.22047263885138,0,0,-0.160086810248892,0.135260575513577,0.00698782746312369,0,0,0,0.151925590494782,0.424591998878401,0,0,0,0,0.0381051001584901,0,0,0,0,0,0,0,0,0,0,-0.613048200658175,0.077108185944642,0,0,0,0,0,0,0,0.0679300454139981,0,0,0,0,-0.0179210474294181,-0.0270977014651006,0,0,0,0,0,0
X600867.SH,0,0,0,0.624814068344476,0,0,0,0,0,0,0,0,0,0,0,0.00195301510664265,-0.00367732205782894,0,0,0,0,0.124070854890892,0.0553382405606159,0,0,0,0.0096685831315324,0,0,0,0.127963932385526,0,0.0441194862766728,0,0,-0.0180881808201922,-0.138074816806465,0,0,0,0,0,0.245743157505661,-0.0260820338683064,0,0,0,0,0,0,0,0,0,0,0,0,-0.062527392097597,0,0
X300014.SZ,0,0.0185821885267192,0,0,0,0,0,0,0.0356251906838974,0.198161666451574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00736923567185211,0,0,0,0,0.106732543353142,0,0,0,0,0,0.089594744917792,0,0,0,0,0,0,0,0.0883598417441429,0,0,0,0,0.0975532358442667,0,0.0184500400308186,0,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211150157859278,0,0,0,0.0445519076315053,0,-0.273976528207134,0,0,0,0,0,0,0,-0.0861956541157247,0,0,0,0,-0.113405589472106,0,0,0.0863658068611473,0,0,0,0.0776671343654402,-0.0789542812652675,0.730824438939602,0,0,0.287470607507402,0,-0.123029775518175,0,-0.0735305384425344,0.18906779197775,0,0,0,0,0,0
X600487.SH,0,-0.17271464928364,0,0,0.133340147531549,0.0921189670429685,0,0,0,0,0,0.00724484342844661,0.311411155117766,0,0.190059889641129,0,0,0,0,0,0,0.00258998630761555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000188653174712564,0,0,0,0,0,0,3.46944695195361e-18,0.193896910352079,0,0,0.0290334336920834,0,0.130518513181644,0,0,0,0,0,0,0.237344461192573,0,0
X600066.SH,0,0.0349752909381749,0,0,0,0,0.0734319435974034,0,0,0,0,0,0,0.0196748195337176,0,0,0,0,0,0,0.16515826483629,0,0,0,0,0,0,0,0,0,0.359028115294863,0,0,0,0,0,0.0274322944870219,0,0.0102401530223559,0,0,0,0,-0.0818836548900031,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0233924787119912,0,0,0,-0.0421230434495092,0,0
X300146.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218076031791174,0,0,0,0.0138841395939743,0,0,0.0397165200362909,0,0,0,0,0,0,0,0,0,0,0.0662182874284178,0,0.108230765473821,0,0.232649320558669,0,0,0,0,0,0.161182618995592,0,0,0,0.027890056408932,0,0,0,0,-0.0113595544551404,0,0,0,-0.00638342788037587,0,0
X002049.SZ,0,0,0,0,0,-0.0244989155352026,0,0,0.131175901847996,0,0,0,0,0,0,0,0.181780123654614,0,0,0,-6.93889390390723e-18,0,0,0,0.193541679135533,0,0,0,0,0,0,0.408370834756448,0,-0.0861133649486822,0,0,0,0,-0.0557122088004765,0,0,0,0.267133724408669,0,0.152815810000255,0,0,0,0,0,0,0.0798999464947388,0,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120422019432235,0.0814041056580286,0.224519906858306,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166531832548627,0,0,0,0.388439897926139,0,0,0,0,0,0,0,0,0,0,0,-0.0103203933454319,0.055682431143391,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0.42326569639084,0,0,0,0,0,0.000920854108387272,0,0,0,0,0,0,0,0.149835038151181,0.0915197369099281,0.190812460268274,0,0,0,0,0.0807788929973925,0.0802071298250539,0,0,0.017383530419385,0,0,0,-0.0303225112296869,0,0.0477305057562503,0.0353313651891455,0,0,0,-0.0294789243490096,0,0,0,0,0,0.0757193107254519,0,-0.00590839553515777,0,0,0,0,0,0,0
