,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X000625.SZ,X600741.SH,X002475.SZ,X002236.SZ,X002241.SZ,X600031.SH,X600066.SH,X000338.SZ,X002456.SZ,X000100.SZ,X002508.SZ,X601877.SH,X300124.SZ,X002085.SZ,X300003.SZ,X300136.SZ,X002008.SZ,X600177.SH,X600522.SH,X600271.SH,X000157.SZ,X002007.SZ,X002294.SZ,X600089.SH,X600118.SH,X600487.SH,X600867.SH,X600566.SH,X600809.SH,X600699.SH,X300115.SZ,X600372.SH,X000559.SZ,X002180.SZ,X000066.SZ,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600699.SH,0,0,0,0,0,0.0229200846580901,0,0,0,0,0,0,0,0,0,-0.0960009005741729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191339290496821,0,0.166816518131577,0,0,0,0.059875814840719,0,0,0,0,0,0,0.370611346435509,0.0323135803011562,0,0.0107512001178633,0,0,0.0366936209214732,0,0,0,0,0,0,0
X300115.SZ,0,0,0,0,-0.0820204769274247,-0.0612990367578857,0,0,0,0.17092379784097,-0.45341342566318,0,0,0,0.0441938232601134,0.455940835704711,0,0,0,0,0,0,0,0,-0.024062542764094,0,0,0.0376762575946422,0.0678895476695225,0,0,0,0,0,0,0,0,0.343834460957318,0,0,0,0,0,0,0,0,0,0,0,0.00197805698495317,0.0256896658249853,0,0,0,0,0,0
X600372.SH,0,0,-0.0938663052093603,0,0,0.00854366443388706,0,0,0,0.0538717172174731,0,0,0,0,-0.0243631850879059,0,0,0,0,0,0,0,0.0503551380447943,0,0.257404672505758,0,0,-0.0773034047199897,0,0,0,0,0,0,0,0.0802925008350678,0.442554623744428,0,0,0,0,0.294308645610796,0,0,0,0,0,0,0,-0.0250593396384891,0.0452000510051829,0,0,0,0,0,0
X000559.SZ,0,0,0,-0.285065426394435,0,0,0,0,0,0,0,0,0,0,0.0899412006009487,0,0,0,0,0,0,0,-0.0140321766173799,0.00838517964683357,0,0.238397520402072,0,0,0,0,0,0,0.265551499756389,0,0,0,0.216471845415351,0,0,0,0,0.108261850834115,0,0,0,0,0.0851258861655731,0,0,0,0.0338171217853294,0,0,0,0,0,0
X002180.SZ,0,-0.0906474609068064,0,0,0,0,0,0,0,-0.0464258760257168,0,0,0,0,0,-0.0222348023315217,0,0,0,0,0.0831529943340799,0,0,0.0593931136233372,0,0,0.0192390615835601,0,0.034610883311077,0,0.205317037936782,0,0,0,0,0.0930339566395967,0,0,0,0,0,0,0,0.152293488307706,0,0,0.0915028484155427,0,0,0.0457953873518834,-0.0197406362109311,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0.114032130459178,0,0,0,0,0,0,0,0.45216371626697,-0.023616036467164,0,-0.220392700710692,0,0,0,0.0751873999683248,0,-0.0920753637545655,0,0,0,0,0,0,0,0,0,0,0,0.561822940577478,0,0.110926189251049,0,0,0,0,0.229836183933795,0,0,0,-0.0289552891436038,0.0471020731608006,0.131753530701751,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0,0,0.274653443800199,0,0,0,0.37893451263896,0,-0.00317880613846612,0,0,0,0,0,0,0,0,-0.142943360763535,0.0947076504969235,0.0947108233557157,0,0,0,0.0142083556482652,0,0,0,0,0,0,0.0534769074931235,0,0,0,0,0.252753149193322,0,0,0,0,0,0,0,0,-0.0408768801220003,0.0407426567924311,0,0,0,0,0,0
Change_TY3M,0,0,0.0256772387075704,0,0,0,0,0,0,0.0228806824091012,0,0,0,0,-0.0302230462562883,-0.0171283870275926,0,0.144062300304561,0.0197260926617929,0,0,-0.000443295936604773,0,0,0.00613280339956588,0,-0.078076732712028,0.0106226726362095,0,0,0.0160804669286806,0,0,0,0,0,0,0,0,0,0,0,0,-0.00127990398548287,0,0,0.016842871676504,0,0,0.00294348350665805,-0.0134053468253131,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487998252859384,0,0,0,0,0,0,0,0,0,0,0,0,0.246838256755476,0,0,-0.764756110443893,-0.0861936147460737,0,0,0,0,0,0,0,0,-0.455310765568373,0,0,0,0,0.54782463066915,0,0,0,-0.11281702123808,0,0,0,0,0,0
TED,0,0,-0.207640819737002,0,0,0,0,0,-0.308753574152423,0,0,0,0,0,0,0,0.227509065627117,-0.270855860539208,0,0,0,0,0,0,0,0,0,0,0,0,-0.206828619605699,0,0,0,0,0,0,0,0,0,-0.0792766632598777,0,0,0,0,-0.119989880311913,0,0,0,0.387734470692924,0,0.533768641377655,0,0,2.00639264550513,0,0
