,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X600031.SH,X000568.SZ,X002304.SZ,X000725.SZ,X600809.SH,X000063.SZ,X000661.SZ,X003816.SZ,X600690.SH,X002241.SZ,X000338.SZ,X600703.SH,X000596.SZ,X300124.SZ,X002007.SZ,X300014.SZ,X000100.SZ,X600741.SH,X300142.SZ,X002371.SZ,X002049.SZ,X000625.SZ,X002129.SZ,X000157.SZ,X601877.SH,X002236.SZ,X002414.SZ,X000800.SZ,X300003.SZ,X600584.SH,X600183.SH,X300136.SZ,X002179.SZ,X000066.SZ,X000977.SZ,X601799.SH,X600118.SH,X002456.SZ,X002185.SZ,X000050.SZ,X002294.SZ,X002008.SZ,X002463.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0.143639514490282,0,0,-0.0269305351060236,0,0,-0.142917095177196,0,0,0,0.0856966882147519,0,0.458895126987135,-0.0653958619696916,0,0,0,0,0.0691411588190929,0,0,0,0.0170935159379911,0,0,0,0.572658787977346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0795897646407657,0.055027541145924,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0.143466262979732,0,0,0,0,0,0,0,0,0,0,0.014039841746584,0.0468261866755783,0,0.00135430328263004,0,0,0.0347637772822426,0,0.0844765216556394,0.0407993582742132,0,0.0539137250960301,0,0,0,0,0,0,0,0,0.0863058928701416,0,0,0,0,0,0,0,0,0.0144135533475271,0.0331601416481756,0,0,0,-0.0169545866897501,0,0,0,0,0,0
X601877.SH,0,0,0,0.0330278009790609,0,0,0,0.0148710415315411,0,0,0,0,0,0.0422060307984559,0,0,0,0,0,0.168642377958824,0.00759960421459961,0,0,0,0,0,0.0778535649456929,0.0825946288264065,0,0,0,0,0.0641173313345762,0,0,0,0,0,0,0.0759973073956177,0,0,0.0689475710872623,0,0.0257814744887921,0,0,0.100589245454625,0,0,0,-0.0453766833106127,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0.315230122058197,0,0,0,0,0,0,0,0,0,0.0642592699409723,0,0,0,0,0,0,0.0317268972190818,0,0,0,-0.0726533201075342,0,0,0,-0.0695496496617535,0,0,0,0,0,0,0,0,0,0,0.148580111182307,0,0,0,0.0672920680183876,0,0,0,0,0,0,0,0.0031098100171949,0.0430933043498825,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529187734647409,0,-0.230089301845514,0,0,0,0,0.00482426336458544,0,0.0423597679651203,0,0,0,0.114084176333696,0,0,0,0.0123763459233486,0.0857368881088062,0,0.311317433788874,0,0,0,-0.0954946810313439,-0.00842295424467444,0,0,0,0,0,0
X000800.SZ,0,0,-0.108507294828509,0,0,0,0.306789983536103,0,0,0,0.0876643051779105,0,0,0,0,0,0,0,0,0,0,0,0,0.0060344552040062,0.109920887096798,0,-0.046289398762245,0,0.295647172012291,0.0573948743517616,0,0,0.017734006848032,0.230858327127181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367466753533084,0.0183384811455757,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200968476377823,0,0,0.0257554533046312,0,0,0,0,0.0286437671267522,0,0,0,0,0,0,0,0,0,0,0.0649856286379388,0,0,0,0,0,0,0,0,0,0,0.144718230896163,0,0,0,0,0.23709730910416,0,0,0,-0.0140653099623601,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,-0.241159451613719,0,0,0,0,0,0,0,0,-0.130761109859739,0,0.0578190584947572,0,0,0,0,0,0,0,0.334711721059612,0,0,0.19389990443033,0,0.194448644469319,-0.0982968968434398,0.259756129051073,0,0,0,0,0,0,0,0,0,0.0403073798719693,0.269329468694004,0.135667901399574,0,-0.101809834795165,0,0,0,0,0.0337216748090182,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13580088986261,0,0,0.0553507856413917,0,0,0,0,0,0.0375389583979632,0,0,0,0,0,0.0143962164587094,0.0615247145400227,0,0.0432385254569946,0,0,0,0.0174977420917778,0,0,2.16840434497101e-19,0,0,0,0,0,0.752722604316186,0,-0.0143639222197141,-0.0100390013658456,0,0,0,0,0,0
X300136.SZ,0,0,0,0.490093300695801,0,0,0,0,0,0,0,0,0,0,0,0,0.236173861355088,0,0,0,0,0,0,0,0,0,-0.10770702856859,0.336173055615024,0,0,0,0,-0.0499429902718601,0,-0.178645471988941,0,0,0,0,0,0,0.0827747236009329,0,0,0.0253630088203719,0,0,0,0,0,0,-0.0232444829215689,-0.0165423079874991,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438855817408252,0,0,0,0,0.0845045582034869,0,0.0459555796852338,0,0,0,0,0,0.0980268049286729,0,0,0,0,0,0,0,0,0,0.149792452613843,0,0,0.134496582447935,0,0,0,0,0,-0.0293804062588344,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281117946559403,0,0,0,0,0.0224447993362334,0.147534277714563,0,0,0.248369634611109,0,0,0,0,0.214437901483494,0.302659159510063,0.0174615731278544,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.156973834919384,0,0,-1.73472347597681e-18,0,0,0,-0.00663165355724476,0.0272534044669884,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229990839868099,0,0,0,-0.0214117622563543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424448466220325,0.0559963580743659,0,0.0694971849514174,0,0,0.140143264875179,0,0.146499808614246,0,0.233616709910394,0,0,0,-0.0787000847621983,0.0793852705488501,0,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128068234344555,0,0,0.0116679583518876,0,0,0.0383941129390931,0,0,0,0,0,0,0.0437261258781409,8.67361737988404e-19,0,0,0,0,0.0988518176660001,0,0,0,0,0,0,0,0,0,0,-0.0384687534570879,0,0,0,0.131860434804394,0,0,0,0.00584814978915757,0.0129287627317695,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00475034321006967,0,0,0,0.0912588850836474,0,0.11458442278535,0,0,0.0983107642340731,0.221428111583819,0,0,0,0,0,0,0,0,0,0,0,-0.0741810304570557,0.345762299498235,0,0,0,0,0,0,0,0,0,0,0,0.0483514034993239,0.0566915166574123,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,-0.0409755063674287,0,0,0,0,0,0,0,0,0.0452355609708943,0,0,0.0747033489586799,0,3.46944695195361e-18,0,0,0.0878723232298688,-0.054179983165235,0,0,0,0,0,0,-0.0661711079898826,0,0.343181466794684,0,0,0,0.31730720524509,0,0,0,0,0,0,0,0,0,0.0534564577061939,0.00123274773939341,0.0247055926332023,0,0,0,0,0,0
X002185.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0547297056356467,0,0,0.113306238539758,0,0,0.116601832539633,0,0,0.0707103001509418,0,0,0.106334104914753,0,0,0,0,0,0,0,0.0389456357555393,0,0,0,0.394662987975822,0,0,0,0.0556196575567824,0,0,0.0169026556028232,0,0,0.0852417809638145,0,0,0,0,-0.0138588470282508,0.00819625035688994,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0,0,0,0.116716366704005,0,0,0,0,0,0,0,0,0,0,0,0,0.0433040957642389,0,0,0,0,0.206866739474462,0,0,0,0,0,0.0185360328141352,0,0.0236639524230075,0,0,0,0.000719149977360501,0,0,0.111497106166679,0.0623249699575444,0.0449587506498797,0,0,0.0478313086932649,0,0,0.0373863216743831,-0.0226687648035606,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0,0,0.0286022292646405,0,0,0.195876456482575,0,0,0,0,0.0672150136231999,0.0384473403420487,0,0.11519582162939,0,0,0,0.00183243101462801,0,0,0,0.0444690427673494,0,0,0,0,0,0,0.14147419015755,0,0,0,0,0.331839606258078,0.110777354377749,0,0,3.46944695195361e-18,0,0,0,0,0,-0.0142384551011979,0.00624264985244807,0,0,0,0,0,0
X002008.SZ,0,0,0,0.0812479324128116,0,0,0,-0.0438833511561708,0,0,0,0,0,0,0,0.094441655526308,0.210597644563121,0,0,0.143206356789493,0,0,0,0.157443187943274,0,0,0,0,0,0,0,0,0.0498678265125173,-0.0155120909940698,0,0.274641538353341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149570333530528,0.00541943621218113,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298227364692226,0,0,0.118936688205927,-0.0227178339643217,0,0.0168858321200347,-0.048567966282068,0,0,0.0187534502787893,0,0,0,0,0,0,0.0273366445009046,0,0,0,-8.67361737988404e-19,0.430550273579953,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0371501547845419,0.0182232637624917,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0.0375457775178216,0,0,0,0,0.0607906882069929,0,0,0,0,0,0,0,0.0690980640776179,0,0.0103778851892509,0,0,0.0806125194101646,0,0,0,0,0,0,0,0.0202512236049357,0,-0.167577999172511,-0.186690559807248,0,0,0,0,0,0,0,0,0,0,0,-0.0645240566153702,-5.42101086242752e-20,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,-0.566397858427363,0,0,0,0,0,0,0,0,0,0.0246655157802976,0,0,0,0,0,0,-0.37113645878008,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.225548164782575,0,0,0,0,0,0,0,0,0,0.485972597897175,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,-0.403219370825873,0,0,0.561120788583434,0,0,0,0,0,0,-1.19482426649754,0,-0.254059693673032,0,-0.381265944041669,0,0,0,0,2.12294144032728,0,0,0,0,0,0,0,-0.191250662117152,0,0,0,0.59969903464797,0,0,0,0,1.24938332753906,0,-1.53633410065698,0,0,0,0,0,-0.261954632415506,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,-0.0162711867349554,0,0,0,0.0164274660224648,0,0,0,0,-0.0195683282172773,0,-0.0970172877184557,-0.0513076544549822,0,0,0.0697505454027893,0,0.102483827487807,0,-0.0728347344687534,0,0,0,-0.0200231432045914,0,0.0719199725888146,0,0,0,0,0,0,0,0,0,0,0,0,-0.0603252786649207,-0.0766009765201979,0,0,0,0,0,0,0,-0.00165892019914606,0.00180798119298585,0,0,0,0,0,0
MKreturn,0,0,0,0,-0.0539312000806163,0,0,0,0,0,0,0,0,0,0,0,-0.0966473309066739,0,0,0,0,0,0,0,0,-0.0822270284849405,0,0,0,0.0920483373604222,0,0,0,0,0,0,0.165694056800597,0,0,0,-0.181393764372411,0,0,0,0,0,0,0,0,0,0,0.0173917466452824,0.00678711182877411,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,-0.0036421009068921,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00275053194376658,0,0,0,0,-0.00276514927431337,0,-0.00447996015306144,0,0,0,0,0,0,0,0,0,0,0,0.0148380254235184,0,0,0,0,0,0,0,0,0.00688051761345046,-0.0168609299696284,0.00664533462552161,0,0,0,-0.00829868118680712,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490115086469201,0,0,0,0,0.0126228851312587,0,-0.0456157370716068,0,0,0,0,0.0789029632403331,0.0473034066141605,0,0.0470412230733359,0,0,0,0,0,0,0,0,0,0,-0.0441938576963682,0.056859880370439,0,0,-0.138683730981044,0,0,0,0.0678440885041204,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00370260157572244,0,0,0.00557263517326051,0,0,0.0106505365061119,0,0,-0.0113975785808556,0,0,0,0,0,0,-0.0011714608505941,0,0.0080145070076101,-0.00567123235038071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104411658813245,0.00657575271981634,0.0108098736279439,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114160452228806,0,0,0.0759884044707982,0,0,-0.0044661250305747,0,0,0,0,0,0,0,0,0,-0.0173033174727126,0,0,0,0,0,0,0,0,0,-0.00833438145410304,0,0,0,0,0,0,0,0,0.0413905776202186,0.0123586552402344,0,0,0,0,0,0
