,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600276.SH,X600690.SH,X002475.SZ,X300014.SZ,X600104.SH,X000651.SZ,X000625.SZ,X002129.SZ,X300124.SZ,X600031.SH,X000725.SZ,X003816.SZ,X002371.SZ,X000596.SZ,X002049.SZ,X000063.SZ,X002241.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X600522.SH,X000661.SZ,X601877.SH,X002180.SZ,X002074.SZ,X300142.SZ,X600884.SH,X600741.SH,X600460.SH,X000733.SZ,X000100.SZ,X600702.SH,X000799.SZ,X000157.SZ,X600563.SH,X601799.SH,X002236.SZ,X002176.SZ,X600584.SH,X600487.SH,X000800.SZ,X002414.SZ,X600779.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000799.SZ,0,0,0,0,0,-0.12130348784523,0,0,0,0.000836690171166972,0,0,-0.01511479842898,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00809274765692007,0,0,0,0,0.115127114949377,0,0,0,0,0,0,0.558395470822312,0,0,0,0,0,0,0,0,0,0,0.0212847477863035,0,0.016865108381941,0,0,0,0,0.000652937481615688,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347527128496831,0,0,0,0,0,0,-0.0540491138030879,0,0,0,0.136117785854504,0,0,0,0,0,0,0,0,0,0,0.15232187251497,0,0,0,0.0177888132303649,-0.0309102084173987,0,-0.0486139262412359,0,0.0960612836744401,0.0154410769813667,0,0,0,0.0207003059342244,0,0,0,0,0,0,0
X600563.SH,0,0,0,-0.0565694993868757,-0.0219623440949365,0,0,0,0,0,0,0,-0.119014543430493,0,0,0,0,0,0,0,0,0,0,0,0,0.0499626141969119,0,0,0,0.226134497872396,0.21425159692658,0,0,0.283241109414702,0,0,0,-0.0553553756931308,0,0,0,0,0,0,0,0,0,0,0,0.0809249496576096,0,0,0.0254859102450605,0,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.203227194341793,0,0,0.141109121925698,0,0,0,0,0,0,0,0,0,0,-0.0838124645799792,0.138982596205428,0,0,0.174920931642876,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359006765327639,0,0,0,0,0,0,0,0,0,0.0583349105101174,-0.0808116327213691,0,0,0,0.0169679107032729,0,0
X002236.SZ,0,0,0,0,0.522752226774367,0,0,0,0.000559676348881932,0,0,0,0,0,0,0,0,0,0.0336574512916405,0,0,0,0,0,0,0,0.124232795812402,0,0,-0.0367948567690937,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.117694607675469,0,0,0,0.0975001015567073,0,0,0.0736942262918106,0,0.056937925079528,0,0,0,0,0,0,0
X002176.SZ,0,0,0,0,0,0,-0.00350268731718429,0,0,0,0,0,0.0857754959471498,0.0935899795347389,0,0.232561398468055,0,0,0,0,0,0,0.000474172886906365,0,0,0,0,0,0,0,0,0,0,0,0.0507857517714942,0,0,0,0,0,0,0,0,0,0,0,0.169039962700809,0.0451456316486609,0,0,0,-0.00506724815893037,-0.0292629043979822,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0.108482489231383,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0639881615246652,0,0,0,0.075657420869307,0,0,0,0.219157149685484,0,0.0699859638591048,0,0,0,0,0,0,0,0,0,0,0,0,0.00124861920550494,0,0,0,0,0,0,0.0841787813048554,0.0728740700811227,0,0.011117334154807,0,0,0,0,0.00567562214615872,0,0
X600487.SH,0,0,0,0,0,0,0,0,-0.0224049785860846,0,0,0,0.0364868448595506,-0.0636487244941506,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0511877782623552,0.513772273964404,0,0,0,0.277065146892652,0,0,0.0219655789870303,0,0.0347535954884857,0.0862430370289265,0,0,0,0,0,0,-0.0482700238319967,0,0,0.120750157636697,0,0.0333036328799388,0,0,0,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0.0304930366604371,0,0,0.0673054351536264,0,0,0,0,0,0,0,0.0733033911165521,0,0,0.0662102193815179,0,0,-0.0425459749919276,-0.00893387691901673,0,0,0,0,0,0,0.221010510898671,0,0,0.193667072732819,0,0,0,0,0,0,0.11493328939695,0,0,0,0,0,0,0,0,0,0,0,0.0864951680014834,0,0
X002414.SZ,0,0,0,0,0,0,0,0.0949690973379619,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223905656725531,0,0,0,0,0,0,0,0.230291136995581,0,0,0,0,0.0138612599589112,0,0.0173787540617115,0,0,0,0.0879746321475482,0,0.0771891511513423,0.29765373043029,0,0,0,0,0,0.0627761581694891,0,0,0,0,0.0335646940214218,0,0
