,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X003816.SZ,X000725.SZ,X002304.SZ,X600031.SH,X600690.SH,X000568.SZ,X000338.SZ,X600703.SH,X000661.SZ,X600741.SH,X600809.SH,X002241.SZ,X000100.SZ,X002371.SZ,X300014.SZ,X300003.SZ,X000977.SZ,X000596.SZ,X601877.SH,X002007.SZ,X002236.SZ,X600183.SH,X300124.SZ,X000157.SZ,X600584.SH,X002456.SZ,X002180.SZ,X002129.SZ,X000625.SZ,X300142.SZ,X600118.SH,X002008.SZ,X600271.SH,X300136.SZ,X000066.SZ,X002179.SZ,X002463.SZ,X002414.SZ,X600699.SH,X002049.SZ,X600177.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0968644575465759,0,0.236408646175277,0,0.00291062406928705,0,0,0,0.186794580353512,0,0,0,0,0,0,0,0.115492298632835,0,0,0,0.125327987527136,0.111023466328251,0,0,0,0,0.0178011011887507,0,0,0,0,-0.0135756024099788,-0.0474592782454961,0,0,0,-0.137156090569233,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00161790633492311,0,0,0,0,-0.279877420494753,0,0,0.056464883053311,0,0,0,0,0,0.0175606708622856,0.238756831538551,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.14452904870953,0,0.226549347779916,0,0,0.286086225657842,0,0.0367071464877286,0,0,0,0,0.0942715872240525,0,0
X300142.SZ,0.0646393481973105,0,0,0,0,0,0,0,0,0,0,0,0,0.461157555835485,0,0,0.048830737742749,0,0,0,0,0,0.106984599383214,0,0,0,0,0.0320362416509904,0,-0.130020897942299,0,0,0,0,0,0,0,0,0,0,0.0565928058574259,0.0274558115193516,0,0,0,0,0,0,0,0,0,-0.0335735095677353,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30423921835485,0,0.0548313713721682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462322579771346,0,0,0,0,-0.209034403751041,0.137763523932219,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0.0611312235543308,0,0,0,0,0,0,0,0.0826450629067096,0,0,0,0,0.364620721538853,0,0.0845385013915705,0,0,0,0,0,0,0,0,0,0,0,0.0222323537112547,0,0,0,0,0,0,0,0,0,0,0,0.0800070903161919,0,0,0,0.17535229741054,0,0,-0.0127120685442733,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0.156940065146236,0,0,0.00333599018761141,0,0,0.120679058626487,0,0,0,0,0,0,0.149187935215204,0,0,0,0,0,0,0,0,0,0.0125024972862007,0.040154199415052,0.0690732951665752,0,0.039445883386382,0.0629831620190111,0.0383444098115834,0,0,0,0,0.0271704462377208,0.0834578147377587,0,0,0,0.0789716364094949,0,0,0,0,0,0,0,0,0,0.0159163541114667,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111745652234888,0.139095672602885,0,0.105544668698845,0,0,0,0,0,0,0,0,0.316853871301709,-4.33680868994202e-19,0,0,0.0858869140732513,0,0.0294093097465946,0,0,0,0,0,0,0,0,0,0,0,0,0.028556008553749,0,0,0,-0.0278421132179816,0,0
X000066.SZ,0,0.189821970409668,0,0,0,0,0,0,0,0,0,0,0,0.0666572566624482,0,0,0,0,0.0196866631189949,0,0,3.46944695195361e-18,0,0,0,0.0627993962102237,0,0,0,0,0,0,0,0.248661622327049,0,0,0,0,0,0,0,0.0351482068565637,0,0,0,0,0,0,0,0.0917923757847971,0,0,0,0,0,0,0.0348082068242531,0,0
X002179.SZ,0,0,0,0,0,-0.0189612854875908,0.0790373939406383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0217073453477535,0,0,0.0124485569150195,0.302420796277514,0,0,0,0.0601647226157961,0,0,0,0,0.048345267275228,0,0,0,0.0163752205903237,0,0,0,0,0,0,0,0,0,0,-0.000720655133292397,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0164347213159477,0.227431182469082,0,0,0.0367428558095058,0.346572839322697,0,0,0.269332835459993,0,0.0346861996879548,0,0.0538312551736576,0,0,0,0,0,0,0.0316033909071162,0,0,0,0,0,0,0.199002846930401,0,0,0,0,0,-0.0169197215860319,0,0
