,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600690.SH,X002304.SZ,X002475.SZ,X000651.SZ,X600104.SH,X600276.SH,X300124.SZ,X300014.SZ,X000725.SZ,X003816.SZ,X002371.SZ,X600031.SH,X002129.SZ,X002241.SZ,X002049.SZ,X000063.SZ,X000596.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X300142.SZ,X601877.SH,X600460.SH,X600741.SH,X002180.SZ,X000733.SZ,X000661.SZ,X000100.SZ,X600522.SH,X002074.SZ,X000157.SZ,X600884.SH,X600702.SH,X002236.SZ,X000799.SZ,X600584.SH,X600183.SH,X601799.SH,X000800.SZ,X600563.SH,X002414.SZ,X600372.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600884.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.268139574660402,0,0,0.0509575319965033,-6.93889390390723e-18,0.137330470671715,0,0,0,0,0.156395008897788,0,0,0,0.0241863027015941,0,0,0,0,0,0,0,0,0,0.0743268836088388,0,0,0,0.104748533120277,0,0,0,0,0,0.037927138091369,0,0.126880437680086,0,0,0,0,0,0,0,0,0,0
X600702.SH,0,0,0.0908461205622357,0.0651090105534962,0.27595233082339,0,0.0615119247535227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208169983223041,0,0,0,0,0,0,0,0,0.00356584268741654,0,0.136388933171663,0,0,1.38777878078145e-17,0,0,0,0,0.399041054121224,0,0,-0.059404450042143,0,0,0,0,0,-0.0650527352185573,0.0464889701938841,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0.601624413154779,0,0,0,0.00756923598166509,0,0,0,0,0,0,0,0,0,0,0,-0.147045387322675,0,0,0,0,0,0,0,0.00444815706789712,0,0.0489907109327899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179244042242745,0.161211172116954,0.058258705291208,0.0552826913045669,0,0,0.0100580276415558,0,0,0,0,0,0
X000799.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.118618331507993,0,0,0,0,0,0,0,0,0,0,0,0.0226996352124365,0,0,-0.0390557636843075,0,0,0,0.0612159762412638,-0.126955422604721,0,0,0,0,0,0,0.701254203728971,0,0,0,0,0,0,0,0,0,0,0,0,-0.0106697087134679,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.0790959614056703,0.0411515384366794,0.03373654351551,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0546514911959431,0,0,0.172127955027258,0,0,0,0,0,0,0.13572035704357,0,0.23378246994837,0.0808839233725679,0.0363712913294032,0,0,0,0,0,0,0,0,0
X600183.SH,0,0.0562866393590821,0,0,0,0,0.204459290493517,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119553628130118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113978108016295,0,0.0946914381124589,0,0.124124657637629,0,0,0,0,0,0.0374046208414852,0.0327079556540656,0,0,-0.00560254766093834,0,0,0,0,0,0
X601799.SH,0,0,0.313098675656801,0,0,0,0,0.0600423093458431,0,0,0.392664462168551,-0.282191685636922,0.0454850212496437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224535940916129,0,0,0.0634761545231678,0,0.131876522523073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153013559094834,0,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0.0166176544565775,0,0,0,0,0,0,0,0,0,0.010092039372219,0,0,0,0.0128307286229317,0.0691431414702348,0.0726002531855072,0.237527446583411,0,0,0.0648921274097583,0,0,0,0.0435869941953673,0,0,0,0.159214391626704,0,0,0,0.0584021575945257,0,0,0,0,0,0,0,0,0,0,0,0,-0.0134222352153949,0,0,0,0,0,0,0
X600563.SH,0,0,0,0,-0.132857456583871,0,0,0,0,0,0,0,0,0,0,0.258024094142402,0,0,0,0,0,-0.104211984490438,0.0801341364176103,0,0,0,0,-0.0930185129945066,0.350515091860728,0.228261662957457,0,0.148843925866827,0,0,0,0.137239638670478,0.164590671744279,0,0.00665559364568529,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00262817067679566,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0.119367250655232,0,0,0,0,0,0,0.0436517366785034,0,0,0,0,0,0,0,0,0,0.0358709245330481,0.321724998352169,0,0,0,0.0151143965918848,0,0,0,0.0158399012209044,0.217477818009309,0,0,0,0,0,0,0,0,0,0.260471643658864,0,0.0180736335392402,0,0,0,0,0,0,-0.00905614937167508,0,0,0,0,0,0,0
X600372.SH,0,0,-0.0245063514565996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399136640368123,0,0,0,0,0,0,0,0,0,0,0.460212855689753,0,0,0,0,0,0,0,0,0,0,0,0,0.0148183144763275,0.336766561923735,0.166367877760024,0,0,0.0173491960541918,0,0.0910046242855371,0,0.00271182500104299,0.0289167203264174,0,0,0,0,0,0
X000977.SZ,0,0,0,0,-0.0657068261595306,0,0,0,0,0,0.0897492035743728,0,0.0246005563371961,0,0,0,0,0,-0.0394766250416879,-0.158583806987632,0,0,0,0,0,0,0,-0.0616245208945751,0,0,0,0,0,0,0,0,0,0,0,0,0.501007701301488,0,0,0,0,0,0.23251988632987,0,0.147035726315852,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0.00640450262292916,0,0,0,0,0,0,0,0,0,0,0.191773757511349,0,0,0,0,0,0,0,0,0.0695213115415727,-0.0610573125271059,-0.0436932727112813,0,0,0,0,0,0,0,0.133507535571859,0,0,0,0,0,0,1.73472347597681e-18,-0.013026499513159,0,0.0891204755453516,0.0126719544509316,0.000323814009016252,0,0,-0.00171460091260733,0,0,-0.0214539028219962,-0.0290970909044142,-0.230100285567009,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0785035074779205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0996146447778467,0,0,0,0.841195183529087,0,0,0,0,0,0
TED,0,0,0,0,0,0,-0.0460013259358376,0,0,0,0,0,0,0,0,0,0,0,-0.0789083641411552,0,0,0,-0.143557687442006,0,-0.217256770192078,0,0,-0.0224711631441043,0,0,0,-0.189644603725675,0,0,0,0,-0.00741352820241024,0,0.105784388406334,0,0,0.532454346356242,0,0,0,0,0,0,-0.117672345935215,0.129573895186503,0,0.215856577771104,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,-0.0122181682603434,0,0,0,-0.0544927257267838,0,0,0,0,0,0,0,0,-0.0496626200140437,0,0,0.041026900728096,0,0,0.172390477294289,0,0.0517293970151826,0.035460526585823,0,0.025439057978821,0,0,0,0,0,1.73472347597681e-18,0,-0.11231978338738,0,0,0.121833209015372,0,0,0,0,0,0,0,0,-0.131571245572305,0,0,-0.14294140134636,-0.0395335926150795,0.0661766803797475,0,0.115705514693146,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,-0.133414609569664,0,0,0,-0.142732163792169,0,0,0,-0.0465062559250675,0,0.0576410804509196,0.12731515405719,0,0,0,0,-0.00480970616840142,0,0,0,0.2080373231489,0,0,0,-0.204853761551743,0,0,0,0,0.0401467726669006,0,0,0,0.0123354763796664,0,0,0,0.0866039297659933,0.0841161359737397,0,0.0164873148520813,0,0.443554716506112,0,0,0,0,0
MKvol,0,0,0,0,0.00383206824635701,0,0,0.00359604273385576,0,0,0,0,0,0,0,-0.00509552009847333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00426878945622381,0,0,0,0,0,0,0.00973534698051901,-0.0109618001973611,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0.00659867460271235,0,0,0,0.028263265805599,0,0,0,0,0.0143552046577031,0,0,0,0,0,0,0,0,0,-0.00616879330704319,0,0,0.00505431707757589,-0.00693513270195798,0,-0.027700877947316,0,0,0,0,0,0,0,0,0,0,-0.00313787849809249,0,0,0,0,0,0,0,0,0,0,0,-0.0715826907854187,0.0607514116163862,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,-0.0274781506806759,0,0,0,0,0,0,0,0,0,0,0,-0.00401114893544219,-0.00148751556876109,0,0,0.0147870857611115,0,0,0,0,0,0,0,-0.00106190294248916,0,0,-0.00379042651787008,0,0,0,0,0.00936836220108126,0,0,0,0,0,0,0,0,0,-0.00434899314320607,0,0,0,0,0,-0.0367654753579508,0.0190566373926179,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201336455575632,0,0,0,0,0,0
