,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X002304.SZ,X600690.SH,X000651.SZ,X600104.SH,X000725.SZ,X300014.SZ,X300124.SZ,X600031.SH,X002371.SZ,X002129.SZ,X002241.SZ,X003816.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X600703.SH,X000596.SZ,X601877.SH,X002179.SZ,X000625.SZ,X600460.SH,X600741.SH,X000100.SZ,X600089.SH,X300142.SZ,X000661.SZ,X002074.SZ,X002180.SZ,X600702.SH,X600884.SH,X600522.SH,X000157.SZ,X000733.SZ,X002236.SZ,X000799.SZ,X002414.SZ,X002008.SZ,X600584.SH,X600779.SH,X600563.SH,X000977.SZ,X002007.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002008.SZ,0,0,0,0,0,0,0,0,0.0419615456523853,0,0,0,0,0.085388625980666,0,0.119438826717072,0,0,0,0.0570441353128271,0,0,0,0,0,0,0,0,0,0,0,0.0572795679457557,0,0,0,0.111724488125755,0,0.0910005673009764,0,0,0,0.0249943968454794,0,0,0,0,0.0981337773153103,0,0,0,0,-0.00735321826037795,-0.0061528605721703,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176291220676936,0,0,0,0,0,0,0.049816047117781,0,0.182740406853256,0,0,0,0,0,0,0,0.075194061153271,0.0012296472335249,-0.0172085892881464,0,-0.161462904563166,0,0,0,0,0,0,0.0421801526228745,-0.0500962237185207,0,0,0,0,0,0,0,0,-0.00444199841428397,0,0,0,0,0,0,0
X600779.SH,0,0,0,0.0127408005659367,0.037994647645618,0,0,0.191741678264066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826839593389812,0,0,0,0.0375050442319898,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363566736339313,0,0,0,0,0,0,0,0,0,-0.0153193416997225,0,0,0,0,0,0,0
X600563.SH,0,0,0,0,0,0,0,0,0,-0.314753775653263,0,0,0,0,0,0.358344295843112,0,0,0.0800399734258875,0,0,0,0.158670203343528,0.0213139988063453,0.149325181310798,0.237089942011422,0,0,0,0,0,0,0.0587059812700517,0.0747007985074585,0.0451901308826784,0,0,0.1918759165927,0,0.236447057772855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0139602842176171,0,0
X000977.SZ,0,0,0.252605173169106,0.047933101577553,0.135313682233522,0,0,0,0,0,0,0,0,0,-0.170973473182165,0,0,0.351653757233279,0,0,0,0,0,0,0,0,0,0,0,0,-0.068418606286903,-0.149704422446466,0.228687079263141,0,0,0,0,0.0859714404732026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0595447442386153,0,0,0,0,0,0
X002007.SZ,0,0,0,0.0920059695360308,0,0,0,-0.0798265290892296,0,0,0,0,0.0927421395270053,0,0,0,0,0,0,0.192574768638335,0,0,0.197567941330534,0,0,0,0,0,0,0,-0.106994626905149,0,0.16349680144041,0,-0.0656049127695095,0,0.0567892286183657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166409667716155,0,0,0,0,0.0842600936598107,0,0
X600183.SH,0,0,0,-0.0370491331376866,0,0,0.176920674253705,0,0,0,0,0,0,0.129906141516134,0,0,0,0,0,0,0,0,0.0933985403333813,0,0,0,0,0,-0.0164766559445639,0,-0.0515266359614652,0,0,0.135271769857575,0,0,0,-0.0554470148257673,0,0,0,-0.0601322058129482,0,0,0,0,0,0.091404897647208,0,0,-0.0136195810641009,-0.0116514550482933,-0.0274356089317217,0,0,0,-0.0611549248828984,0,0
Change_TY3M,0,0,0,0,0,-0.0992798144453949,0,0,0,0,0,0,0,0,0,0.274682035738633,0,-0.222601765806348,0,0,-0.0899286238312343,0,0,0.088804148671608,-0.0725151885345972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338772647089063,0,0,0,0.17622288030869,0,0,0,0,-0.0832626010679823,0,0,0.0954447512541177,-0.124491583409364,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.390638186950758,0,0,0,0,0,0,0,-0.112557286015277,0,0,0,0,0,0,0.300269085304238,0.162530743640083,0,0,0,0.0564709839417756,0,0,0,0,0.122203511886396,0,0,0,0,0,0,0,0,0.378507099189982,0,0.871634198273262,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00888229837278449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104005316347045,-0.0619943314514814,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16184384918337,0.803720342823822,0,0,0,0,-0.0702579172574003,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0.0359745216565703,0,0,0,0,0,0,0,0,0,0,-0.05252553584515,0,0,0,0,0,0,0,0,0.0700066998455138,0.00228271830570387,-0.00475395618761248,0,0,0,0,0,0,0,0,0,0,0,-0.00835265531210076,-0.073075601755606,0,0,0,0.0624907921857709,-0.0557973088427028,0,0,0,0.0272039738488689,0,0
MKreturn,0,0,0,-0.021755777862035,0,0,0,0,0.0116467972043051,0,0,0,0,0,0,-0.0483562483890011,0,0.0931769618557684,0,0,0,-0.00405654991060535,0,0,0,0,0,0,0,0,0,0,-0.00477222885032556,0.0762587877286784,0,0,0,-0.0995994286052381,0,0.0848623218130432,0,0,0,0,0,0,-0.0478455354537541,0,0,0.0411995965608685,0,0.0219483273037903,0,0,0,0,0.0478769672352052,0,0
MKvol,0,0,0,0.0026371187446734,0.00107701980100727,0,0,0,0,0,0,0,-0.00164911930899149,0,0,0,-0.00275541996237461,0,0,0,0,0,0,0.000412138210042056,0,0,0,0,0,0,0,-0.00195056299793501,0,0,0,0.000634702814909781,0,0.00151885824402461,0,0,0,0,0,0.00121805572550577,0,0,0,0,0,0,0,0.00199524233432377,-0.00260541644238317,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0.186204457646763,0,0,0,0,0.0138272174946825,-0.771295452290803,0,0,0,0,-0.0944548457999514,0.158005402158477,0,0,0,0,0,0,0,0,0,0,0.131045921090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233911680240145,0,0,0,-0.852173375492554,0.238921371364156,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100033132411092,0.006496104833411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00462808560919189,0,0,0,0.00710291166426714,-0.00823644261384135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187179529880027,0,0,0,0,-0.0101390758764671,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00438932818474607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125789996675278,0,0
