,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X000651.SZ,X002415.SZ,X600104.SH,X000063.SZ,X000661.SZ,X002304.SZ,X000725.SZ,X600031.SH,X003816.SZ,X000568.SZ,X600809.SH,X600690.SH,X600703.SH,X000338.SZ,X002007.SZ,X002241.SZ,X300142.SZ,X000100.SZ,X002371.SZ,X300014.SZ,X000596.SZ,X600741.SH,X600183.SH,X300003.SZ,X300124.SZ,X000977.SZ,X002129.SZ,X002236.SZ,X601877.SH,X000625.SZ,X000800.SZ,X000157.SZ,X600584.SH,X300136.SZ,X002456.SZ,X002414.SZ,X002049.SZ,X002463.SZ,X002179.SZ,X000066.SZ,X600118.SH,X002185.SZ,X002180.SZ,X300146.SZ,X002008.SZ,X600522.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002049.SZ,0,0,0,0.162527982002596,0,0,0,0,0.354230779448162,0,-0.143811984759947,0,0,0,0,0,0,0,0,0,0,0,0,0.0535865063799812,-0.194696132575481,0,0,0,0,0,0,0,0,0,0,0,0.292515295575133,0,-0.0208889086781016,0.258445050378743,0,0,0,0.20775627151765,0,0,0,0,0,0,0,0,0.0362738542345953,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153719404533789,0,0,0,0,0.0142164755908151,0,0,0,0,0.355926601078093,0,0,0,0,0,0,0,0,0,0,0,0.0615342989286067,0,0,0,0,0,0,0,0,0,0,0.132007898986976,0,0,-0.017704629056981,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0.137050361411199,0.0502667397685604,0,0,0.0922610431417349,0,0,0,0,0,-0.0711443000100778,0,0,0,0.0244113906682564,0,0,0,0,0.0761172069214036,0,0,0,0,0,0,0,0.106052335762922,0,0,0,-0.0302192362369609,0,0,0,0,0,0,0.0746699355565701,0.0233401356210655,0,0,-0.0116412204753,0.0143957921670227,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141098724446821,0,0,0.0110027263297324,0,0,0,0,0,0,0.211698933686489,0,0,0,0.0769204414591261,0,0,0,0,0,0,0,0,0.107954573847491,0.100793444169281,0,0,0,0,0,0,0,0,0,0.0515032733700895,-0.0118275295155705,0.00515716900818363,0,0,0,0,0,0
X600118.SH,0,0,0,-0.326694271977409,0.365304793452626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.154021033168998,0,0.133766791162224,0,0,0.020062298573516,0,0,0,-0.0442353041816406,0,0,0,0,0,0,0,0.101537949239624,0.033529264839271,0,0,0,0,0.250929953838566,0.155537551999464,0,0,-0.0119405579213433,0,-0.0209425987885151,-0.00700204646442659,0,0,0,0,0,0
X002185.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578071843110678,0,0,0,-0.00672891371065103,0,0,0,0,0,0,0,0,0,0.198047974666579,0,0,0,0,0,0.351494311991479,0,0.0427698172477418,0,0,0,0,0,0.162978777950163,0,0.196314528558473,0,0,0,0,-0.014089391653988,-0.00308161955374464,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0.0491179797928834,0,-0.0692949123624193,0,0,0,0,0,0,0.016003836712901,0,0,0,-0.00897497851790192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191344204313946,0,0.277632224020111,0.0514961931253988,0,0,0,0,0.22017824787261,-0.0598288830988839,0,0,0,0,-0.0293759221788177,0.0392672633297298,-0.0563613018375714,0,0,0,0,0,0
X300146.SZ,0,0.056932767333007,0,0,0,0,0.0722488690915433,0,0.0720329561197927,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.114467210554796,0,0.0585277638342292,0.065539807150294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170541326031885,0,0,0,0,0,-0.103094342211448,0,0,0,0,-0.0322514125014318,0.0164505825154934,0,0,0,0,0,0,0
X002008.SZ,0,0,0,8.67361737988404e-19,0,0,0.0455784050061569,0,0,0.0158395441564347,0,0,0,0,0,0,0,0,0,0.0422306117357711,0,0,0,0,0,0.00699120291330756,0,0,0,0,0,0,0,0.104814923527893,0,0,0,0.08259576073385,0.188604991671756,0,0,0,0,0.0919961508768832,0,0,0,0,0,0,0,0.00931227937685423,-0.0143515771931336,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0.126452374980094,0,0,0,0,0,0.0946269351922929,0,0,0,0,0.038958496932076,0,0,0,0,0,0,0,0,0.0269468961170301,0,0,0,0,0,0,0,0.250295166424004,0,0,0.132116395802199,0,0,0,0,0,0,0,0,-0.0368367079507414,0.00483645898108788,-0.0299595107536956,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177106690363118,0,0,0.0778965763069496,0,0,0,0,-0.283965523591361,0.0278882409832874,0.416645033234156,0,0,0,0,0,0,0,0.0868861497046755,-0.154987047171669,0,0,0,0,0,0,0,0,0,-0.086603005416645,0,-0.299442164418052,0,0,-0.0686369832191691,0,0,-0.115808816370916,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181502191678759,0,0,0,0,-0.513883804632852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.285592057838245,-0.027005877939312,0,0,0,0.472699253188167,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.343327530939173,0,0,0,0,0,0.322554058394747,0,0,-0.21999065936361,0,0,0,0.038355278093096,0,0,0,-0.608815194950723,0,0,0,0,0,0,0,0,0,0.0292616833013515,0,0,0,0,0,0,0,0,0,-0.599605356381206,0.400336711894831,0,0,0,0,6.21635427857634,0,0
RealEstate_excess,0,0,0,0,0,0,-0.0663370097762163,0,0,0,0,0,0,0,-0.0291819310489778,-0.0181349101943414,0,0,0,0,-0.0160613429334353,-0.0371119337982837,0,0,0,0,0.000871858781374975,0,-0.0488867732266607,0,0,0,0,3.46944695195361e-18,0,0,0.0828606540265382,0,0,0,0,0,0,0,0,0,0.0166333717193136,0,0,0,0,-0.00175283752885002,-0.00602754322033321,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0.0266465412455428,-0.0170790494225759,0,0,0,0,0,0,8.67361737988404e-19,0,-0.0312875921263283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213359407037355,0,0,0,0,0,0,0,0,0,0,0.0574121184215599,0,0,-0.022051956650567,0,4.33680868994202e-19,0,-0.000188428002106025,-0.00561042533523442,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,-0.00582413030415088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147314563058195,-0.0115974432130482,0,0.00113589764943127,0,0,0,-0.00550705310803526,0,0,0,0,0,-0.00528796745426537,0,0,0,0,0,0,0,0,0,0.00116135056157993,0,0,0,0,0.00235349462868634,0,0,0,0,0.0423684798203803,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0.0580363925124016,0,0,0,0,0,0,0,0,0,0,0,-0.00713253054705571,0,0,-0.0867894363881835,0,0,-0.00583060284646492,0,0.017566751819201,0,0,0,0,0,0,0,0,-0.00634910250670418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,0.142444284986931,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0.00324662959045448,0,0.000950298141255308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00501235333203572,0,0,0,-2.16840434497101e-19,0,0,0,-0.000677070614151355,0,0,0.000744701313411213,0,0,-0.000486797464336145,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.0100144254573706,0,0,-0.00538713499002073,0.0134996616592161,0,0,0,0.0238044113257518,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00220702676790813,-0.00271072138099243,0,0,0,0,0,0
