,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X002475.SZ,X000568.SZ,X002304.SZ,X600690.SH,X002371.SZ,X600104.SH,X300014.SZ,X600031.SH,X300124.SZ,X000725.SZ,X600703.SH,X000063.SZ,X002129.SZ,X000338.SZ,X000625.SZ,X300142.SZ,X002241.SZ,X003816.SZ,X000661.SZ,X002049.SZ,X000100.SZ,X000596.SZ,X600460.SH,X002179.SZ,X601877.SH,X002074.SZ,X600584.SH,X002007.SZ,X000157.SZ,X002414.SZ,X600183.SH,X002236.SZ,X000799.SZ,X600741.SH,X600702.SH,X601799.SH,X600089.SH,X000800.SZ,X600779.SH,X000066.SZ,X300146.SZ,X300003.SZ,X000977.SZ,X600884.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600741.SH,0,0,0,0,0,0.420498688520538,0,0.0845076836056045,0,0,-0.039350206925187,0.326791697079348,0,0,0,0,0,0,-0.10300327372903,0,0,0.0196686145429363,0,0,0,0,0,0,0,0,0.134283279708607,0,0.172468732785886,0,0,0.0497052948673763,0,0,0,0,0,0,0,0.0707626873040345,-0.0641592768591459,0,0,0,0,0,0.144397387466075,-0.0221125553236783,-0.0332228433134345,0,0,0,0,0,0
X600702.SH,0,0,0,0,0,0,0,0,-0.509571941820829,0,0,0,-0.148517592538342,0.268145137702471,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676439619841207,-0.123114464157952,0,-0.0754117286769372,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0.350337636251511,-0.326310262465159,0,0,0,0.0469347938094223,-0.179069659273928,-0.0553293932348149,0.21744110557247,0,0,0,0,0,0
X601799.SH,0,0,0,0.170142258784992,0,0,0.085557395044805,0,-0.0674650811187905,0,0,0,0,0,0,0,0,0.0589045620622327,0,0,0,0.0689953901934027,0.159829134445967,0,0,0,0,0,-0.0893107998441173,0,0,0,0,0,0,0.0425334324734956,0,0,0,0,0,0,0,0,0.0284062730033363,0.023913333040123,0,0,0,0,0,0,0,0,0,0,0,0,0
X600089.SH,0,0,0.0709033139342534,0,0,0,0,0,0,-1.73472347597681e-18,0.00127519937418329,0,0,0.0548107805954777,0,0,0,0,0.137263187488866,0,0.0142096623758191,0,-0.039094474084702,0,0,0,0,0,0,0.0946808889931011,0,0.0351516931844059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.056691624322693,0,0.0708990028359463,0,0,-0.0194637329936143,0,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0232537058001727,0,0.146791881170119,0.0372252850171206,0,0,0,0,0,0,0.0187629603359294,0,0,0.132278719733161,0,0,0,0,0,0,0,0.167951048845342,0,0,0,0,-0.108878365737672,0,0,0,-0.136472035908993,0,0,0.0156450622735015,-4.33680868994202e-19,0,0,0,0,0,0
X600779.SH,0.64511558417876,0,0,0.133663235999417,0,0,0,0,-0.290944931390407,0.106182176446586,0,-0.271698214739964,0,0,0,0,0,0,0.0727141185711765,0,0,0,0,0,0.181533246831479,0,0,0,-0.0120607059568966,0,0,0,0,0,0,0,-0.0178008253904042,0,0.542715860035668,0,0.00955501302524843,0.0519141560211896,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,-0.185794982577589,0,0,0,-0.00739379283162755,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0.0545022121422366,0,0,0,0,0,0,0,0.243424013764612,0,0,0.0675268839571382,0,0,0,0,0,0,0.341852473071642,0.139816231806877,0.049859868556594,-0.152065801270185,0.105772235088971,0,0,0,0,0,0,0,0,0,0,-0.0995533405784353,-0.0592976926500148,0,0,0,0,0,-0.2279446927516,0.0660464649530085,0,0,0,0,0,0,0
X300146.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0266362197661969,0,-0.135038963432155,0,0.0800797852092693,0.24843746258788,0,0,0,0,0,0,0,0,0,0.0257123810567961,0,0,-0.151732347080753,0.14510421150188,0,0,0,0.101151218961085,0,0,0.164757828853582,0,0.0700084847236033,0,0,0,-0.0826875377058792,0,0,0,0.0741916059709195,0,0,-0.0522547003916308,0.101329221604346,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,-0.0266915800796837,0,0,0,0,0,0,0,0,0,0,0.0286346494316861,0,0,0,0,0,0,0,-0.0316248707325897,0,0.0932174944837762,0,0.0853340640917553,0,0,0,0,0.0572747220330111,0,0.0436729178852084,0,0,0,0,0,0,0,0,-0.0646170642752912,0,0,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0.112629604259466,0,0,0,0,0,0,0,0.0449862379094368,0.0257957883317402,0,0.10118694047669,0,0,-0.0149451687418435,0,0,0,0,0,0,0.314651051319292,-0.116682790987971,0,0,0,0,0,0.101253559219018,0,0,0,0,0,0.0226901469217065,0,0,0.121366695855654,0,0.145168845502888,0,0,0,0,0.0755532622818469,0,0,0,0,0,0
