,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600703.SH,X600031.SH,X600271.SH,X000100.SZ,X600118.SH,X000559.SZ,X600066.SH,X600372.SH,X000157.SZ,X002236.SZ,X002241.SZ,X002475.SZ,X600741.SH,X600089.SH,X002292.SZ,X000338.SZ,X300124.SZ,X002465.SZ,X600839.SH,X000568.SZ,X600177.SH,X002074.SZ,X300003.SZ,X002129.SZ,X002294.SZ,X000977.SZ,X600867.SH,X600582.SH,X002506.SZ,X002276.SZ,X600498.SH,X000800.SZ,X002008.SZ,X000869.SZ,X000547.SZ,X002085.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002085.SZ,0,0,0,0,0,0,0,0,0,0,0.0590151124173949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108344097961247,0.362928474251049,0,0,0.161183529229534,0,0,0,0.0550616712066918,0,0,0,-0.346727289898056,0,0.218542883100895,0,0,-0.136273188157401,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,-0.0398106054514896,0,0,0,0,0,0,0,0,0.109157224206257,0,0,0,0,-0.050007862534011,0,-0.0214866589786117,0,0,0,0,0,-0.051400501894435,0,0.0170596141900037,-0.118897468271718,0,0,0,0,0.0703118812811178,0,0,0,0,0.0858661554302306,0,0,-0.00198507924336984,0,0,-0.0854960000181539,-0.0578220574249803,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0.592051584043622,0,0,0,0,0,0,0.274719513851721,0,0,0.936751221618662,0,0,0,0,0,0.156422902871997,0,0,0,0,0,0,0.385266654759365,0,0,0,0,0,0,0,0,0,-0.880466627929017,0,0,0,-2.91269714937843,0,0.562718319712942,-0.0860947339930921,0,0,1.7958863874536,0,-0.507240134139417,0,0,0,0
TED,0,0,0,0,0,0,0,0,-0.373317063970445,0,0.19772037756165,0,0,0,0,0,0,0,0,0,0,-0.0969306968655916,0,0.114695685127722,0,0.0848809996959402,0.190408447156794,0,-0.159443220670161,-0.319617570424197,0,0,0.0220356762367203,0,0,0,0,0,0,0.138938488948164,0.309198317185436,0,0.00923206977678034,0,0,0,0,0,0,0,0,0,0,0,0,0
RealEstate_excess,0.0402029630659565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.273146651431676,0,0,0.183866987868718,0,0,0,0.069433434552662,0,0,0,0,0,0,-0.187390048255506,0,0,0.112671088253854,0,0,0,0,0,0,0.0516293053794572,0,0,0.0913222735150141,0,0.478429946983256,0,0,0,0
MKreturn,0,0,0,0,-0.00195520656939449,0,-0.309704235160015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.212202915841278,0,0,0.0887977960999406,0,0,0,0,0,0.0693997325824233,0,0,0,0,0,0.0177219382268514,0,0,0,0,0,0.290027601522051,0,-0.0571401144305398,0,0.228813982684674,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,-0.00223356146608162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000495056387790136,0,-0.00154067148252519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00194970447466233,0,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,-0.14973173170053,0,0,0,0,0,0,0,0,0,-0.0386348421276287,0,0,0,0,0,0,0,0,0,0.0679799653297682,0,0,0,0.0237041307016214,-0.0188323987823432,0,0,0,0,0,0,0,0,0,0,0,0,0.0156083758475554,-0.198093648269084,0,-0.0179200296989615,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0.00161519949904484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00407271824297728,0,0,0,0,0,0,0,0,0.00164096190362513,0,0,0,0,0,0,0,0,0,0,0.00336864632206906,0,0,0.0239694955682696,0,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0.00242025631308494,-0.00327564733978081,0.00818192125740834,0,0,0,0,0,0,0,0,0,0,0,0,-0.00581384197204471,0,0,0,0,0,-0.0180142223293697,0,0,-0.0156502001487278,-0.00141720379997623,0,0.0168542552867318,0,0,0,0,0,0.000517562104793468,0,0,0,0,-0.0153944723954523,0,0,-0.0224191970400431,0.00415400580619385,-0.00087458174369427,0,0,0.0259434848146654,0,0
