,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X300014.SZ,X600104.SH,X000651.SZ,X600031.SH,X000725.SZ,X002241.SZ,X002371.SZ,X300124.SZ,X600703.SH,X000063.SZ,X000338.SZ,X003816.SZ,X000596.SZ,X002049.SZ,X002129.SZ,X000625.SZ,X000661.SZ,X601877.SH,X002179.SZ,X002074.SZ,X300142.SZ,X000100.SZ,X600460.SH,X600702.SH,X600741.SH,X600089.SH,X002236.SZ,X000799.SZ,X600779.SH,X000157.SZ,X601799.SH,X002180.SZ,X002414.SZ,X600522.SH,X000733.SZ,X600884.SH,X600584.SH,X002008.SZ,X600183.SH,X002007.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600183.SH,0,0,0,0,0,0.0338367719699636,0.130830582303152,0.0469202287406555,0,0.104657051807495,0,0,0,0,0,0.0318435233028396,0.0868423702290116,0.0105780579937688,0,0,0,0,0,0,0,0,0.0748767076703995,0,0,0.0177026247129048,0,0,0,0,-0.00662287170316406,0.276327269208576,0,0,0.0949536481754747,0,0,0,0,0,-0.0921166410403814,0,0,0,0,0,0,0.0112033111383238,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0.0282334608392324,0.134429355408093,0.240652756108852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101458836148782,-0.0619888778988064,0,0,0.0155424306709531,0,0,0,0,-0.00393198756529655,0,0,0,0,0,0,-0.126239231329492,0,0,-0.00368525371386692,0,0,0,0,0,0,0,0.013784524090593,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498374033399384,0.372453435649523,0.0625190057777127,0,0,0.0392190463814094,0,0,0,0.000401797055616994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00146106106532406,0.00288116847025789,0,0.0178503344666064,0,0.221065254680508,0,0,0,0,0.0106335845556461,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,-0.00781887317656309,0,0.0499689808081614,0,-0.0465494731338704,0,0,0,0,0,0,0,0,-0.234638052106625,0,0,0,0,0,0,0,0.0492603010108305,0,0,-0.0319614926515891,0,0,0,0,0,-0.0795744862849032,0,0,0,0,0,0,-0.0253598261230337,0,0,0,0,0,0,0,0,0,-0.149826688974806,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,-0.345003027367487,0,0,0,0,0.34791666999307,0,0,0,0,-0.0770561282245245,0,0,0,0,0,0,0,0,0,-0.206902238178688,-0.04053062256747,0,0,0,0,0,0,0,0,0,-0.144565918208565,0,0,0,0,0,0,0,0,1.12288993435896,0,0,0,2.11365248593354,0,0
TED,0,0,0,0,0,0,0,0.0372367244695481,0,0,0,0.0946309294307611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0718121221507854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600457596228204,0,0,0,0,-0.572058889219954,0,0
RealEstate_excess,0.0204146796159868,0,0,0,0,0,0,0,0,0.0176374364284799,0,0.0227519072884902,0,0,0,0,0,0,0,0,-0.0882726598476286,0,0,0.10738812987673,0.0432070496707832,0,0,0,0,0,0,0,0,0,-0.0789490592443619,0,0,0,0,0,0,0,-0.0451250612069176,-0.0248785318596945,0,0,-0.0291906988602617,0,0,0,0,-0.0232019870395505,0,0,0,0,-0.0597850290828485,0,0
MKreturn,0,0,0,0,-0.0879989440753509,0,0,-0.0190304846851101,0,0,0,0,1.73472347597681e-18,0,0,0.0104593380171077,0,0.00262134482453583,0,0,0,0,0,0,0,0,-0.0078189657495852,0,0,-0.0175243901152819,0,0,0,0,0,0,0,0,-0.0353659715956827,0,0,0,-0.135357703047114,0,0,0,0,0,0,0,0,-0.0127854430926798,-0.00712374601572801,0,0,0,0,0,0
MKvol,0,0,0,0,0,-0.00408404980159676,0,0,0,0.000693345109476606,0,0,0,0,0,0,0,0.00157613532000297,0,-0.00133075279174557,0,-0.000992741354444605,0,0,0,0,-0.00265400364078458,0,0,0,0,0,0,-0.000393035677894932,-0.00122328247769983,0,0,0,0,0,0,-0.00191447486582718,0.00178957913235967,0,0,0,0,0,0,0,0,0.00840916502391525,-0.00667503432363558,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0333496516881765,0,0,0,0,0.075649298644169,0.0929020439689362,0,-0.013230645872479,0,0,0,0,0,0,-0.263306204861413,0,0,0,0,0,0,0,0.090631248883329,0,0,0.0437608901608617,0,0,0,0,0.0245901757425559,0,0,0,0,0,0,0
