,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X002475.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X600183.SH,X000596.SZ,X600703.SH,X002236.SZ,X000100.SZ,X601877.SH,X300003.SZ,X000157.SZ,X002463.SZ,X002007.SZ,X002241.SZ,X300142.SZ,X002179.SZ,X600271.SH,X300014.SZ,X000625.SZ,X300124.SZ,X600867.SH,X000066.SZ,X002008.SZ,X002049.SZ,X000977.SZ,X002129.SZ,X600498.SH,X600066.SH,X300136.SZ,X600177.SH,X002506.SZ,X002371.SZ,X000050.SZ,X300146.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002371.SZ,0,0,0.0636920976040078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113168624619627,0,0,0,0,0,0.201186311430268,0,0.0286553880833435,0,0,0,0,0,0,0.22878665100633,0,0,0.389528272627004,1.73472347597681e-18,0.0577860586572177,0.129943701101271,0,0,0,0,0,0.0534584642499515,0,0,0,0,0,0,0,0,0,0,0.00893558763292043,0,0
X000050.SZ,0,0,0,0,0,0,-0.125291741995975,0,0,0.5149765475164,0,0,0,0,0,0,0,0,0,0,0.139853034001528,0.00999357151711665,0,0,0,0.167891029680538,0,0,0.0137502921108608,0.0503120821067728,0,0,0,0,0,0,0.121061289440736,0.0713773218770916,0,0,0,0,0.0811977626573679,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0.0333415525258117,0,0
X300146.SZ,0,0,0,0,0,0,0,0,0.112124813408342,0,0,0.230774744745265,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131820041042055,0,0,0,-0.0424103271026312,0,0,0,0,0,0.0550071611404298,0,0,0.13300567039428,0,0,0,0,0,0,0.173104554424444,0.0459729069339448,1.38777878078145e-17,0,0,0,0,-0.0168436283814094,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0.193070753946167,-0.379634938033621,0.0495346666782445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515222086782798,0,0,0,0,0,-0.0296257414119605,0,0.0519143696259612,0,0,0.18870797412045,0,0,0,0,0.0833641536778134,0,0.0966052510532211,0.0911482575934646,0,0,0,0,0,0,0,0,0,0,0,0.0520505159430266,0.000318066792254968,0,0.736792050560998,0,-0.134350095958283,0,0
Change_TY3M,0,0,0,0.0296868765220951,0,0,0,0.0312561673140093,0,0,0,0,0,0,-0.161975196369204,0.00772227662347236,0,0,0,0,0.0501618278038434,0,0,0,0,0,0,0,0,0.0270204501563993,0,-6.93889390390723e-18,0,0,0,0.0410324582214605,-0.155766037178066,-0.0053250230551707,0,0,0,0,-0.0480337998141997,0,0,0,0,0,0.0546957842637099,0,0,0,-0.0898064270316611,0,0,0,0.0125246923843588,0,0
Slope,0,0,0,-0.230300849001559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11945134797319,0,0,0,0,0,0,0,0,0,0,-0.0567532038617415,0,0,0,0,0,0,0,0,0,-0.0336076335894496,0,0,0.666981975661957,0,0,0,0.243421959862693,0,0
TED,0,0,0,0,0,0,0,0,0,0.204871728959543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0831788369057347,0,0,0,0,0,0,0.131301803174072,0.0820046110310518,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460175452249005,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0.00711771289609366,0,0,0,0,0,0,0,0,0,-0.0350634173016084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041167917377005,0,0,0,0,0,0,-0.0328508612204273,0,0.0272642778505088,0.00793315047512195,0,0,0,0,0,0.015829766002598,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0.0304711087737824,0,0,0,0,0,0.00012608966328861,0,0,0,0,0,0.0287824199924642,0.0359482917022204,0,-0.0105925531515322,0,0,0,0,0,0,0.0306992478817298,0,0,0,-0.056427037005349,0,0,0,0,-8.67361737988404e-19,0,0,0.0448642262877744,0,-0.133006451463521,0,0,0,0,0,0,0.164951526989797,0,-0.0243399963579787,0.0351573100059074,0.0929605422153097,0,0,-0.0141407581864072,0,0
MKvol,0,0.00276653475462443,0,0,0,0,0,0,0,0,0,0.000297672284139042,0,0,0,0.000603852905858738,0,0.00144721827088764,-0.00133852438097442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000705391237991711,0,0,0,-0.00149896930249533,0,0.00697374204474687,0.00107317119580379,0,0,0,0.00254050142360441,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,-0.00955140337457748,0,0.59844942658614,0,0,0,0,0,0,0.167291705545202,0,-0.0587369487074732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291234603650096,0,0,0,0,0,0,0,0,0,-0.426284349778032,0,0.376451703067801,0.000455696617106066,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000574058112695071,0,0,0,0,0,0,0,0.00417411076532811,0,0,0,0,5.42101086242752e-20,0.00153858064512661,0,0,0,0,0,0,0,0,0.00169387887642734,0,0.0140945896457575,-0.00365715285077261,0,0,0,-0.0333939751084248,0,0
CarbonVol_Hubei,0,0.0191165256146071,0,0,0,0,0.00457093910761212,0,0,0,0.00273718849606915,0.0176060239961119,0,0,0,0,0,0,-0.00584893380139802,0,-0.00106772904309252,0,-0.02815063532267,0,0.000458860210931072,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0.00947833068957585,0,0,0,0,0,0,0,0,0,0.018105594213546,0,0,0,0,0.00285404577194803,0,0,0,0,0.0587944333688719,0,0
