,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600809.SH,X600690.SH,X000651.SZ,X002371.SZ,X000568.SZ,X003816.SZ,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X600104.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X600584.SH,X002463.SZ,X000977.SZ,X600089.SH,X000066.SZ,X600703.SH,X600372.SH,X000157.SZ,X600839.SH,X002028.SZ,X002049.SZ,X600522.SH,X002456.SZ,X002236.SZ,X600183.SH,X600741.SH,X600066.SH,X002156.SZ,X600460.SH,X601877.SH,X002085.SZ,X002129.SZ,X600487.SH,X000661.SZ,X000921.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.175911946011942,0,0,0.0444529964718356,0.440377066214388,0,0,0,0,0,0.146646973527792,0,0,0,0,0.115653587630214,0.208249168150239,0.0743335833805002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171385148377926,0.237276913685433,0,0,0,0,0,0.00626007472774064,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0.0237513511008063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192191610646887,0,0,0,0,0,0,0,0,0.0360864867756885,0,0,0.133881556894874,0.0774891870768838,0,0,0,-2.16840434497101e-19,0,0.197094890795718,0,0,0,-0.013847108947117,0,0,0.0546157318940873,0,0,0,0,0,0,0,0,0,-0.0115311020677445,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0.000141309275884899,0,0,0,0.127638497137006,0.0680440937633207,0,0,0,0,0,0,0.10869152798111,0,0,0,0,0,0,0,0,0.0477363201462503,0,0.295683826937633,0,-0.00816525357521809,0,0,0,0,0,0,0,0,0,0,0,0.0138769177805727,0,0.13652578373084,0,0,0,0.019646584045594,0.011202009885514,0,0,0,0,0,0
X600418.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369657157595154,0,0,0,0,0,0,0,0,0,0,0,0.0710088467276282,0,0,0,0,0,0,0,0,0,0.354418617480983,0,0,0.268301536524841,0,-0.0458636443439652,0,0,0,0,0,0,0,0,0,0.0715841764414736,0,0,0,0.0662019018170509,0,0
X002241.SZ,0,0,0,0,0.167340427226384,0,0,0,0,0,0,0,0,0.0835713922396206,0,0,0,0,0,0,0,0,0,-0.0661560538174831,0,0,0.0705110533641202,0,0,0.000242470405914668,0,0,0,0.142789290896303,0,0,0,0.00965355879041146,0.461657965902691,0,0,0,0,0,0,0,0,0,0,0,0,-0.0188942565245676,-0.0264308110081378,0,0,0,0.0310656725832838,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287460507347004,0,-0.0150203331435503,0,0,0,0,0,0,0,0.0407338939970246,0,0,0,0.0987105753533485,0,0,0,0,0,0,0,0.462290798717438,0,0,0,0,0,0,0.260305831708541,0.0483875046277614,0,-0.040400454226952,0,0,0,0,0,-0.0156695431037868,0.0203763383966997,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0.18478639354397,-0.0887081622154568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0547444983609068,0,0,0,0,0,0,0.196703405757958,0.0710903120004036,0,0,0,0,0,0.25477990751091,0,-0.0418869295751757,0,0,0,0,0,0,0.0508808100014018,0,0,0,-0.0437741245791653,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0.174825086343985,0,0,0,0,0.155138282306405,0,0,0,0,0,0,0,0,0,0.0499486588270894,0,0,0,0,0,0.0789428391022799,0,0,0,0,0,0,0,0.0205360610245804,0,0,0,0,0,0.155283950682222,0,0,0.292513606279412,0,0,0,0,0,0,0,0,0,0.014285222217456,0,0
X600089.SH,0,0,0,0,0,0.240128174414432,0,0,0,0,0,0,0,0,0,0,0,0.0550021050922802,0,0,0.239491877532134,0,0,-0.00351633729199678,0,0,0,0,0,0,0,0,0.114828860086205,0,0,0,0.0136912525646051,0,0,0.0573763679601548,0,0,0,0,0,0,0,-0.0452333759663784,-0.216912589286895,0.000548993596360291,0,0,0.00872707516870144,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0912205855199225,0.165272596062536,0,0,-0.465477157194022,0,0,0,0,0.735147603859283,0,0,0,0,0,0.10925644046679,0,0,0.445235276137822,0,0,0,0,0,0,0,0,0,0,0,0.198268453718821,0,0,0.190729136630482,0,0,0,0,0,-0.0902448405500412,0.0668309201904059,0.145419846242051,0,0,0.0918195429092029,0,0
X600703.SH,0,0,0,0,0,0,0,0,0.0831790958082437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0156590115483371,0.01970238678914,0,0.0564812223305021,0,0,0,0,0,0.20523665041868,0,0.0180868176331589,0,0,0,0,0,0.097330673939529,0,0.00943472010336778,0.0931160738893275,0,0,0,-0.0310498211958211,-0.00134091217374736,-0.0104032737191409,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0.0627468181029808,0,0,0,0,0,0,0.106041763389329,0,-0.0152560975474989,0.14024394790453,0,0,0.00496031459563587,0.189162196527242,0,0.0971540725099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582777294299745,0,0,0,0,0,0.000521087083850777,0.00851040526080032,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0.106339092957442,0,0,0,0,0,0.0340426219738966,0,0.0471198387799314,0,0,0.212533968214143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0313026375297369,0,0,0,0,0,0,0,-0.0262184768181388,-0.00552185382675647,0,0,0,-0.0731505956388256,0,0
X600839.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128578206586804,-0.203845740394084,0.475770300590096,0,0,0.0957908932438273,0,0,0,0,0,0,0,0.509440401010312,0,-0.0513154998699076,0,0,0,0.118685120573741,0,0,0.0482874106999711,-0.0934583529844927,0,0,0,-0.119576643061411,0.0949276287729421,0,0,0,0.221226629504202,0,0
