,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X600688.SH,X601600.SH,X300072.SZ,X600547.SH,X600795.SH,X600309.SH,X601991.SH,X600188.SH,X600362.SH,X600660.SH,X000709.SZ,X600886.SH,X600027.SH,X002466.SZ,X600157.SH,X600111.SH,X000959.SZ,X600339.SH,X000898.SZ,X600489.SH,X600008.SH,X601158.SH,X600299.SH,X002460.SZ,X600219.SH,X000408.SZ,X000883.SZ,X600352.SH,X600578.SH,X000401.SZ,X000630.SZ,X600160.SH,X600583.SH,X000792.SZ,X000723.SZ,X000539.SZ,X000786.SZ,X600176.SH,X000983.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000401.SZ,0,0,0,0,0,0.105144603323483,0,0.506215943609948,0,0,0,0,0,0,0,0,0,0,0,0.335722484336852,0.17198656599,0,0,0,0,0,-0.163518544186232,0,0,0.100914806717298,0,0,0,0,0,0,0,0.180134569726909,0,0,0.487063249256462,0,0.312339370536554,0,0,0,-0.21853491207311,0,0,0,-0.00266240263921513,0.0349571839761067,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353138599133009,0,0.0625639439571689,0,0,0,0,0,0,0.128319476332967,0,0.0317263848475375,0,0,0,0.0271134870403451,0,0,0,0,0,0,0,0.0787185390609673,0,0,0,0,0.00710039395492298,0,0.142427298688469,0,0,-0.00251814094114854,0.0120100523075789,0,0,0,0,0,0
X600160.SH,0,0,0,0,0,0,0.21075610004854,0.00253193030246579,0,0,0.00697718530435987,0,0,0,0,0.0405157720480097,0,-0.00814258692332327,0.169732650596208,0,0,0,0.139775952003694,0,0,0.0156414609726041,0.0433236400275902,0,0.119240778797124,0.0185375076622832,0,0,0,0,0,0,0,0,0.0569557033954424,0,0,0,0,0,0,0,0,0,0,0,0.00362625281798875,0,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0.000360248047515797,0.251773847723075,0,0.170096143996767,-0.158769030090562,0,0,0,0,0,0,0,0,0,0.0439017054497553,0.0690800130400321,0,0,0,0.0315686667015017,0,0.0358553231838835,0,0,0,0,0,0,0,0,0,0,0,-0.0887674076505977,0,0,0,0,2.16840434497101e-19,0.18138842255528,0,0,0,-0.0248956417094507,0.00416555296151335,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,-0.0989515611689872,0,0,0,0,0,0,0.0952358712832918,0,0,0.0141755100647945,0,0.108299007934783,0,0,0,0,0,0.132363842282817,0,0,0.0764482057353081,0,0,0,0,0,0,0,0,0.0150290739359242,0.0384171367946044,0,0,0,0,0.0299747415225261,0,0,0,0.241798799382594,0,0,0.0236740880880636,0.0327013201333582,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,-0.0484671269504339,0,0,0.0674918638064161,0,0,0,-0.0593483800416046,0.0129183034451026,0,0,0.154076076015947,1.73472347597681e-18,0,0,0,0,0,0.0338302456123162,0.039455288864824,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,-0.00281934661648406,0,0,0.16675485272478,0,0,0,0,0,0,0,0,0,-0.0604416409085223,-0.0629868862907026,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0,0,-0.042882776186551,0,0,0,0,0,0.235838784416476,0,0.270302377461832,0.200682563485449,0,0,0.0612731377805503,0,0,0,0,0,0,0,0.099855926185584,0,0,0,0,0,0,-0.194173166671333,0,0,0,0,0,0,0,0,0,0,0.0974810309128108,0,0.0186906353116156,0.0417335917381486,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0.0851215037371777,0,0,0,0,0,0,0,0,0,0.0709008231698739,0,0,-0.0737172038804193,0.196063580584374,0,0,0,0,0,0.402387303162389,0,0,0.234509748481174,0,0,0,0.0537925505260069,0,0,0,-0.108558055929833,0.338273472563132,0,0,0,0,0,0,-0.205742184601275,0,0.246462334596821,-0.0490167332611,0,0,0.0424496406647176,0.0340903838056609,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0.0670593243548409,0,0,0.0228556002484062,0,0,0.0249104395000801,0,0,0.364971463634539,-0.0409796367236793,0,0,0,0,0,0,0.0588719280758515,0,0,0.000329696147806158,0,0,0,0.0356824119301836,0,0,0.0242513162059643,0,0,0,0,0,0,0.109154749801982,0,0.115829593074086,0,0,0,0.194044540717234,0,0,0,0,0.0318372189962795,-0.029672730544955,0,0,0,0,0,0
X000983.SZ,0,0,0,0.0793253868265871,0,0,0,0,0,0,0,0,0,0,0,-0.146350294964989,0.0557899816733738,0.199341833698978,0,0.012744996991929,0,0,0,0,0.103094630011358,0,0.307083912344815,0,0,0,0,0,0,0,0,0,0,0,-0.0483786285061378,0,-0.0599077032281508,0,0.291256806817852,0,0,-0.00899214727607318,0,0,0,0,-0.0103365110178035,0.0223323400675547,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000870995132068644,0,0,0,0,0,0,0.0260990818356274,0.0967346794797992,0,0,0,0,0,0,0.0438622135208932,0.210275256472648,0,-0.168574015850144,0,0,0.118999397739877,0,0,0,0.186623996256127,0,0,0,0,0,0.00526931265922267,0.0181390308843483,0,0,0,0,0,0
