,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601600.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X600362.SH,X600795.SH,X600188.SH,X601992.SH,X600352.SH,X600027.SH,X002466.SZ,X000898.SZ,X600111.SH,X600516.SH,X002460.SZ,X600176.SH,X000709.SZ,X000990.SZ,X600299.SH,X000786.SZ,X000629.SZ,X600219.SH,X002271.SZ,X600801.SH,X600808.SH,X600489.SH,X000723.SZ,X601158.SH,X000825.SZ,X000553.SZ,X000883.SZ,X002110.SZ,X600157.SH,X000630.SZ,X600583.SH,X600339.SH,X600985.SH,X000027.SZ,X002470.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600339.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0589506371734317,0,0,0.117453237059864,0,0,0,0,0,0,0,0.0754592397243742,0,0,0,0,0,0,0.257175374894253,0,0,0,0,0,0,0.128228266451735,0,0,0.0458355328897435,0,0,0.030067722912677,0,0.0914827949811747,0,0.0452503481298399,0,0,0,-0.00102962051261312,-1.0842021724855e-19,0,0,0,-0.0425648911872924,0,0
X600985.SH,0,0,0,0,0,0.294583854887513,0.153376710882253,0,0,0.197664481424535,0,0,0,0,0,0,0,0,0.0633427282290401,0,0.120598887686622,0,0,0,0,0,0,0,0,0,0,0,0,0.0255885304239283,0,0,0,0.0323425722645017,0,0,0.0429208364403654,0,0,0.0576529790117333,0,0,0,0,0.0037843862100775,0,0,0,-0.00809048963901917,0,0,0,0,0,0
X000027.SZ,0,0.0875698823116273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467534635287586,0,0,0,0,0,0,0,0,0,0,-0.0366879518734727,0,0,0,0,0,0,0,0,0.0566092867769643,0.0367581085294162,0,0,0.111292460136981,0,0,0,-0.0143066148220497,0,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780348705077599,0,0,0,0,0,0,0,0.133474611344051,0,0,0,0,0,0,0,0.0725453358716471,0,0.159289063248688,0,0,0,0,0,0,0,0,0.0321764608432407,-0.135085214994381,0,0,0,0.075118998227262,0,0,-0.0499667309128748,0.0040551947894093,0,0,0,0,6.93889390390723e-18,0.174487096903953,0
Change_TY3M,0,0.337240208323605,0,-0.222646522709307,0,0,-0.0120073720029871,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192868550751638,0,0,0,0,-0.232564588210332,0.0603639455882471,0,-0.266111002482996,0,0,-0.734991653954742,0.0856748514346933,0,0,0,0,0,-0.0317338532543339,0,0,0,0,0.0824348803585272,0,0,0.0324346638527593,-0.233450167974171,0.107565655139763,0,0,0.0569126633272249,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.726523381382048,0.334831346342954,0,0,0,0,0,-0.291928812183875,0,0,0.231789091466287,0,0,-0.31246445147813,0,0,-0.219347090864567,0,0,-0.339532438251343,0,0,0.864378720038001,0,0.398394810333212,0,0.39839150149903,0,0.790592042141514,0,0,0,0.938146877732063,-5.47862576147689,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488134702705405,0,0,0.517779272613396,0,0,0,0.595426060310262,-0.335201158963796,-0.425283202848818,0.908462278021625,0,0,-0.836881683140332,0,0,-0.089784223676377,0,0,0,0,0,0.0554827070843799,0,0,0,-0.197144146013263,0,0,-0.718548511818125,0.386669924303449,0,0,0,0,-0.281080751687037,0,0
RealEstate_excess,0,0.0850050766688688,0,0,0,0,-0.132044032903284,0,0,0,0,0,0,0,0,0,-0.0450072796451048,0,0,0,0,0,0,-1.35525271560688e-20,0,0,0,0,0.0381028343952254,0,-0.0635996758102667,0,0,-0.109286882899948,0,0,-0.164466782878243,0,0,0,0,0,0,0.0339279311238757,0,0,0,0,0,-0.083674356106859,0,-0.016747511552802,0.0302955544143135,0,0,0,0,0,0
MKreturn,0,0,0.0729586398082078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137785468815265,0,0,0,0,0,0,0,-0.0191647397302135,-0.365022854286881,0,0,0,-0.0285697232073327,0,0,0,-0.00271476354803793,0,0,0,0,-0.0188042727360221,0.0842582109790682,0.028929477992115,0,0,0,0,0,0,1.0842021724855e-19,-0.00530026351782502,0.019465425801737,0,0,0,-0.058232302063933,0
MKvol,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,-0.00064141825510429,-0.00119598539327847,0,0,0,0,0,0,0,0.00301711164050355,0,0,0,0,0,0,0,0.000113860134552465,0,0,0,0,0,-0.000834999119799575,0,5.42101086242752e-20,-0.00367589927560269,-0.00145155946908284,0,0,0,0.0017942387603383,-0.00688008591611491,0,0,0,0.02375206477645,0.117065988668111,0
CarbonVol_Shenzhen,0,0,0,0,0,0,-0.116912623169515,0,-0.0296324262146658,0,0,0,-0.0594400781480432,0,0,0,0,0,0,0,0,-0.204960694494874,0,0,0,0,0,0,0.325547159132246,0,0,0,0,-0.182233757359768,0,0.438629651320572,0,0.0271987155600523,0,0,0,0,0,1.73472347597681e-18,0,0,0,-0.126298394518154,0,0.0213637999491276,0.00266505069347683,0.110848628828086,0,0,0,0,0,-0.263750002323041,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119279443909811,0,0,0,0,-0.00172449536340718,0,0
CarbonVol_Hubei,0,0,0,2.71050543121376e-20,0,2.16840434497101e-19,-0.0212745434759266,0,-0.000976205735049907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127117858021626,0,0,0,0.00946851892575036,0,0.0172343779148642,0,0,0,0,0,0,0,0,0,-0.00422111898537983,0,0,-0.00369950216843078,0,0.00108895956097177,0,0,0,0,0,0.00486311588217976,0.00162574706549086,0,0,0,0.00168876084981464,-0.0256127053708474,0
