,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600547.SH,X600886.SH,X600585.SH,X600011.SH,X600660.SH,X601600.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X600111.SH,X000708.SZ,X600027.SH,X002460.SZ,X600803.SH,X601991.SH,X000301.SZ,X600160.SH,X600426.SH,X002466.SZ,X000983.SZ,X601699.SH,X600176.SH,X000786.SZ,X600219.SH,X000807.SZ,X600985.SH,X000630.SZ,X002128.SZ,X000877.SZ,X601168.SH,X000933.SZ,X600096.SH,X000408.SZ,X000883.SZ,X000932.SZ,X600378.SH,X000027.SZ,X002271.SZ,X002353.SZ,X600995.SH,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002271.SZ,0,0,0,0.144468560193207,-0.0487974659728382,0,0,0,0,0,0,0,0,0,0,0,0.0240959852217658,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126995097444482,0.276412620554278,0,0,0.102952055627318,0.13557309972276,0,0.3123648961372,0.0458803706645084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0863396383825239,0,0,0.087806622690923,0,0
X002353.SZ,0,0,0,0,0,0,-0.127404129951956,0,0,0,0,0,0,0,0,0.156798084041135,0,0,0,0,0,0,0,0,0,0,0.0710609621679908,0.0516676577782806,0,0,0,0.23921898638462,0,0,0,0,0,0,0,0.340928590456785,0,0.163226452042471,0,0,0.163487269596718,0,0,0,0,0,0,-0.0427150996604811,0.0237651633550899,0,0,0,-0.00700236244659316,0,0
X600995.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.0308728632520952,0,0,0.0495556931062066,0,0,0.252703366343177,0,0,0,0,0,-0.0729178183816613,0,0,0,0,-0.0130067053663391,0,0,0,0,0.218479721971374,0,0,0,0,0.000408420864736776,0,0.0701020756900294,0.00346885284396739,0,0,-0.0460159458729816,0,-0.0773241955708154,0,0,0,0.0858408041474025,0,0
X600299.SH,0,0,0,0.0303689552308656,0,0,0,0,0,0,0,0,0,0,0.259624129535738,0.0474546857852612,0,0,0,0,0,0,0,0,0,0.0792612184223324,0,0,0,0,0.0333701698840983,0.0820511179421943,0,0,-0.0172368447081688,0,0,0,0,0,0,0.0843530132490106,0,0,0,0,0.102724265511285,0,0,0,0,0.1720166163586,-0.18228598407412,-0.0760260816667654,0,0,-0.0161213833095323,0,0
Change_TY3M,0,0,-0.0315047232116616,0,0,0,0.16573464267983,0.187735495021132,0,0,0,0,-0.000855866178206516,0,0,0,0,0,0,0,-0.0262949507124335,0,0,0,0,0,0,0,0,0,0.00184102425785564,0,0,0,0.192406069307522,0,-0.400960809371501,0,0,0,0.0787242785837326,0,0,0,0,0,0,0,0,0,0,0,-0.120536156216998,0,0,0,0.0480878189880766,0,0
Slope,0,0,0,0.596059136103457,0,0,0.111413705402799,0,0,0,0,0,0,0,0,0.00190014878635072,0,0,0,0,0.157291982446247,0,0,0,0,-0.182727690407544,0,0,0,0,0,0,0,0,-0.131378800651674,0,-0.118043888904839,0,0,0,0,-0.336498116323048,0,0,0,0,0.0811371061814264,0,0,0.177420332935414,0,0,0.842706664254744,0.0157018813900279,0,0,-0.124687839399827,0,0
TED,0,0,0,0,0,-0.0377692847479991,0,0,0,0.19102294154434,0,-0.189676945391282,-0.0304743897423255,0,0,0,0,0,0,0,-0.0298899930618837,0,0,0,0,0.194344036174939,0,0,0,0,0,0,0,0,-0.10105933707643,0,0,0,0,0,0,0,0,0,0,0,0.0136092485193351,-0.0258964807809575,0,0,0,0.641717838210006,0,0,0,0,-0.0492882006086634,0,0
RealEstate_excess,0,0,0,0,-0.0231373511948951,0,0,0,0.0957731786168163,0,0,-0.187195050565994,0,0,0,0,-0.163724322958154,0,0,0,-0.0277247796584215,0,0,0,0,-0.0371644722469712,0,0,0,0,0,0,-0.116699905249083,0,0,0,0,-0.0937942304521788,-0.0378970501491122,0,0,0,0,-0.00807396681298152,-0.00868407442432502,0,0,0.0865712970923973,0,0,0,0,0,0,0,0,-0.0277276481892885,0,0
MKreturn,0,0,0.0138310969024802,0,0,0,0,0,0,0,0,0,0,-0.175667246459055,0,0.0309558544330817,0,0,0,0,0,0,0,0,0,-0.029966644035154,0,0.0155879297261276,-0.0258117171536456,0,0,0,0,0,0,0,0,0,0,-0.000822742256279463,0,0,0,0,1.73472347597681e-18,0,-0.0665412509878454,0.0237415791365746,0,0,0,0,0,0.0299401407940711,0,0,-0.0290903357144875,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0.0011488804260857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00080608844681681,0,0,0,0,0,0,0,0,-0.000645846020810207,0,0,0,0,0,0,0,0,0,0,0,-0.00393185507497795,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0.049327847990469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276490565575839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,-0.0185350312049987,0,0,0,-0.0028338296043454,0.00424245487984709,0,0,0,0,0,0,0,0,0,0,0,-0.0264947135037435,0,0.0289590501266129,0,-0.013212045002319,0,0,0,0,0,0,0,0.0168087162620495,0,0,0,0,0,0.0195002149731859,0.0120143119585738,0.0144508170478556,0,0,0,0.0100998988011427,0,0
CarbonVol_Hubei,0,0,0,0,0.00541704242853134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00929264086508331,0,0,0,0,0,0.022555269326048,0,0,0,0,0,0,0,0,0,0,0,-0.0114567508707494,0,0,0.00815963593396735,0,0,0,-0.0361720428877398,-0.00593926209957463,0,0,0,0.00513518846075762,0,0
