,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X601898.SH,X600019.SH,X600795.SH,X600585.SH,X601600.SH,X600886.SH,X601991.SH,X600688.SH,X600027.SH,X000709.SZ,X600157.SH,X600111.SH,X600583.SH,X600188.SH,X600362.SH,X002075.SZ,X000539.SZ,X601158.SH,X600309.SH,X600352.SH,X601992.SH,X000027.SZ,X000883.SZ,X600021.SH,X000898.SZ,X002353.SZ,X002470.SZ,X600863.SH,X600307.SH,X000629.SZ,X600660.SH,X601918.SH,X600808.SH,X000792.SZ,X000878.SZ,X600098.SH,X000060.SZ,X600578.SH,X000825.SZ,X600489.SH,X600008.SH,X600022.SH,X300072.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002470.SZ,0.0684350307170748,0,0,0.120187262510105,0,0,0,0,0,0,0,0,0,0,0,0.108615360982701,0,0,0,0,0.0776899908165967,0,0,0,0,0,0.116258210957053,0.13183917093749,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0156362038993188,0,0,0,0,0,0,0,-0.0269521879422538,0,0,0,0,0,0,0
X600863.SH,0,0,0,0,0,0,0,0.0826167330103834,0,0,0,0,0,0.318262934373898,0,0,0,0.143782495111064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808308744972674,0,0.00459525786660076,0,0,0,0,0,0,0,0,0.258631254234417,0.0408433410341724,0,0,0,-0.0148748917055336,0,0,0,0,0,0
X600307.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457923968211222,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208031563818522,0,0,0,0,0,0,0,0.165334657407257,0.056604710687913,0,0,0,0,0.0588594929926388,0,0,-0.0405381543273318,-0.0400748704761919,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0971802088192973,0,0,0,0,0.102058165944472,0,0.00557968205513601,0,0,0.337804001198364,0.166240728076543,0,0,0,0.0175684232866982,0,0,0,0,0,0,0,0,0.0412946057959677,0,0,0.0220458322152946,0.00368669253154669,0,0,0,0,0,0
X600660.SH,0,0.0874514558845348,0,0,0.0928979358722416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206683471422101,0,0.0573737033399796,-1.73472347597681e-18,0.117122568826641,0,0,0,0,0,0.035648210906241,0,0,0,0,0,0,0,0,0,0,0.0566125254619787,0,0.111407143741145,0,0,-0.00569421344344007,-2.16840434497101e-19,0,0,0,0,0,0
X601918.SH,0,0,0,0,0,0.029373345734586,0,0,0,0,0,0,0.0872563266927086,0.310142139975835,0,0,0,0.10561358531291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711370102299171,0,0,0,0,0,0,0,0,-0.0446538832004537,0,0,0,1.38777878078145e-17,0.0890940854317219,0,0,-0.0161336806169451,-0.0357440306382074,0,0,0,0,0,0
X600808.SH,0,0,0,0.0617297092959015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0726083905401958,0,0,0,0,0.102570663547585,0,0,0,0,0,0,0,0.139439179628066,0,0,0,0.144338825274501,0,0,0,0,0,0.0646132510996884,0,0,0,0.15988349303818,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,-0.0062993684268992,0,0,0,0,0,0,0,0,0,0.0920746715836182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0218055864184438,0,0,0,0.2460659196418,0,0,0,0.0070293841465256,0,0,0,0.045055239330775,0.31072534412415,0,0,0,-2.77555756156289e-17,0,0,0,-0.00372379203730965,0,0,0,0,0,0,0
X000878.SZ,0,0,0,0,2.16840434497101e-19,0,0.0951332437796229,0,0,-0.0190560107375353,0.0296715649741637,0.0778491013728323,0,0,1.0842021724855e-19,-0.117684034827352,0,0,0,0,0,0,-0.201419581749719,0,0.0594981606209446,0,0,0,0,0,0,0,0,0.153899158545145,0,0,-0.0132593159713092,0,0,0,0,0,0.117921422303867,0.0753123357879937,0,0,0,0,0,0.0170004999043252,-0.0150457851403852,0,0,0,0,0,0
X600098.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014820912695354,0,0,0,0,0,0,0,0,0,0,0.155266637919123,0,0,0,0,0,0,0,0,0,0.320041601827033,0,0.0916292933921241,0,0,0,0,0,0,0,0,0.0072955157495314,0.0254435887932963,-0.032167583214014,-0.0895105959087072,0,0,0,0,0,0
