,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600019.SH,X600585.SH,X600188.SH,X600011.SH,X601600.SH,X600547.SH,X601898.SH,X600660.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600886.SH,X600010.SH,X600111.SH,X000708.SZ,X000301.SZ,X002271.SZ,X600426.SH,X000877.SZ,X600362.SH,X600795.SH,X600176.SH,X000807.SZ,X600803.SH,X600489.SH,X000983.SZ,X601699.SH,X000786.SZ,X601991.SH,X600027.SH,X600160.SH,X000932.SZ,X000630.SZ,X000933.SZ,X600219.SH,X000408.SZ,X002080.SZ,X000629.SZ,X300037.SZ,X600688.SH,X000539.SZ,X600157.SH,X600096.SH,X600612.SH,X002409.SZ,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600027.SH,0,0,0,0,0,0,0,0.842497300457279,0,0,0,0.381739620347769,0,0,0,0,0,0.0419033437721971,0,0,0,0,0,0,0,0,0,0,0.098698313407457,0,-0.186314402410504,0,0.136489762809538,0,0,0,0,0.224800831830606,0,0,0,0,0,0,0,0,0.0424572795489378,0,-0.00721583528019074,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0
X600160.SH,-0.302044029558785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251124472117988,0,0,0,0,0.0749663734253956,0.3317722523035,0,0,0,-0.126616024422285,0,0,0,0,0,0.0616787376980796,0,0,0,0,0,0,0,0,0,0,-0.14578050030905,0,0,0,0.173311579711839,0,0.103461405588478,0,0,6.93889390390723e-18,0.0424278294148895,0,0,0,0,0,0
X000932.SZ,0,0,0,0,0.221727479905242,0,-0.0305023553721665,0,0,0.0868963513935913,0,0.146254340979794,0,0,0,0,0,-0.11918027004057,0.139029478982174,0,0,0,0.243090866567107,0,0,0,0.00516414456517707,0,0,0.0768543777010773,0,0,0.0930620772928107,0,0,0,0,0,0,0.0510116872575547,0,0,0.0512172670974222,0,0,0,0,0,0,-0.0704267197597863,0,-0.0753168030093186,0.00063804456586885,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0.267711693341109,0,0.089898994789682,0,0,0,0.125931433465762,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.036883377481059,0.021376242976597,0,0,0,0,0,0,0,0,0,0,0,0,0.00582086746347175,0,-0.0522912315808061,0,0,0,0.218093874496427,0,0.127467784724047,0,-0.125473987754175,-0.0128137003077565,0,0,0,0,0,0,0
X000933.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159107254462792,0,0,0,0,0,0,0,0,0,0,0,0.302493036774733,0,0,0,0.100806415988199,0.162253618393833,0,0.0131434205925775,-0.0216642490237411,0,0,0,0,0.0560323740943906,0,0.0697463237504266,0,0,-0.0227073593356715,0,0.0825524927803573,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0
X600219.SH,0,0.00347705654284303,0,0,0.073076247635111,0,0,0,0.15289780133396,0,0,0,0,0.0626506109675191,0,0,0,0,0,0,0,0,0.291587103932984,0,0,0,0,-0.00848558087567114,0,0,0,0,0,0,0,0,0.0430988501209483,0,0,0.0141587613933747,0,0.0078768078785499,0,0,-0.0240770742977535,0,0,0,0,0,0,0,0.0165429675378462,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28805792511929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0683726488327371,0,0,-0.029915026479074,0,0,0,0,0,0,0,0,0,0,0,0,0.324753593523408,0,0,0.0569982351554373,0,0,0,0,0,0,0,0,0
X002080.SZ,0,0,-0.117896330135575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196565045700382,0,0,0.0934271578384345,0,0.0809271797870245,0,0,0.0737390594548795,0,0,-0.129351405372872,-0.0404447299549819,0,0,0,0.105874586978649,0,0,0,0,0,0,0,0,0.0364690430499051,0,0.0078750280085965,0,0.0963097591668743,0,0.0298156337530687,0,0,-0.0845613273909796,0.0137713699653438,0,0,0,0,0,0
X000629.SZ,0.0673226192900421,0,0,0,0,0.277695020091749,0,0,0,0,0,0,0,0,0,0,0.296104410259463,0.41982607185522,0,0,0,0,0,0,0,0,0.0618779109732957,0,0,0,0,-0.00269714904113507,-0.0749082417728153,0,0,0,0,0,0,0,0.0188354300914636,0,0,0,-0.0139752809730952,0,0.0225749422652426,0,-0.025874083370261,0,0,0,-0.0474823186393275,0,0,0,0,0,0
X300037.SZ,0,0,0,0,0,0,0,0,0.19510083870796,0,0,0,0.0509418656231967,0,0,0,0,-0.0677804240660215,0,0,0.084171164434165,0.0492361631714389,-0.276467178122819,0,0,0.251970608687007,0,0,0,-1.38777878078145e-17,-0.176286636306769,0,0,0,0,0,0,0,0,0,0.0687695989872103,0,0,0,0.026528353128538,0,0,0,0,0,0,0,0.0432529932930528,0,0,0,0,0,0
