,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600660.SH,X600019.SH,X600188.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X600010.SH,X000792.SZ,X600795.SH,X600111.SH,X002460.SZ,X600362.SH,X000708.SZ,X600803.SH,X000301.SZ,X600489.SH,X600160.SH,X600027.SH,X002466.SZ,X601991.SH,X000807.SZ,X000786.SZ,X600426.SH,X000983.SZ,X600176.SH,X600219.SH,X002128.SZ,X601699.SH,X000877.SZ,X000630.SZ,X000408.SZ,X600157.SH,X600096.SH,X000933.SZ,X601168.SH,X600985.SH,X002353.SZ,X600352.SH,X600995.SH,X000883.SZ,X600688.SH,X600378.SH,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0.43824211780569,0,0,0,0,0,0,0,0,0,-0.022994683813805,0,0,0,-0.00670366210651591,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0171064885493048,0,0.0992864416541384,0,0,0.0643177857715772,0.233439014920348,0,0,0,0,0,0,0,0,0,-0.00538748550479227,0,0
X000807.SZ,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.343347960747524,0,0,0,0,0,0,0.0826892386780252,0,0,0,0,0,0,0,0,-0.0512143955608512,0,0,0,0,0,0,0,0,0,-0.0403791812704965,0,0,-0.078057124897744,0,0.520218802122637,0,0,0.0802924584318021,0,0,0,0,0,0,0,0,0,0.0200499330952766,0,0,0.00607949233934459,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0.0629724767572733,0.263242080603752,0,0,0,0,0,0,0,0,0,0,0,-0.0173489972539841,0.254356498786987,-0.0230046128215829,0,-0.0308898607844829,0,0,0,0.124964228520433,0,0,0,0,0,0,0,0,0,0,0.0651352893390549,0.00461820510634187,0,-0.0794373418561093,0,0,0,0,0,-0.0515534531716491,0,-0.0259915740096463,0,0,0,0,-0.00754215730475926,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129442286603346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17370558143431,0.102798902347079,0,0,0.0849607125622448,0,0.220675622377485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0423369974382493,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457676742432704,0,0.141484492099829,0.114030343729814,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814537348986897,0.051441250200209,0.0927571557591018,0,2.16840434497101e-19,0,0.24376020098178,0,0,0,0,0,0,0,0,0,0,-0.00511277276270878,0,0,0,0,-0.0688961403509774,0,0
X600176.SH,0.0719327176856468,0,0,0.106190981957279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192845150908723,0,0,0,0.11512030024744,0,0,0,0.0859891289346123,0,0,0,0.0840902816025832,0,0,0,0,0,0.0294998094458054,0,0,0.0515808951168841,0,0,0,0.163025795056973,0.0914936030187537,0,0,0,0,0,0,0,-0.00512039535540654,0,0,0,0,1.73472347597681e-18,0,0
X600219.SH,0,0.124801152270701,0,0,0,0,0,0,0,0.500562612753848,0,0,0,0,0,0,0.0473411507305101,0,0,0,0,0,0,0,0,0,0,0.00325267206842081,0.0397944686942952,0,0,0,0,0,0,0.169177873548533,0,0,0,0,-1.73472347597681e-18,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,-0.0111794799610559,0,0,-0.0713749943537915,0,-0.0228342102587397,0,0
X002128.SZ,-0.0598169055163292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115141239773021,0,0,0,0,0,0.110738683134308,0,0,0,0,0,0,0,0,0,0,0.230092133428687,0,0,0,0,0.0684085727448667,0.258489417366501,0,0.160496808157228,0.0393581063216256,0,0.100211173001128,0,0,0.0460137484757893,0,0,0.0256868391670909,0,0,-0.123430758687691,0,0.0375140701829365,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.230016060154515,0.0495076434115193,0.194736451373311,0,0,0,0,0,0,0.25434248820028,0,0,0,0,0,0,0.0747556097939939,3.46944695195361e-18,0,0,0.170736090361363,0,0.0012998193232373,0,0,0,0,0,0,0,-0.0585785127929071,0,0,0,0,0.0624216375416668,0,0
X000877.SZ,0,0,0,0,0,0,0,0,0.171769906774345,0,0,0,0,-0.0193918267542276,0,0,0.282465814146358,0,0,0,0,0,0,0.205860187513306,0,0,0,0,0,0,0,0.28479331487764,0.106750919389776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0464045660212646,-0.117945231919911,-0.125111372989668,0,0,0.028903192216374,0,0
X000630.SZ,0,0,0,0.130203488082769,0,0,0,0,0,0.076019116269908,0,0,0,0,0,0,0,0,0.0682190376871453,0.0437683454153902,0,0,0,0,0,0,0,0,0,0.0770582521222655,0.138858192869766,0,0,0,0,0,0,0,0.0274312278667573,0,0.0533405920073009,0,0,0,0,0,0,0.443999043188381,0,0,0,-0.0121338473207507,0,-0.0681270671024964,0,0,0,0,0
X000408.SZ,0,0,0,0.0710473238943498,0,0,0,0,0,0.149452092922122,0,0,0,0,0,0,0,0.124889515048674,0,0,0,0,0.0602495593003251,0,0,0,0,0,0,0,0,0,0,0,0.1788437518164,0.00253963349742094,0,0,0,0,0.170165704999419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0.199342311482774,0,0.383983720524807,0,0,0,0,0,0,0,0,0,0,0,0.0205806839026502,0,0,0,0,0,0.0736480103484287,0,0,0,0.178596891450223,0,0,0,0,0,0,0,0,0,0.19347874582531,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.123822036558722,0,0
X600096.SH,0,0,0,0,0,0,0,0,0.173935758367875,0,0,0,0,0,0.199364509139838,0,0,0,0,0,0,0.0757115770676436,0,0,0,0,0.0126874220521818,0.00864509986362294,0,0,0,0,0,0.186617527348208,0.00952095009287974,0.0132262844555947,0,0.0268108695380769,0,0,0,0,0,0,0,0,0,0,0.200276790350138,0,0,-0.0344487763214589,0,0,0,0,-0.0411703795352996,0,0
X000933.SZ,0,0,0,0,0,0,0,0,0,0.116851383222101,0,0,0,0,0,0,0,0,0,0,0,0.141725503106075,0,0,0,0,0,0.255458098792298,0,0,0.0338950217065713,0,0,0,0.0838726742089753,0,0.0387291471439692,0.207954898366453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601168.SH,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.0281688738817116,0,0,0,0,0.192249652030406,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.160066020130768,0,0.121081791964976,0,0,0,0.183301413423438,0,0,0,0,0,0,0,0.150611574712608,0,0,0.0121140537609351,0,0,0,0,0.000769602748116239,0,0
