,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600886.SH,X600019.SH,X601898.SH,X600585.SH,X600795.SH,X601600.SH,X601991.SH,X600688.SH,X000709.SZ,X600027.SH,X002075.SZ,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X000898.SZ,X600021.SH,X601158.SH,X000027.SZ,X000539.SZ,X000878.SZ,X600309.SH,X600022.SH,X601992.SH,X600352.SH,X000883.SZ,X000629.SZ,X601918.SH,X600307.SH,X600160.SH,X600547.SH,X600098.SH,X600660.SH,X600489.SH,X600808.SH,X000792.SZ,X000060.SZ,X600863.SH,X002470.SZ,X600578.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600027.SH,0,0,0,0,0.0400578847110113,0,0,0.110198374594589,0,0,0.236010072648048,0.187770079299165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018795566737678,0,0,0,0,0,0,0,0.0592608813920876,0,0,0,0,0,0,0,0,0,0.116758593327578,0,0,0,0,-0.017249480405261,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,0.252885144592938,0,0,0,0,0,0,0,0.179247441271377,0,0,0,0,0,0,0,0,0,0,0.0834030828800307,0.1575128518728,0,0,0,0,-1.73472347597681e-18,0,-0.065235044786641,0,-0.0971551202855687,0,0.0720562071397629,0,0,0,0,0,0.0125583271319988,0,0.0194863493580588,0,0,-0.0778450442750389,0.0181871472896258,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0.108633600450332,0.0045181444601892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186867268204652,0,0,0,0.0293872449544713,0,0,0,0,0.148600985895576,0.0518724081944683,0,0,0,0,0,0,0,0.0352759142032799,0,0.079535242324546,0,0,0.0124241395907679,-0.0282595233521867,0,0,0,0,0,0
X600111.SH,0,0,0,0.00431614518474357,0,0,0,0.0575112398314411,0,0,0,0,0,0,0,0,0,0,0.0372208966841077,0.073800347316341,0.141279796232328,0,0.235968951939545,0,0.0271996029665697,0,0,0,0.0228726211684156,0,0,0.0257238158751509,0,-1.73472347597681e-18,0,0,0.0239791661907142,0,0,0,0,0,0.0766462639017103,0,0,0,0,0,-0.0111770527090158,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.123187242193148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076127690299741,0,0,0,0.147883895087616,0,0.112392913456411,0,0,0.0311663098772227,0.0102939440167538,0,0.0441560434857984,0,0,0,0.19342972832903,0,0,0,0,0.0649526819378268,0,0,-0.0402970306065863,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.212424109745263,0,0,0.0668066804896364,0,0,0,0,0,0,0,0.0241421063480575,0,0,0.0728605467638497,0,0,0.00224795329736203,0,0,0,0,0,0.0172081062388946,0,0.0302477890022806,0,0,0.00807505067394609,0,0,0,0,0,0,0,0,0,0,0,-0.0117381238657236,0,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0.0300730170936533,0,0,0.462978660042241,0,3.46944695195361e-18,0,0,0,0,0,0.0117195714353216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679326660538,0.124300701592808,0,0,0,0,-0.00782417051695989,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0,0,0,0.165259351932108,0.187717051043591,0,0,0,0,0,0,0,0.0222137720834087,0,0,0,0.14462837885852,0,0,0,0,0,0.260973716420124,0,0,0.0534351710014254,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0938121324059212,0.103976063149497,0,0,0.0363003304090394,0,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.306023219115567,0,0,0,0,0.00278857507953995,0,0,0.0184970042872161,0.0390464507182166,0,0,0,0.0231500470192637,0,0,0,0,0,0.00637696038458008,0,0,0,-0.00601388728848657,2.71050543121376e-20,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00630205318591098,0.0365149133916723,0,0,0.0843952761175477,0,0.127674631128231,0,0,0,0.00973115040764653,0.160548103199799,0.0218695996129151,0.0819508043515668,0,0.0120386155747873,0.00958986933196249,0,0,0,0,0.0521205581803069,0.0229706080295722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
