,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X600688.SH,X600547.SH,X601600.SH,X600795.SH,X600362.SH,X600309.SH,X300072.SZ,X600188.SH,X601991.SH,X600157.SH,X600027.SH,X600886.SH,X600660.SH,X601992.SH,X600111.SH,X600489.SH,X000898.SZ,X600299.SH,X600339.SH,X000709.SZ,X601158.SH,X000959.SZ,X600583.SH,X000792.SZ,X000630.SZ,X002466.SZ,X000408.SZ,X600098.SH,X000723.SZ,X600352.SH,X000883.SZ,X600219.SH,X000825.SZ,X000539.SZ,X600021.SH,X000027.SZ,X002092.SZ,X601699.SH,X000983.SZ,X000937.SZ,X600623.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0495519612889393,0.138022947083806,0,0,0,0,0,0,0,0,0.0347379772731864,0,0,0,0,0,0,0,0.138517012092709,0,0,0,0,0,0,0,0.0933339612702868,0,0,0,0,0,0.050032080561657,0,0.0764541841973679,0.0123941919319968,0.0385698846535349,-0.0298520059363794,0,0,0,0,0,0
X000630.SZ,0,0,0.301793101902073,0,0,0,0,-0.0117511775581057,0,0.0924916381970472,0.287251292282738,0,0.307427264934317,0.159464131879661,-0.00286198155126388,0,-3.46944695195361e-18,0,0,0,-0.096843906070443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024446466718147,0,0,0,0,0,0,0,0,0,-0.141985385038911,0,0.185368161054806,0.155401417190392,-0.0175065870485845,-0.00259414407775289,0,0,0,0,0,0
X002466.SZ,0,0,0.125834533006162,0,0,0,0,0,0,-0.0113218960506305,0,0,0.107372612421621,0,0.0811891648514027,0,0,0,0,0,0,0,0,0,0,0,0.132485523517286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747254680728882,0,-0.011071208438798,0,0.0446980768692936,0,0,0,0.21073426945425,0,0.00378225927002541,0.000113770299740702,0,0,0,0,0,0
X000408.SZ,0,-0.0990266741747415,0,0,0,0,0,0,0,0,0,0,0,0.0714568129792503,0,0,0.0950907258366789,0,0,0,0,0,0,0,0,0,0.14451542261498,0,0,-0.0120707554766231,0,0,0,0,0,0,0,0,0,0,0,0,-0.0977885346018297,0,-0.0215711952036111,0,0,0,0.0319527191144674,-0.000222795338688926,0.0157254508041006,-0.0138170480255702,0,0,0,0,0,0
X600098.SH,0,0,-0.0806417931456643,0,0,0,0,0,0,0.0878004889880895,0,0,0,0,0.00539544974738221,0,0,0,0,0.171161624865457,0.186101367532846,0.103244945747282,0,0,0,0,0,0,0,0,0,0,0,-0.0445098883312645,0,0,0,0,0,0,0,0,0,0,0.0591949368106795,0,-0.0156432657731762,0,0.0510298120966535,0.0963029270573487,0.0325983103018381,-0.029791793692195,0,0,0,0,0,0
X000723.SZ,0,0,0,0,-0.224292143621318,0.00668988974540543,0,0,0,0,0,0,0.0360011918225435,0,0.298446393131909,0,0,0,0,0,-0.641495147579591,-0.0609135415103468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530550385647603,0,0,0.133775582664409,0,0.0200114203756261,-0.0357097433339879,0,0,0,-0.374159459764792,0,0
X600352.SH,0,0.0790221290281098,0,0,0,0,0,0.167268274462739,0.0144849708056417,-0.0338013101648451,0,0,0.132613490820202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0750768904569902,0,-0.0576761711058596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00921053112561338,-0.00932336672944675,0,0,0,0.0486533337409871,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00768432244150527,0.0702865994330347,0,0,0,0,0,0.0939264168468619,0,0,0,0,0,0,0,0.0263172447806015,0,0,0,0.00556723636133242,0.0184303868857461,0,0,0,0,0,0,0.013109529313417,0,0,0.157536489592842,0.0337428300519781,0,0,0.0300152851821327,0.100923157398304,0,-0.000793636111637734,0.00459225911521558,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0.0112299199923855,0.0644418414182254,-0.0262291050686627,0.146055528775975,0,0.0368595788318246,0,0,0.0132443964110268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094115673529689,0,0.345627702856322,0,0,0,0,0,0,0,0,0,0,0,-0.0354742451280924,0.109652056284071,0,0,0,0,-0.0262454281825086,0.0163491012115557,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0967155215752645,0,0,0,0,0,0,0,0,0,0.0398155880425489,0.250980878070852,0,0,0,0,0.0733605280159452,0,0,0,0,0,0,0.146024758857107,0,0,0,0,0,0,0,0.258787768433601,-1.38777878078145e-17,0.192522665090958,0.0464243834240182,0.0522937084159957,0,0.0208811738359418,-0.0311475283943311,0,0,0,0,0,0
