,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600660.SH,X600886.SH,X601600.SH,X600547.SH,X000792.SZ,X600795.SH,X002466.SZ,X000708.SZ,X601699.SH,X600010.SH,X600111.SH,X002460.SZ,X000301.SZ,X600362.SH,X000983.SZ,X000877.SZ,X600027.SH,X600426.SH,X600803.SH,X600160.SH,X600489.SH,X000786.SZ,X601991.SH,X600985.SH,X000408.SZ,X000630.SZ,X002271.SZ,X000933.SZ,X000932.SZ,X600176.SH,X000807.SZ,X601168.SH,X600612.SH,X600348.SH,X002128.SZ,X300037.SZ,X600219.SH,X600096.SH,X000027.SZ,X600995.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600027.SH,0,0,0,0,0,0.102269158974954,0,0.52481504246549,0,0.00667851005640034,0,0,0,0,0.274023783862545,0,0,-0.247051698601939,0.0721969086311093,0,0,0,0,0,0,0,-0.277583808191847,0,0,0,0,0.364705634052449,0.171180550053907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22014848096678,0,0,-0.00452708204812589,-0.0172079999186571,0,0,0,0,0,0
X600426.SH,0,0,0,0.421426021044918,0,0,0,0,0,0,0,0,0.337184573393887,0,0,0,0,0,0,0,0.0074350748483714,0,0,0,0,0,0,0,0.0284971677166844,0.116592051464225,0,0,0,0,0,0.0989764650527841,0.09438305441995,0,0.204891936639286,0,0,-0.0857806276984553,-0.180646966451771,0,0.0235222866175249,0,0,0,0,0,0.157946435731512,0,0.0105566362406615,-0.173182071516086,0,0,0,0,0
X600803.SH,0,0,0,0,0.102683226903864,0,0,0,0,0,0,0,0,-0.129977771968054,0,0,0.0967415946154169,0,0,0,0,0,0,0,0,0,0,0,0.197095539963672,0,0.138779506542272,0,0,0,0,0,0.0532992105743243,0.115720355324191,0,0.0983152152983161,0,0,0,0,0,0,0,0,0,0,0.0840279048590978,0.0196880186891951,0,0.0113888540505973,0,0,0,0,0
X600160.SH,0,0,0,0,-0.280775955451866,0,0,-0.0368975705928328,0,0,0,0.143726592557074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237511681849433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21643737580484,0,0.117625761639491,0.360469322448627,0,-0.00713382779613783,-0.0132746682699213,0,0,0,0,0,0
X600489.SH,0,0,0.0310842520964772,0,0,0,0,0,0,0,0,0,0.603369560894077,0,0,1.0842021724855e-19,0,-0.0219544075789724,0,0,0,0,0,0,0,0,0,-0.0389274634215472,0,0,0,0,0,0,0,0,0,0,0,0.0735409377070554,0,0,0,0,0,0,0,0,0,0,0,-0.00599978277428718,0,0,0,0,0,0,0
X000786.SZ,0,0,0,0.108367413964612,0,0.249634692578863,0,0,0,0,0,0,0.0509716309232347,0,0,0,0,-0.0583493294874775,0,0,0,0.0156683650279035,0,0,0,0,0.0536725414500448,0,0,0,0,0,-0.0785427155741765,0,0,0.249172989489134,0.117054089915769,0.0366872240803315,0.00678897143395667,0,-0.241046717166788,0.162326075807287,0,0,0,0,0,0,0,0,0,0.0524913158090029,-0.012002295540428,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.232382028651498,0,0,0,0,0,0,0,0,0,0,0,0.0661025477351489,0,0,0,0,0,0.103539782785854,0,0.0627691043961937,0,0,0.0604190315642157,0,0,0,0,0.0108976672015061,0.00300442633323768,0,0,0.170394735954603,0,0,0.0259664784782678,0,0,0,0,0.0798950308549609,0,0,-0.102953019157914,-0.0208683324821636,-0.00708643177241935,0,0,0,0,0,0
X600985.SH,0,3.46944695195361e-18,0.0673618420266365,0,0,0,0,0,0,0,0,0,-0.0565949625185557,0,0.115742908620584,0,0,0.700717165346468,0,0,0,-0.061794257482648,0,0,0,0,0,-0.211995762748625,0.0333241172817346,0,0,0,0,0,0,0,0,0,0,0,0.1064051823274,0,0.0810333411245284,0,0.131092954743002,0,0,0,0,0,0.0690606017320618,0,0.0242382419374985,0,0,0,0,0,0
X000408.SZ,0.118505677919783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128919904993119,0,0,0,0,0.236472818242882,0,0,0,0,-0.178704840418479,0,0,0,0,-0.013770150655279,0,0,0,0,0,0,0,0,0,0.117335618101468,1.73472347597681e-18,0.260229948566728,0,0,0,0.0886421788630815,0,0,0,0,-0.00375691561999872,-6.93889390390723e-18,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0.308927736257279,0,0,0,0,0,0,0,0.109805173317968,0,0,0,0,0,0,0,0,0.103254441105959,0,0.0846937032754522,0,0,0,0,0,0,0.0732172810131628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0142559223323864,0,0,0,0,0,0
