,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X600660.SH,X002271.SZ,X000708.SZ,X601898.SH,X600547.SH,X601600.SH,X600362.SH,X000301.SZ,X002466.SZ,X000786.SZ,X600111.SH,X600188.SH,X600010.SH,X600426.SH,X600886.SH,X600011.SH,X600176.SH,X601991.SH,X600803.SH,X600795.SH,X000027.SZ,X000408.SZ,X600219.SH,X600352.SH,X600489.SH,X600801.SH,X000932.SZ,X000807.SZ,X600688.SH,X000898.SZ,X000825.SZ,X002353.SZ,X000959.SZ,X601699.SH,X300037.SZ,X600315.SH,X002080.SZ,X600157.SH,X000830.SZ,X600299.SH,X600486.SH,X600027.SH,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600010.SH,0,0,0,0,0,0.16278536595398,0,0,0,0,0.0565353446520561,0,0.067977783620127,0,0,0,0,0.133894169532744,0,0,0,0,0,0,0,0,0,0.0457809021695522,0.00404960004667688,0.10700782710471,0,0,0,1.73472347597681e-18,0,0,0.107057614687156,0,0,0.142536314138971,0,0,0,0,0,0,0,0.121589956448061,0,0,0,0,0,0,0,0,-0.0419982224744377,0,0
X600426.SH,0,0,0,0.312444671389011,0,0,0,0,0.119484181891407,0,0.00281031352949136,0,0,0.113181910291042,0.0150586289607232,0,0,0,0,0,0,0,0,0.0772526056971609,0,0,0,0,-0.0364971542344736,0,0,0,0.0951634809970153,0,0,0,0,0,0,0,0,0,0,0,0,0.378860037574818,0,0,0,0,0,0.022280746182318,0,0,0,0,-0.0379687289341196,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582518596594266,-0.00236220549931395,0,0,0,0,0.152021189449068,0,0,0,0.106136124433186,0,0,0.219107112339203,0,0,0,0,0,0.107408080949814,0,0,0.0308162855030315,0,-0.031389068911501,0,0.0263976634549589,-0.0934817475859263,0,0,0,0,0,0,0,0,0,0,0.0240822192842456,0,0,0,-0.0349603634597321,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,-0.0323624659942844,0,0,-0.0289879828109296,0,0.00796483290190308,0,0,0,0,0,0,0,0,0.27061914393217,0,0,0.00428195364625305,0,0,0,0,0,0.0560664394429853,0,0,0,0,0,0,0,0,0,0,0.049811599983253,0,0,0,0.218804306507061,0.0201208325518958,0,0.00805872955131582,0,0,0,0,-0.0273440155694621,0,0
X600176.SH,0,0,0,0,0,0,0.265799950648354,0,0,0.193066832654016,0,0,0,0,0,0,0,0.133729474828771,0.114264131218054,0,0.296093014903058,0,0,0,0,0,0,-0.0233628891567329,0,0,0,0,0,0.100041066670523,0.0571331239215271,0,0.00879343886631292,0,0,0,0,0,0,0.25209086277262,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0
X601991.SH,0,0,0,0,0,0,0,-0.14821287415911,0,0,0,0,0,0,0,0,0,-0.0503123617408064,0.002946229289602,0,0,0,0.580084600468799,0,0,0,0,0.184671879043473,0,0,0,0.0277476764872545,0,0.0506567635618598,0.0201433206164915,0,0,0,0,0,0.0183750517542966,-0.0729454658321019,0,0,0,0,0,-0.0284948709796355,0,0,0,0.00906352796934787,0,0,0,0,-0.0286493564452285,0,0
X600803.SH,0,0,0,0,0,0,0,0.188096757116763,0,0,0,0,0,0,0.0436407833158378,0.0475482921901155,0,0,0,0,0.120351415836077,0.317527452426923,0,0,0,0,0,0,0.0344842102460649,0,0,-0.105693067760196,0,-0.113029891526919,0.0737434640284643,0,0,0,0,-0.00774735743280817,0,0,0,0.185279575881455,0,0,0,-0.00597092577436813,0,0,0,0.0259070318460175,0,0,0,0,0.0143816514413763,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136498963648472,4.33680868994202e-19,0,0,0.0666804363941643,0,0,0,0,0.132413364292912,0,0,0.0658768008608636,0,0,-0.0800628609734382,0,0,0,0,0,0.101335854577877,0,0,0,0,-0.0436281558038072,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.0276864333297861,0,0,0,-0.0441011445592778,0,0
X000027.SZ,0,0,0,-0.258793516860929,0,0,0.40481714163126,0,0,0,0,0.29309811662704,0,-0.044032270344874,0,0,0,0.073301639101075,0,0.178725536491201,0,0,0,0,0.775273143051862,0,0,0,-0.132255020167393,0,0,0,0,0,0,0,0,0,-0.172247948633581,0.0564128298569057,0,0,0,0,0,0,0,0,0,0,0,-0.0148896627142364,0,0,0,0,-0.0667844318448255,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0.429785081886833,0,-0.0519960448009664,0,0,0,0,0.123057888855906,-0.574569080072084,0,0,0,-0.0988317123802161,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.163150778404784,0,0.030006922907923,0,0,0.258142253930172,0,0,0,0,0,0,0,0,0,0,0.0392379946899047,0,0
X600219.SH,0,0,0,-0.0860018504208456,0,0,0.0255553268830007,0.212888528131196,0,0,0.158774462368025,0,0,0,0,0,0,0,0,0,0,0.0448405995539316,0,0,0,0,0,0,0.0514785253759316,0,0,-0.0556670417392233,0,0,0.345777841049744,0,0,0,0,0.0869865336107974,0,0,0,0,0.0356677224021634,0.0909186445868505,0,0,0,0,0,-0.0396894795270185,0,0,0,0,-0.0380829152556044,0,0
X600352.SH,0,0,0,0,0,0,-0.102810320035357,0,0,-0.0234576249488867,0,0,0.0570100747049474,0.0356563925113766,0,0,0,0,0.0124322109202809,0,0,0,0,0,0,0,0,-0.0068623507248751,0,0,0,0.11948829736649,0,0,0,0,0,0.00286142128399876,0.131607628829118,0,0,0,0,0,0,0.19844520484617,0,0,0,0,0,-0.0469785881202818,0,0,0,0,-0.0319559950990177,0,0
