,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X002466.SZ,X000792.SZ,X601898.SH,X600019.SH,X600011.SH,X600660.SH,X600111.SH,X600547.SH,X000708.SZ,X600010.SH,X000301.SZ,X002271.SZ,X600886.SH,X600795.SH,X000877.SZ,X601600.SH,X600426.SH,X600362.SH,X600176.SH,X600027.SH,X601699.SH,X600803.SH,X601991.SH,X000983.SZ,X000629.SZ,X000408.SZ,X600160.SH,X000786.SZ,X000723.SZ,X002080.SZ,X600219.SH,X600348.SH,X600096.SH,X600489.SH,X600995.SH,X600378.SH,X000933.SZ,X000807.SZ,X600157.SH,X600688.SH,X600985.SH,X600141.SH,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000408.SZ,0,0,0,0,8.67361737988404e-19,0,0,0.455646248744467,0.399866623110446,-0.106458277435581,0,0,0,0,0,0,0,-0.0226870772343313,0,0,0,0,0,0.0409557078087403,0,0.0331294015141212,0.00676368461063792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0241486218008144,0,-0.128242009267658,0,0,0,0,0,0,0,-0.00899462601411988,0,0,0,0,0,0,0
X600160.SH,0,0,0,0,0,0.068584065607266,0,0,0,0,0,0,0,0,0.0073369697153745,0,-0.118461756214965,0,-0.119619476854813,0,0,0,0,0,0,0,-0.0566501599206309,0,0,0,0,0.102069320414156,0,0,0,0,0.0936647522951653,0,0.182309893728844,0,0,0.0900914067414122,0.0861818124825668,0,0.0910030590413562,0,0,0,0,0,0,0,0.0344059221911042,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0.0742645960138932,0,0.6193292532446,0,0,0,0,0,0,0,0,0,0,0,0.335563594595848,0,0,0,0,0,0,0.154134172461047,0,0,0,0.0791472828826899,0,0.0222424329994386,0,0,0,0.214712505145475,0,0,0,0,0,0,0,0.00348392032397896,0,0,0,0,0,0,0,-0.0101369946827615,0,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241595225542017,0,0,0,0,0,0,0,0.0442947798331726,0,0,0,0,0,0,0,0.0175555921193133,0.141285774682057,0.0334047464687531,0,0,0,0,0.100384082210242,0,0.0600090634542731,0,0,0.00180735328674468,0,0.109285148497074,0,0,0,0,0,0.112321588405055,0.0417084791367769,-0.000609581649645049,0,0,0,0,0,0,0
X002080.SZ,0,0,0,0,0,0.21507786666254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169032540855828,0.0733101425421259,-0.156894699912235,0,0.133360782979389,0,0.154830101892636,0,0,0.100000092441281,0,0,0,0,0,0,0.0706404743301895,0,0,0,0,0,0.252058373703082,0,0.0465629749514214,0,0.0116214866021006,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0589418127225027,0.0508157618026187,0,0,0,0.567066247974936,0,0,0,0,0,0,0,0,0.0268182261821623,0.0270821722478027,0,0,0,0,0,-0.0635340631975633,0,0,0.0283728617381756,0,0.18484427279807,0.106542387869551,0,0,0,0,0.0884846707904045,0,0.014245702991956,-0.0374129302229461,0,0,0,0,0,0
X600348.SH,0,0,0,0,0,0.0833792282368983,0,0,0,0.422304055316941,0,0.286206762514711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258386676051338,0.106594200756691,0,0,0.0218480723042202,0,0,0,0,0,0,0,0,0.166279141690421,0,0.407901813536691,0,0,0,0,0,0,0,0,0,0.0107478489723051,0,0,0,0,0,0,0
X600096.SH,0,0,0,0,0,0.425081616250761,0,0.162504317056241,0,0,0,0,0,0,0,0.171365171407084,0,0,0,0,0,0,0,0,0,0,0,0.0690844538671041,0,0,0.231933593992981,0.000833577843549506,0,0,0,0,0,0,0,0,0,0,0,0.133370568093667,0,0,0,0,0,0,0,-0.000267103037539581,0.0718487762358019,0,0,0,0,0,0
X600489.SH,0.139526644317738,0,0,0.068699035708081,0,0,0,0,0,0,0,0,0,0,0.220973119608124,0,0,0,-0.0197501551806178,0,0,0,0.0643100190397044,0,0.25122133915097,0,0,0.01426325462399,0.0138962199504476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136077414301293,0,0,0,0,0,0,-0.00742171366323787,0,0,0,0,0,0,0
X600995.SH,0,0,0,0,0,0,-0.0805261903239436,0,0,0,0,0,0,0,0,0,0,0.194483175150443,0.137071512026464,0,0,0,0,0,0,0,0.188597892865738,0,0,0,0,0,-0.0814689467184753,0.124318290272514,0,0,0.14302779542539,0,-8.67361737988404e-19,0,0,0,0.270121970991161,0,0,0,0,0,0,0,0,-0.0366842390240235,-0.00248079362597503,0,0,0,0,0,0
