,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X600309.SH,X601600.SH,X601898.SH,X600688.SH,X600188.SH,X600795.SH,X601992.SH,X600362.SH,X002466.SZ,X600660.SH,X601991.SH,X600547.SH,X300072.SZ,X600886.SH,X600111.SH,X000709.SZ,X600516.SH,X600027.SH,X600157.SH,X002460.SZ,X000898.SZ,X600339.SH,X000959.SZ,X600489.SH,X002092.SZ,X600808.SH,X601158.SH,X600352.SH,X600219.SH,X002271.SZ,X000630.SZ,X000883.SZ,X000983.SZ,X600176.SH,X000723.SZ,X600299.SH,X600578.SH,X000408.SZ,X000792.SZ,X000060.SZ,X600008.SH,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600489.SH,0,0,0,0,0,0,0,0,0.107975628545085,0.265417998092947,0,0,0,0.0681950687726138,0,0.0799204950191167,0,0,0.0565837523037293,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0.0874440736211443,0,0,0,0,0,0,0.035921950641354,0,0,0,0,0,0,0,0,0,0,-0.0174409946771248,0,0,0,0,0,0,0
X002092.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0459045754436849,0,0,0,0,0,0.226259749611451,0.0729308257409523,0,0,0,0,0.117620448640778,0,0,0,0.0158870448881304,0,0,0,0,0,0,0.0641167547870679,0.0620998884451186,0,0.090865925014557,0,0,0,0,0.0457974141680886,0,0,-0.0257450632761895,0.00879042739603084,0,0,0,0,0,0
X600808.SH,0,0,0,0.290875389500634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277597145766416,0,0,0,0,0,0,0,0,0,0,0.0586792396592339,0.0332962148767977,0,0,0,0,0.0831062832595839,0,0.049502964821546,-1.0842021724855e-19,0,-0.0268680220016111,0.055517474861091,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273631152420958,0,0,0,0.0116892691456248,-0.031866144418747,0,0,0,0.0244069317042468,-0.0447207152788593,0,0,0.0353451624472835,0,-0.0952593587095304,0,0.132508277183411,0,0.157440675603082,0,0,0,0.060566805977774,0,0,0,0,0,0.0301952156242145,0,0,0,0,0,-0.0110443769361923,0,0.00698670318858166,0,0,0,0,0,0,0
X600352.SH,0,-0.117377925519284,0,0,0,0,0,0.0903485170807772,0,0,0,0,0,0.210832080753651,0,0,0.0522350663951063,-0.0775795938931218,0,0,0,0,0,-8.67361737988404e-19,0,0.034588569055958,0.0183054895082285,0,-0.0270300124373852,0,0,0.0382442685719849,1.73472347597681e-18,0,0,0,0,0,0,0,0.0479848041360462,0,0,0.0697461118225079,0,0,0,-0.0668075468117517,0,0,-0.0129509008444766,-0.0062215342159146,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0.134595113422889,0,0.0373520729475282,0,0,0.101032611332141,0,0,-0.0378653344456382,0,0,-0.0962179313436173,0,-0.0435526127005835,0,0,0,0,0,-0.0180125398661649,0,0.0222773081146936,-0.0154163949665682,0,0,0,0,0,0,0,0.00619849184010795,0,0,0,0,-0.00943149292625808,0,0,0,0,0,-0.014346350688852,0.0209615207674393,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0.064369998977115,0,0,0.0390397302024676,0,0,0.405425635075022,0.00354363972670268,0,0,0,0,0.513223677320928,0,-0.0622493169074471,0,0,0,0.0865378551392785,-0.0545982479217478,0,0,0,0,-0.0418776067174187,0,-0.0235589397502038,-0.138793960812272,0,0,0,0,0,0,0,-0.192378219490408,3.46944695195361e-18,0,0,0,0,0,0,0.112394599063514,0,0,-0.00532183123032394,0,0.0772237293110624,0,0,-0.0461006656321194,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0389385947864222,0,0,0.0207301367530267,0,0,0.0788154267796812,0,0,0,0.026245659359777,0,0.0472545993788598,0,0,0,0,0.0427692772669099,0,0,0,0.0278785287436279,0,0,0,0,0,0,0.120477456519356,0,0,0,0,0.0691793333497679,0,0.0630930564903334,0.0374291906660544,0,0,-0.0131055537535703,0.0224407126272143,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0.0160681940241129,0,0,0,0,0,0,0.0167396424746294,0,0.00547189361792589,0,0,0,0,0,0,0,0,0,0,0,0,0.0663752291944488,0,0,0.0715142153822349,0.00162047960280791,0,0,0,0,0,0,0,0,0,0.0259848405847989,0.0657130575196308,0,0.119290283273284,0,0.0123326147838808,0,0,-0.0136030879120725,-0.00172307661102206,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354833618181933,0.134291356804023,0,0,0,0,0,0,0.0738015273389855,0.0891934040404586,0,0,0,0,0.109994888450873,0,0,0,0.312814287262265,0,0,0,-0.143447825318226,0,0,0,0,0,0,0,0,0,0.0374854077061333,0,0,0,-0.0112417914108679,-0.0296711071597639,0,0,0,0,0,0
