,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600019.SH,X600585.SH,X002460.SZ,X601898.SH,X600547.SH,X002466.SZ,X601600.SH,X000792.SZ,X600886.SH,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X000301.SZ,X000877.SZ,X002271.SZ,X600795.SH,X600362.SH,X600027.SH,X600426.SH,X601991.SH,X601699.SH,X600176.SH,X600803.SH,X000983.SZ,X600489.SH,X000807.SZ,X600995.SH,X000786.SZ,X600160.SH,X600219.SH,X600688.SH,X000933.SZ,X000408.SZ,X600612.SH,X000932.SZ,X000629.SZ,X002080.SZ,X000630.SZ,X600096.SH,X000723.SZ,X300037.SZ,X600157.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000877.SZ,0,0,0.036478339301416,-0.0422672086676388,0,0,0.143895545421601,0.0214499622668977,0.183845436724808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11467596277468,0,0.0629226307565504,0,0,0,-0.0975643924763476,0.0342483928481336,0,0,0,0,0,0,0,0,0.380445325678412,0.419839192390814,-0.0266969644672967,0,0.161816134522964,0,-0.0638741127677387,0,0,0,0.0112166867823177,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,-0.127761222468946,0,0,0.494169540361989,0.089107893044833,0,0,0,0,0,0,0,0,0,0,0,0,0.478666661278181,0,0.0496596929953253,0,0,0,0.110520948856983,0,0,0.0326894401281999,0,0,0,0.0339933550918552,-6.93889390390723e-18,0.120675553752938,0,0,0,0,0,0,0.0124267843707343,0,0,0,0.0222265066143582,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.0447756605757395,0,0,0,-0.026448507503096,0,0,0,0,0,0,0,0,0,0,0,0,0.0453979956902487,0,0,0,0,0.281641428485121,0,-0.0685800669284172,0.236352414916937,0,0,0,0,0,0.0597827235204374,0,0,0,0,-0.0989868008928613,0,0,-0.0423984736558136,0,0,0,0,0,0,0,0.00427713099045029,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0.0388165499370977,0,0,0,0,0.0126889388583553,0.0572666867165261,0.00875184621838833,0,0,0,0,0,0,0,0,0,0.106438383956749,0,0,0,0,0.014257644877071,0,0,0,0,0,0.134774010464555,0,0,0,0,0.106295559796705,0,0,0,0,0,0,0.370938988637332,0,0,0,0,0,-0.041607716887009,0.0370148708376771,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0.488114048023786,0,0,0,0,0,1.73472347597681e-18,0.111783728533101,0,0,0,0,0,0,0,0.081912975166502,-0.0578357521001637,0.269350047949924,0,0,0.133008918719368,0,0,-0.347979680971349,0,0,0,0.150638871208674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0868585816282651,0,0,0.106361571065317,-0.015616218645341,0,0,0,0,0,0,0
X600426.SH,0,0.0923074142442744,0,0.610228005925943,0,0,0,0,0,0.226618031253689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0845719315383542,0,0,0,0,0,0,0,0,-0.179946639040547,0,0,0,0,0.0381715365746944,0,0,0,0,0,0,0.214319816128605,-0.08009526028737,0.105401128630375,0,0,0,0,0,0
X601991.SH,0,0,0,0,-0.110287754972805,0.211402105429443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.582988830014339,0,0,-0.00802374533098828,0,0,0,0,0,0,0,0.0988386761125899,0,0.00697969741897981,0,0,0,0,-0.0646251635923853,0,0,0,0,0,0,0,0,0,0,0,-0.0106066391950102,0,0,0,0,0,0
X601699.SH,0.0975959798106975,0,0,0,0,0,0,0,0,0,-0.182846544624918,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0906891055976896,0.110057556706908,0,0,0,0,0.65122276945331,0,0,0,0,-0.00845782224587503,0,0,-2.77555756156289e-17,0,0,0,0,0,0,0.3366702146735,0,-0.0735638073180378,0,0,0,-0.0783425697050892,0,0,0,0,0,0,0
X600176.SH,0.18222576433418,0,0,0.0147890943001248,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.0536472334715156,0,0,0,0,-0.0376289431857836,0.28363979569611,-0.0783165154471128,0,0,0,0,0,0.0519726093684282,0,0,0,0,0,0,0,0.032643807932052,0,0,0,0,0.249465442600842,0,0,0.174463203743606,0,0,0,0.0187562626476565,0,0,0,0.0284235254105959,-0.0142884915683921,0,0,0,0,0,0
X600803.SH,0,0,0,0,0,0,0,0,0,-0.0720059990235437,0,0,0,0,0,0.173443922144092,0,-0.199450976007157,0,0,0,0,0,0,0,0.334154784269792,0.13026643003046,0.00695496407495882,0,0,0.0587878078043418,0,0,0,-0.0765660512393339,0.139645680332422,0,0,0,0,-0.0441457251592663,-0.192382720182309,0,0,-0.0363397308459134,-0.025896381171853,3.46944695195361e-18,0,0,0,-4.33680868994202e-19,-1.73472347597681e-18,0,0,-0.126249063858323,0,0,0,0
