,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X300072.SZ,X600188.SH,X600547.SH,X600795.SH,X601600.SH,X601991.SH,X600027.SH,X600362.SH,X600157.SH,X600111.SH,X600886.SH,X601992.SH,X600489.SH,X600309.SH,X600660.SH,X600299.SH,X600623.SH,X002466.SZ,X000792.SZ,X002075.SZ,X601158.SH,X000709.SZ,X000898.SZ,X000983.SZ,X000723.SZ,X000408.SZ,X600583.SH,X000883.SZ,X600352.SH,X600549.SH,X000959.SZ,X000539.SZ,X600176.SH,X000027.SZ,X002470.SZ,X000630.SZ,X600021.SH,X000060.SZ,X000012.SZ,X002460.SZ,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601992.SH,0,0,0,0,0,0.392279042264954,0,0,0,0,0.0194906129027607,0,0,0,0,0,0,0,0,0,0,-0.042189748726349,0.0790498210834205,0,0,0,0,0,0,0.106858995636151,0,0,0,0,0,0.00563025114440242,0,0,0,0,0,0,0,0,0,0,0.109961175995962,0,-0.0294181029025437,0,0,0.0501533261326614,0,0,0,0,0,0,0
X600489.SH,0,0,-0.134654146332787,-0.051590235465922,0,0,0,-0.157903023736756,0,0,0,0.727224759947671,0,0,0,0,0.393042324746347,0,0,0,0,0,0,0,-0.111632683161899,-0.0150391150245647,0,0,0.0154666212209701,0,0,-0.153459882566967,0.144847971378726,0,0,-0.0242162446883201,0,-0.216739369572852,0,0,0,0,0,0,0,0.170797303987593,0,0.0608219579580003,0,0,0,-0.0367854756409091,0.0796091312839086,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.0446252547722061,0.0146376257139081,0,0,0.0610746573970017,0,0,0,0,0,0,0,0,0,0.188304212313355,0,0,0,0.112427205185627,0.02650236124962,0.220742336827892,0,0,0,0,0,0,0,0,0.0315948898554348,0,0,0,0,0,0,0,0,0,0,0,0,0.0171361807121467,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.283272994225242,0,0,0,0.0153264289427099,0,0,0,0,0,0,0,0,0,0,0,0,0.0593106120644105,0,0.137116887700902,0,0,0,-6.93889390390723e-18,0.147416983481397,0,0,0,0,0,0.119527570796468,0,0,0,0,0,0.250797241887932,0,0,0.000272795711394151,-0.0610619042943441,0,0,-0.0130730918532344,0,0,0.012071961862516,-0.0521068028391167,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0.0679881235526312,0,0,0,0,0,0,0,0,0,0,0,-0.0782807137535906,0,0,0,0.0394871683114003,0,0.00136935631880075,0,0,0,0.0180703761442176,0.121182493703396,0,0.155043821045187,0,0,0,-0.0330962285301363,0,0,-0.0713076161968134,0,0,0,0,0.114673883368252,0.170575990601344,0,0,0,-0.0145419057797517,0.129781292456733,0,0,0,0,0,0
X600623.SH,0,0,0,0,0,0.187105261383262,0,0.0661861022043669,0,0.0617048698995463,0,0,0,0,0,0,0,0,0,0,0,-0.0115238740630617,0,0.174602511599946,0.0717009999519739,0,0,0,0,0,0,0,-0.0581542645492581,0,0.248935383325105,0,0,0,0,-0.125037925526378,0,0,0,0,0,0.288090872909618,0,0,0,0,0,0,0.0158625927057964,0,0.00745458637615374,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.00114503646262719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134078871565969,0,0,0,0,0,0,0.0342058652075578,0,0,0,0,0,0.0965595660633085,0,0,-0.104220943043546,0,0,0,0,0,0.114019245375811,0.475761203836639,0,0,-0.0322578138272821,0.0781123066495537,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,-0.0788513601618124,0,0,0,0,0,0,0,0,0.163805500771626,0,0,0,0.0621788042691958,0,0.209334585488916,0,0.089430593876237,0.0578104702245336,0,0,0,0,0,0,0,0,0,0.181077931374278,0,0.157649276049206,0.198292947216169,0,0,0,0,0.22432899454058,0.170584424428143,0,0,0.00907912002133324,0,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,0,0,0,0,-0.142099684386179,0,0,0,0,0,0,0,0,0,0.164856337584765,0,0,0,0,0,-0.143541693551223,0,0.0751417844236851,0,0.401610390875594,0,0,0,0.235574314762906,-0.236639175363605,0.117079596579158,0,0,-6.93889390390723e-18,0.226642448859821,0,-0.226491038827926,-0.0469412706614978,0,0,0.333618629481167,0,0,0,0,0,-3.46944695195361e-18,0.0268017011151115,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0.0738910355815208,0,0,0,0,0,0,0,0,0,0,0,0,0.186971087917598,0.0239552267485345,0,0,0,0,0.158286667457824,0,0,0,0,0,0,0,0,0,0.110350890196813,0,0,0.106943258801756,0,0.157579275632511,0,0,0,0.0172125609307222,5.42101086242752e-20,0,0,-0.0834332946820698,0,0,0,0,0,0,0
