,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X601600.SH,X601991.SH,X600688.SH,X600188.SH,X600795.SH,X600886.SH,X600362.SH,X002466.SZ,X000898.SZ,X600516.SH,X600547.SH,X600027.SH,X601992.SH,X600111.SH,X600176.SH,X002460.SZ,X600352.SH,X000553.SZ,X002110.SZ,X600299.SH,X300072.SZ,X000786.SZ,X000932.SZ,X600801.SH,X000709.SZ,X600808.SH,X600426.SH,X600339.SH,X000883.SZ,X600583.SH,X601158.SH,X600219.SH,X601699.SH,X600985.SH,X000830.SZ,X600489.SH,X601003.SH,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600547.SH,0,0,0,0,0,0,0,0.0173560682426976,0,0,0,0,0,-0.0159361950551527,0,0,0,0.0853615610125981,0,0,0,0.0272047256351233,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.090686954754059,0,0,-0.0416188129117674,0,0,0.840121992552854,0,0,0,0.0119251821171666,0.0303585334889971,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,-0.0498880150006292,0.441690960437998,0,0,0.14520620901218,0,0,0,0,0,0.470857877537718,0,-0.118570731203636,0,-0.0298382303930334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126277036047909,0,0,0,0.0652631860436499,0,0,0,0,0,0.0538778701032633,0,0,-0.0719460818146158,0,0,0.0069021276246711,0.016825219562542,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0.253817491104782,0,0,0,0,0,0,0,0,0,0,0,0.0133381782430792,0,0,0,0,0.0531768355027324,0.0991594464188103,0.0485326901742654,0,0,0.0104659550193607,0,0,0,0,0,0,0.138292019042675,0,0,0,0,0,0,0.125419487272657,0,0.106677736436478,0,0,0,0,-0.0182101206274306,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0765974696766807,0,0,0,0,0,0,0,0,0,0,0,0.060507911404843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103818911606877,0,0.0359233818229692,0,0,0.0201630702187672,0,0.200761770628611,0,0.0256890331905471,0,0,0.00383938770047008,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716371541077451,0,0,0,0,0,0.194269828564958,3.46944695195361e-18,0.0662879846624873,0,0,0,0.106191851213357,0,0,0,0,0.0273804990616406,0,0,0,0,0,0,0.13192945446855,0.0560917061471937,0,0,0,0,0.0210342111696834,0.0330245933330649,0,0,0,0,0,0
X002460.SZ,0,0,-0.161685546120591,0,-0.0980283896994685,0,0,0,0,0,0,0,0,0,0,0,0,0.419127613839588,0,0.361908486751816,0.117458496378351,0,0.254639173394805,0,0.0583389139391944,0,0,0.0483296770638939,0,0,-0.0660688518672227,0,0,0,0,0,0,0,0,0,0,0,0,0.0365569002115422,0.0490672695895241,0,0,0,0.0170211354443246,-0.0103808042093586,-0.026367418117027,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0.0905030363602124,0,0,0,0,0,0,0,0,0,0,0,0,0.183857217721462,0,0.0709106032998715,0,0,0,0,0,-0.144161684040318,-0.0459669596232396,0,0.0386963302318182,0,-0.0592621755626986,0.0848336337408395,0,0,0,0.154331291982488,0,0,0,0,0,0,0.421194011533153,0,0,0,0,0.0158748412311877,0.0129140202512246,0,0,0,0,0,0
X000553.SZ,0,0,0,0.399073869448414,0,0,0,0,0,-0.448611300087106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104341611634642,0,0,0,0,0.08953734224009,0,0,0,0,0,0.120635693235772,0,0,0,0,0,0,-0.118778853019016,0.225072660806785,0,0,0,0,0,-0.00109491358297599,0,0,0,0,0,0
X002110.SZ,0,0,0,0,0.629268558402939,0,0,-0.0314677676062145,0,-0.00427354780687351,0.0993026042419132,0,0,0.184742973555028,0,0,0,0,0,-0.0858614694018829,0,0,0,0,0,-0.0273620434217939,0,0,0,0,0,0,0.101258044252061,0,0,0,0,0,0,0,0,0,0,0,0,0.00247940160590732,0.175947455010588,0,0.0365733007329895,0.00367887805137694,0.00317348704670444,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0.0139538533244157,0,0,0,0,0,0,0,-0.128563896581399,0,0,0,0,-0.491770729916653,0.0370635373878456,0,-0.243300792006062,0.72851500763522,0,0,0,0,0,0,0,0,0,0,0.169164745676411,0,0.0138102560282244,0,0,0,3.46944695195361e-18,0,0.234442356257823,0.178171963764896,0,-0.385703804923934,0,-0.0188932371910718,0,0,0,0,0,0
