,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X002466.SZ,X300072.SZ,X600688.SH,X002460.SZ,X600795.SH,X600660.SH,X601992.SH,X600362.SH,X600188.SH,X601991.SH,X600547.SH,X600111.SH,X600886.SH,X000898.SZ,X600516.SH,X000709.SZ,X000792.SZ,X600157.SH,X600027.SH,X000408.SZ,X000786.SZ,X600339.SH,X600176.SH,X600219.SH,X600489.SH,X000959.SZ,X000723.SZ,X000553.SZ,X002271.SZ,X600808.SH,X600352.SH,X601158.SH,X000883.SZ,X000807.SZ,X000630.SZ,X600549.SH,X000983.SZ,X002092.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600549.SH,0,0,0,0.0749667044482947,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.164885102549038,0,0,0,0.0715608770852471,0,0,0,0.204136723869072,0,0.232243862021777,0.00775401234515871,0,0,0,0,0,0,0,0,0,0,0,0,-0.278623046456242,0,0.026107722439102,0,0,0,0.316668566936681,0,0,0,0,0,0,-3.46944695195361e-18,0.0369271842076218,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0584927678810181,0,0.644530444355161,0,0,0.164926537782337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232406223056169,0,0,0,0.0160177302759251,0,0.0932237203323055,0,0,0,0,-0.000803235410373518,0,0,0,0,0,0,0
X002092.SZ,0,0,0,0,0,0,0.301444600270149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349971020675084,0,0.0779689900072667,0,0,0,-0.177928537242627,0,0,-0.319046025188535,0,0,0,0,0,0.24858829378604,0,0,0,0,0,0,0.0960612329357522,0,0,0,-0.170161135549343,0.0646771123753383,0,0,0,0,0,0
X600299.SH,0,0,0,-0.0146078743930024,0,-0.00979944186522271,0,0,0,0,0,0,0.167856001535325,0,0,0,0,0,0,0.0860897138647645,0.0890185730073311,0.0583674139239986,0,0,-0.00761655665093032,0,0,0,0,-0.0029360752051935,0,0,0.0558258150390484,-0.0104843380621524,0,0,-0.083054133645572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155145491607812,0,0,0,0,0,0
Change_TY3M,0,0,-0.031901091958367,0,0.0324842855077695,0,0,-0.00737524054898805,0,0,0,0.0948199514135015,0,0,0,-0.102028983903081,-0.0166095576988775,0,0,0,0,-0.0521156242205557,0,-0.1619657961864,-0.00813981690491106,0,0,0,0,0.0331258944261581,-0.0315564449384386,0,0,0.0363432697087727,0,0,0,0,0,0,0,0,0,0.0303250109204817,0,0,0.0560655926542957,0,0,0,-0.036435007679615,-0.00633464342876071,0,0,0,0,0,0
Slope,0,0,-0.398122381718209,0.632951237999206,0,0,0,-0.175391368418738,0,0,0,0.0919921338586019,0,0,0,0,0,0,-0.274122196286323,0,0,0,0,0.242865265692584,-0.0709506138901961,0,-0.275774696518068,0,0,0,0.244926523274537,0,-0.580924133057082,0,0,0,0,0,-0.0138160602353871,0,0.115311069087448,0,0,-0.164529467864499,0,0,0,0,0,-0.296153520456688,0,0.89979219960539,-0.364615081733992,0,0,0,0,0
TED,0,0,0,0,0,-0.179527450801441,0,0.042823996197843,0,0,0,0,0,0,0,0.0289619694154258,0,0.0772416067529456,0,0,0,-0.148852390650134,0,0,0.0506609394113844,0.164882609088081,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.245192760195252,0,0,0,0,0,0,0,0,0,0.0972896650424082,0,0,0.93876491649543,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0.0391242691662635,0,0,-0.0486507869502169,0,0,0.19367559524455,0,0,0,0,-0.335987439591929,0,0,-0.138754546174726,0,0.0754644082782866,0.00135828029625492,0.0828702719492492,-0.102000986413605,0,0,0,0,0,0,0,0,0.0194778681527184,0,0,0.25902361249467,0,0,0,0,0.140130140848617,0,0,0,0,0,0,0.0466009887643758,-0.0307344418506202,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,-0.0237786501598227,0,0,-0.00041278317522955,0,0,0,0,0,0,0,-0.02916330890588,0,0,0.0157281751914758,0,-0.00243100882666327,0,0,0,-0.0444455424060459,0,0,0,-0.0709241834544654,0,0,-0.0213300481753732,0,0.0145583125178024,0,0,0,0.0503991706972159,0,-0.0247094148826261,0,0,0,0,-0.00767103437007521,-0.00217876800239327,0,0,0,0,0,0
MKvol,0,0,0,0,-0.00159523927171372,0,0,0,0,0,0,-0.000612186972334521,0.00226252142566039,-0.00108727447849306,0,0,0,0,0,0,0,0,0,0,0.000345348222218626,0.00149537707272194,0.000351959862096999,0,0,0,0,0,0,0,0,0,-0.00120842619509119,0,0.00312928922008535,0,0,0,0,-4.47423356294888e-06,0,0,0,0,0,0,-0.000941225238081109,0.00134259183656046,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,-0.048651744952958,0,0,0.00547467899507537,0,0,0,-0.0321327926219111,0,-0.016479535022326,0,0,0.0178522621643113,0,0,0,0,0,0,0,0.00835753152260274,0,0.000271902961190545,0,0,-0.000575273883329784,0,0,0,0,0,0,0,0,0,0.00351906638240442,0,0,0,0,0,0,0,0,0,0,-0.0259508991319812,0.0731880838424493,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0.00686585666602522,0,-0.002243563198123,0.0172474488549699,0,0,0,0.0037199083556393,0,0,0,0,0,0,0.0310514098408815,0,0,0,0,0,0,0,0,0,0,0,0,-0.0213523963609353,0.00115540810566449,0,0,0,0,0,0,0,0.00975892431225844,0.00797027337366536,0,0,0,0,0,0,0,0,0,0,0.0210655758658022,4.33680868994202e-19,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,-0.00423327422344836,-0.0127930078216473,-0.00280346693757124,0,0,-0.00080993644813526,0,0,-0.00326307968104504,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00657837972789292,0,0,0,-0.00910787570824351,0,0,-0.0410114146114324,0.0458233843420189,0,0,0,0,0,0
