,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X600886.SH,X601600.SH,X600660.SH,X600188.SH,X600362.SH,X601991.SH,X600352.SH,X000708.SZ,X600795.SH,X600688.SH,X000723.SZ,X600111.SH,X600801.SH,X601992.SH,X600027.SH,X600516.SH,X600489.SH,X002271.SZ,X000786.SZ,X000898.SZ,X002460.SZ,X002466.SZ,X600176.SH,X600299.SH,X000709.SZ,X601158.SH,X000883.SZ,X600426.SH,X600612.SH,X000629.SZ,X600219.SH,X002353.SZ,X600583.SH,X000027.SZ,X000630.SZ,X000553.SZ,X000825.SZ,X601699.SH,X600315.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000630.SZ,0,0,0,0,0,0,0,0,0,0.0315300137910065,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.117296543440253,0,0,0,0,0.0504607931647062,0.129254898346076,0,0,0,0.0234472853808898,0,0,0,0,0,0,0,0,0,0,0.0196468922076343,0.00596093371790116,0,0,0.189509291572937,0,0,0,0.0815609283776393,0,0.000628379886113972,0,0,0,0,0.0167852183272747,0,0
X000553.SZ,0,0,0,0,0.014380072313682,0,-0.0905127042191331,0,0,0,0,0,0,0,0,0,0,0,0,0.20907512257052,0.0356452979540419,0,0,0,0,0.186142856941526,0,0,0,0.0514436914893836,0.030110053289389,0,0.0584749796184839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0202838598360706,0,0,0,0,0.0185074835288597,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0.0989748887962154,0,0,0,0.092926540033976,0,0,0,0.0218280060663291,0,0,0.0106838408274191,0,0,0,0,0.0781507681024921,0,0,0,0,0,0.0853293259715163,0,0.107426732820088,0,0,0,0,0,0.0722025695364535,0,0,0,0,0,0,0,0,0,0.0489988290667625,0,-8.67361737988404e-19,0.0256095632543825,0,0,0,0,0,0
X601699.SH,0,0,0,0,0.19168853466608,0,-0.0103007470858198,0,0,0.128706271034997,0,0,0,0,0,0,-0.184179092338419,0,0,0,0.103970747521967,0,0.131716360202763,0,0,0,0,0.150940407116447,0,0,0,0,0,0,0,0,0,0.182258937800477,0,0,0,0,0,0,0,0,0,0,-0.111739690790118,0,0,0.0377993366451942,-0.00365302161535495,0,0,0,-0.0854929146161335,0,0
X600315.SH,0,0,0,0,0.0733186338377789,0,-0.0416161527937122,0,0,0,0.105634470764927,0,0,0,0,0,0,0.250185165747002,0,0,0,-0.230734897653601,0,0,0,0,0,-0.289219786677105,-0.0362106770836352,0,0,0,0,0,0,0,0,0.245456399433248,0,0,0,0,-0.147590517846175,0,0,0,0,0,0,0,0,0.0058940964710392,0,0,0,0,-8.67361737988404e-19,0,0
X600985.SH,0,0,0,0,0,0,0,0,0,0,0.116922143548799,0,0,0,0,0,0.261928572005726,-0.0332270712671718,0,0,0,0,0,0,0,0,0,0.101860527306969,0,0,0,0.100678857460708,0,0.0766526089142697,0,0,0,0,0,0,0,0.0923094609807687,0,0.390742069655278,0,0,0,0,0,0,0,-0.0127768349918251,0,0,0,0,0,0,0
Change_TY3M,0,0,0,-0.153513464217694,0,0,0,0,0,0,0.0274131050037782,0,0,-0.133354698235117,0,0,0,0,0,0,0,0,0,0,0,0.0286343387057542,0,0.178359716173194,0,0,0,0,0,0,0,0,0,0,-0.146768116029459,0,0,-0.0870946967510804,0,0,0,0,0,0,0,0,0,0.0736182216818367,-0.241451071819953,0,0,0,0,0,0
Slope,0,0,0,0,0,0,-0.508763205920516,0.180425289159548,0,0,0,0,0,0,0,0,0,-0.335112355300896,0,0,0,0,0,0,0,-0.0509690411359912,0,0,-0.219813939676697,-0.271506029814547,0,-3.46944695195361e-18,0,0,0,0,0,0,0.562622062945796,0,0,0,0,0,0,0,-0.869609632225331,0.356902207030219,0,0,0,0,0.976114266845062,0,0,0,0.468631669552913,0,0
TED,0,0,0,0,0,0,0.0246828939003433,0,0,0.222456404859162,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,-0.145307898892559,0,0,0,0,0,0.322735789974196,0,0,0,-0.0669905882776781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.577104231301335,-0.229059157309481,0,-0.733561324962139,0.523731615830977,0,0.0783850887981914,0,0,-0.0518192394107431,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0.0168621670787976,0,0,-0.048292538514419,0,0,0.0979390650192806,0.0469958336778032,0,0,-0.030095170616974,0.109052391990275,0,0,0.0575294431483306,8.67361737988404e-19,0,8.67361737988404e-19,0.0314688133376033,0,-0.0764584869519447,0,0,-0.0143186363478736,0,0,0,0,0.0462467094163577,0,0,0.0101091632991776,0,0,0,0,0,0,0,-0.0674815089554705,0,-0.0333005916195842,0.0763680025540332,0,0,0,-0.0171494024110064,0,0
MKreturn,0,0.229868212302477,0,0,0,0,0,0,0,0,-0.157622394721498,0,0,0,0,0,0,0,0,0,0,0,-0.0654351650386975,0,0,0,0.00242359076527748,0,0.153228454599903,0,0,-0.0202453284769176,0.0336384726390556,0,0,0,0,0,0,0,0,0.0552865560081084,-8.67361737988404e-19,0.0501801080710357,0,0,0,0,0,0,0,-0.0181042085882666,0,0,0,0,-0.0026106791618985,0,0
MKvol,0,0,0,0,0.00743944308984066,0,-0.00147585937548191,0,0,0,0,0,0,0,0,0,0,0.00326557058156414,0,0,0,0,0,0,0,-0.00261629112004693,0,0,-0.00112981282123114,0,0,-0.00117960927470962,0,0,0,0,0,0.000281378500971522,0,0,0,-0.000858326366551344,0,-0.00488555556689226,0,0,0,0.000539096628652967,0,0,0,0.00686429032680664,0,0,0,0,0.00698226184023923,0,0
