,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600111.SH,X600795.SH,X600886.SH,X600362.SH,X600188.SH,X600010.SH,X600688.SH,X600309.SH,X600027.SH,X000883.SZ,X600583.SH,X601992.SH,X002353.SZ,X000792.SZ,X000898.SZ,X601158.SH,X000709.SZ,X000629.SZ,X600489.SH,X000539.SZ,X000825.SZ,X600315.SH,X000831.SZ,X000027.SZ,X600808.SH,X600352.SH,X600660.SH,X601699.SH,X600578.SH,X600307.SH,X000630.SZ,X000983.SZ,X600549.SH,X600490.SH,X600863.SH,X000937.SZ,X002470.SZ,X000959.SZ,X000960.SZ,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002353.SZ,0,0,0,0,0,0,0,0,0,0,0,0.186772661033281,0,0,0,0,0,0,0,0,0,0,0.0456141952565144,0,0.0912081246000656,0,0,0,0,0,0.206157649246008,0,0,-0.115699192055084,0,0,-0.0183650946977403,0,0.0846061024682846,0,0,0,-0.0438375117297901,0,0,0,0,0.00964593875070459,0.257644860553992,0,0.0109743848214152,0.0510467663623443,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0399788968436364,0,0,0,0,0,0,0,0,0.0966003093099778,0,0,0,0,-0.0479365709898869,0,0,0,0,0.0697665898816632,0,0,-0.0655946392288856,0,0,0.082032520809111,0,0,0,0,0,0.0654650927511405,0.25350680556485,0,0,0,0.0499919968721728,0.0528274821022938,0,-0.0281056957865768,0.00533453118038474,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204577735857888,0,0,0,0,0,0.0102604113637614,0,0,0,0,0,0,0,0,0.163257767200126,-0.0711745319835107,0,0,0.139528027410021,0.0565939668477456,0,0,0,0.0215517840851385,0,0,0,3.46944695195361e-18,0,0.00420233333314017,0,0.0642122969887686,0.0557367389847306,0,0,0.0219236362304221,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428803156049229,0,0,0,0,0,0,0,0.11663096693446,0,0,0,0,0,0,0,0.0456276703993778,0,0,0,0.0424647095510872,0,0,0,0,0.0689449948345402,0,0,0.0922905153805233,-8.67361737988404e-19,0.0142541164039483,0,0,0.0319919403558807,0.0235149499564082,0,0,0.00758673438641892,0.0107615617306686,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0.349033917058127,0,0,0,0.030025929318391,0,0,0,0,0,0,0,0,0,0,0,0.177168245639607,0,0,0.101980205289323,0,0,0,0,0,0,0,0,0.252830865708497,0,0,0,0.12587448742443,0,0,0,0.148380215878252,0.140350749136034,0.037855449480957,0,0,-0.0355938925019773,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0.176969153709682,0.0429890335288153,0,0.143329467148085,0,0,0,0.105350623584752,0.184092489125079,0,0,0.222217760216246,0,0,0,0,0,0,0.287955367201839,0,0,0,0.333444702274662,0,0,0.0288389095698062,0,0,0,0,0,0,0,0,0,-0.0212436417063003,0.154030329437496,0,0.12307232157769,0,0.0655760367013823,0,0,0.0312463897001441,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0.0351390287216978,0.117568454383227,0.00901509195598789,0,0,0,0,0.0452158062461352,0.0465297883600756,0,0,0,0,0,0,0,0,0,0,0.0551475284686813,0,0,0.0327596443398345,0,0.0209826862683058,0,0.0530366208813966,0,0,0,0.0911926000051036,0,0.0924502427606055,0,0,0,0,0,0,0.00919539515235433,0,0,0,0,0,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0.0636520655555247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0550333926317445,0,0,0,0,0,0.0570783859169696,0,0,0.0880240757782191,0,0,0.109872201902318,0,0.0460785592342925,0,0,0.014321236471801,0.00586015605266511,0.020774441625999,0,0.0118135459322592,-0.00366392019807036,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122163743300942,0.223108462596278,0,0,0,0,0,0,-0.0404359866357094,0,0,0.0311115314139314,0,0,0,0,0.00612439442189287,0,0,0,0.220121821825441,0,-0.0124622618775113,0,0,0.0747720176184695,-0.0627292396328268,0,0,0,0,0,0
X600315.SH,0,0,0,0,0,0,0,0,-0.0033415920195647,0,0,0,0,0.0961145420061543,0,0,0,0,0.186585278520024,0,-0.176116041454093,1.0842021724855e-19,0,0,0,0,0.0301256725620065,0,0,-0.173764995099291,0,0,0,-0.101597630997531,0,0,0,0.139367795967903,0.0427612255960441,0,0,0,-0.00459313402090758,0,0,0,0,-0.00103560174278101,0,-0.196691184139059,0.0252502770469495,0,0,0,0,0,0,0
