,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X600188.SH,X601898.SH,X600688.SH,X300072.SZ,X600362.SH,X600660.SH,X600795.SH,X601992.SH,X600547.SH,X002466.SZ,X601991.SH,X600516.SH,X600111.SH,X000898.SZ,X600176.SH,X600886.SH,X000786.SZ,X002460.SZ,X000709.SZ,X000553.SZ,X000792.SZ,X600157.SH,X600352.SH,X600027.SH,X002271.SZ,X601699.SH,X600489.SH,X000408.SZ,X600808.SH,X600219.SH,X002110.SZ,X000959.SZ,X000983.SZ,X002092.SZ,X600583.SH,X600299.SH,X601158.SH,X600339.SH,X000883.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000883.SZ,0,0,0.0314337124371648,0,-0.0193041450045282,0,0,0,0,0,0,0.0411737832334718,0,0,0,0,0,-3.46944695195361e-18,0.0675388142676315,0.0272167840281688,0,0,0,0,0,0.107610767445438,0,-0.00283189878737789,-0.0168254891084315,0,0,0.0746526103479779,0,0,0,0.123218733946838,0,0,0.0504012787223561,0,0,0,0,0,0,0,0,-0.0338362805431836,0,0.00395081144918417,0.00541068406894646,0,0,0,0,0,0
X000830.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129602380940678,0,0,0,0,0,0,0,0.232295417319668,0.258820664651308,0,0,0,0.278537485307298,-0.295162545771803,0,0,0,0,0.0689587549951889,0,0,0,0,0,0,0,0,0,0,0.0342502010887028,0.00440015449185473,0,0,0,0,0,0
Change_TY3M,0,-0.0998033606725812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.072590533099758,0,0,0,0,6.7762635780344e-21,0.051963208605581,0,0,0,0,0,0,0.0150470576388048,0,0,-0.203106964074892,0,0,-0.0369435216856313,0.113604775682464,0,0,0,-0.0701606692087522,0,0,0,0.0237702197254677,0,0.00904791936297102,-0.0700871110533355,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0.543664220461002,0,0,0,0,0,0,0,0,0,0,0,0,-0.364625378480594,-0.223674056308153,0,-0.565421141340796,0,0,0,0,0,0,0,0.00102871605373248,0,0,0,0,0,0,0,0,0,-0.670577580819729,0,0.336185835753887,0,0,1.5943414106565,0,0,0,9.37756837563749,0,0
TED,0,0,0,0,-0.0326015946702336,0,0,0,0,0,0,0,-0.0101363974587256,0,0,0,0,0.0443533700912263,0,0,-0.0370704966897268,0,0,0,0,0,0,0,0,0,-0.049465698805878,0,3.46944695195361e-18,0.099168803995618,0,-0.283640498261998,0,0,-0.119687033268266,0,0,0,0,0,0,0,0,0,0,0.477200913653634,0,0,0,0,-2.40212118835734,0,0
RealEstate_excess,0,0,0,0.241364363158113,0,0,0,0,-0.0124118821664259,0,0,0,0,0,0,0,0,0,0,0.119403211343354,0,0,0,0,0,-0.0268577935534202,0,-0.0676819709362449,0,0,-0.120286611225526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087035168194111,0,0,0,-0.0401911278120188,0.0327947204437728,0,0,0,0,0,0
MKreturn,0,0.0745930521593112,0,0.0256397461863279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186176266200568,-0.010722262644489,-0.0965459517698439,0,-0.0817420304099322,0,0.0761344230675024,0,0,-0.0185931434235583,0,0,0,0,0.0713790822470527,0,0,0,0,0,0,0,0,0,0,-0.00722554000281832,0,0,0,0,0,-0.00353393802951876,0.0211315363655524,0,0,0,0,0,0
MKvol,0,0,0,0.00170605094255389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000831525099112157,0,0,0.000320194326960128,0,0.00217401061978517,-0.000776710058733367,0,0,0,0,0.000159346002536385,0,0,0,0,0,0,0,0,0,0,-0.00041629744422377,0,-0.000524779069537365,0,0,0,0,0,-0.00197063010523387,0.00483728362823446,0,0,0,-0.0109526526390338,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,-0.00685299054995828,0.026301480371666,0,0,0,0.0362051754547704,0,0,-0.0629940366615203,0,-0.0351964869033158,0,0,0,0,0,-0.0419139665100604,0,0,0,0.0572028599513054,0,0,-0.013277495339268,-0.010608623240044,0,-0.0368080312422826,0,0,0,0,0.00414683449865746,0,0,0,0,0,0.0902718003056364,-0.124861099814405,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0.0159554932726689,0.00325434996812817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17355140840424e-05,0,0,0.00968199424759832,0,0.00234418968348258,5.42101086242752e-20,0,0,0,0,0,0,0,-0.00560593368870435,0,0,0,0,0,0,0,0,0,-0.0160610228313775,0,0.0148264015003488,0,0,0,-0.0217736828783714,0.0441774247424511,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,-0.0121250943390241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000527570009230413,-0.03019432284987,0,-0.00210594403085433,0,0,0.00232952788264942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0210019690877477,0.00200111933785359,-0.0118730256799303,0,0.0339654614278001,0,0
