,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002460.SZ,X600585.SH,X600188.SH,X002466.SZ,X000792.SZ,X600111.SH,X600019.SH,X601898.SH,X002271.SZ,X600660.SH,X000301.SZ,X000877.SZ,X600011.SH,X000708.SZ,X600010.SH,X600547.SH,X601600.SH,X600886.SH,X600795.SH,X600176.SH,X600426.SH,X600362.SH,X600096.SH,X000983.SZ,X000408.SZ,X600803.SH,X000723.SZ,X000786.SZ,X600141.SH,X300073.SZ,X601699.SH,X600486.SH,X601991.SH,X600219.SH,X002080.SZ,X002192.SZ,X002353.SZ,X000807.SZ,X002497.SZ,X600157.SH,X600801.SH,X600295.SH,X600027.SH,X600489.SH,X000630.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601699.SH,0,0,0,0,0,0,0.107932250532387,0,0,-0.236590571646074,0,0.0587778981632356,0,0,0,0,0,0,0,0,0.154404712354925,0,0,0,0,0,0.169914743164436,0.488336536913478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23666302543608,0,0,0,0,0,0,0,0,0,0.0407628824262031,0.0458595761018183,0,0,0,-0.0870679469699905,0,0
X600486.SH,0.367603004058292,0,0,0,0,0,4.33680868994202e-19,0.0388968938515648,-4.33680868994202e-19,0.0763846119159786,0,0,0,0,0.032314807698913,0,0,0,0,0,0,0,0.11048513349281,0,0,0,0,-0.181732532337124,0,0,0,0,0,0,0,0,0,0.112352173766149,0.11690716791546,0,0,0,0.0402515878748889,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.0325492641780662,-0.00125457938454131,0,0,0,0.0313375198969773,0,0
X601991.SH,0,0,0,0,0,0.183086994989204,0,0,0,0,0,0.00917780808463202,0,0,0,0,0.0477113691080078,0.146510925521522,0,0,0.162892891625654,0,0,0,0,0,0.079423054422696,0,0,0,0,0,0,0,0.00810645083356201,0,0,0,0,-0.030934889068558,0,0,0,0,0.0250780285569076,0.00556705329770344,0.2960027357051,0,0,0,0,0,-0.00409434057028253,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00834311600289789,0,0,0,0.0406280213350796,0.104374620596347,0.365598817543806,0,0.0497895525653277,0,0.0581557746119791,0,0.0263104376732002,0,0,0,0,0,0,0,0,0.0160174372815987,0,0,0,0,0.0254880251614769,0,0,0,0,0.0531112958014665,0,0,0.0795012909445466,0,0,0,-0.0304021516271538,0,0,0,0,0,0
X002080.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224586130272166,0,0,0,0.0382520887150445,0,0,0,0,0,0,0.172943527527269,0,0,0,0,0,0.0263226047599452,0,0,0.222661031825568,0,0,0,0.0161428427575227,0,0.0353597061811184,0,0,0.0998658565698594,0,0,0.0355558363569528,0,0,0,0,0,-0.000222023982096218,0,0,0,0,0,0,0
X002192.SZ,0,0,0,0.183011313658393,0,0,0,0.497820110234182,0,0,0,0,0,0,0,0,0.0761810248961988,-0.235235683153787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369812371958104,0.118185945881954,0,0,0,0,0,0,0,0.0262876479109154,0.113236595352967,0,0,0,0,0,0,0,0.0261189484987267,-0.0104046625442503,-0.0612992474575891,-0.0877463663854591,0,0,0,0,0
X002353.SZ,0.437747230387858,0,0,0,0,-0.211207002498859,0,-0.00422692475203094,0,0,0.292323974187321,0,0,0,0,0,-0.0499703376063083,0.122001710435424,0,0,0,0,0,0,0,0,0,0,0,0,0.303766354261502,0.0220537118752773,0,0,0,0,0,0,0,0,0,-0.0223613808928293,0,0,0,0,0,0,0.00622513959376362,0,0,0.00118604814134225,0,0.0548459897944786,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.773252107859254,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131765861552797,-0.0686780396637838,0,0,0,7.0219145987406e-05,0,0,0.186073859899831,0,0,0.0242682092329457,0,0,0,0,0,0.0211002024594841,-0.0289923486066142,0,0,0,0,0,0
X002497.SZ,0,0,0,0,0.0747843545408803,0,0,0.394106534129271,0,0,0,0,-0.0362580351972379,0,0.0339423043349763,0,0,0,0,0,0,0,0,0,0,0,0.0146972820380634,0,0,0,0,0,0.0835876170713577,0,0,0,0.200607206998332,0,0.0940187847649778,0.00562068043165207,0,0.112548123254824,0,0,0,0,0,0,0,0,0,0.0217344678021662,-0.0453738646789942,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0.0741917895413364,0,0,0,0.0717467004385442,0,0,0,0,0,0,0,0,0,0.103916137918791,0,0.0489354100497517,0,0,0,0,0,0,0,0.0515833594949896,0.0624693338036232,0,0,0,0,0,0,0,0,0.167033734127004,0,0,0,0,-3.46944695195361e-18,0.0235730462952606,0,0.0481496794484852,0,0,0.0178217990685257,0.0263407306642252,0,0,0,0,0,0
X600801.SH,0,0,0,0,0,0.134557360401533,0,-0.0836089799112267,0,0,0,0,0.0630987621576809,0,0,0,0,0.00678959560665919,0,0,0,0,0.149660010195388,0,0,0,0,0,0,0,0,0.242242707681735,0,-0.0352934286160856,0.131917760384992,0,0,0,0,0,0,0,0,0,0,0.0197257911526502,0,0,0,0,0,0,-0.149040642731465,0,0.0831207435442687,0,0,0,0
X600295.SH,0,0,0,0,0.254712529358868,0,0.0359231964530298,0,0,0,0,-0.110726429101892,0,0,0,0,0,0,0,0.0478862424745792,0,0,0,0,-0.0877059887176216,0,-0.154021465457755,0,0,0,0,0,0,0,0.379535610682441,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48103687174395,0,-0.0456145469945837,-0.0326784383131804,-0.108559357138211,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126675909243994,0,0,0,0,0,0.127973921377219,0,0,0,0,0,-0.0229204165382325,0.0832351243536727,0,0,0,0,0,0.170032527679366,0.389583663041429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.08848400549123e-05,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,-0.0145912872116299,0,0,0,0,0,0.126565343274136,0,0,0,0,0,0,0.0159153069090739,0.170672493511952,0.0594205602381194,0.141159107548728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765087444354255,0,0,0.0395674125050131,0,0,0,0.0626726557712058,0,0,0,0.131629042570327,0,0,0.00415265549105708,-0.0866451431587818,0,0,0,0,0,0
X000630.SZ,0,0,0,0.133635928031048,0,0,0,0,0.339215627926018,0,0,0,0.200446299415513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.176184014431197,0,0,0,0.168257830968543,0,0,0,0,0,0.0302144401424882,0,0,0,0,0,0,0
