,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600188.SH,X600027.SH,X000898.SZ,X600176.SH,X601992.SH,X600516.SH,X002466.SZ,X600111.SH,X000709.SZ,X600352.SH,X002460.SZ,X600299.SH,X600489.SH,X000629.SZ,X600808.SH,X000786.SZ,X601158.SH,X600801.SH,X600219.SH,X000825.SZ,X000553.SZ,X600583.SH,X000883.SZ,X002110.SZ,X002271.SZ,X600157.SH,X002470.SZ,X600021.SH,X600612.SH,X600339.SH,X000408.SZ,X601699.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002466.SZ,0,-0.138887472545315,0,0,0,-0.0181266401774485,0,0,0,0,0,0,0.0170945117158273,0,0,0,0,0,0,0,0,-0.0417109968385134,0,0,0,0,0,0.904215762605546,-0.0979072885040836,0,0,0,0,0,0,0,0,0,0,0,0,0.196234220516779,0,0,0,0.176229475558105,0,0,0,0,-0.0438256611131942,0,0.0395781848101444,0,0,0,0.0294924481539071,-0.135011967524714,0
X600111.SH,0,0,0,0,0,0,0,0.0220374300214862,0.0181786416801911,0,0,0,0,0,0,0,0,0,0,0,0,0.0491819069244217,0.138405446303291,0,0,0,0,0.24402847218731,0,0,0.120152865290183,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,-0.0369883066124956,0.0307105707235004,0,0,0,0,0,0.220399761186262,0,-0.00654002158881639,0.00863176260813867,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,-0.0424284859511351,0,0,0,0,0,0,0,0,0,0.0506861814756194,0,0.133982542987695,0,0.0419436594095518,0,0,0,0,0,0,0,0.145001195569071,0.00582445721055746,0,0,0,0,0.0339955285616365,0,0,0,0,0.0206027432038057,0.0305652078307327,0,0.0490195845825954,0,0,0,0,0,0,-0.0214663873216225,0.0287954540905457,0,0,0,0.0230993027390411,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0753344252683612,0,0,0,0,0,0,0,0,-0.067302092644364,0,0,0,0.28440123122245,0,0,0,0,0,0,0.253904740086472,-0.049313194163065,0,0,0,0,0,0,0.224339685612875,0,0.0222982350367534,-0.0409913439221099,0,0,0,0.0388679682996788,0,0
X002460.SZ,0,0,0,0,0,-0.0487660975091173,0,0,0,0,0,0,0,0,0,0,0,-0.0824727430334138,0,0,0,0,0.0814779247225503,0.728564175598434,0,0,0,0,0,0.261882886182979,0,0,0,0,0,0,0,0,0,0,0,0,0.0169879903411879,0,0.0488069146846045,-0.0690815372391219,0,0.270363024812668,0,0,0,-0.0322617152976932,0.0332707105964668,0,0,0,0,0.104771385212571,0
X600299.SH,0,0,0,0,0,0.11107454722375,0,0,0,0,0,0,0,0,0,0,0,0,0.252190920400177,0,0,0,0.132738921180094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213330045414597,0,0,0.00687668300044863,0,0,0,0.0510155569242807,0,0,0,0,0,0,-0.00379244873848602,0.00125794283021944,0,0,0,0.0523617476648736,0,0
X600489.SH,0,0,-0.148307340281451,0,0,0,0,0,0.543548557459251,0,0,0,0,0,0,0,-0.125932180759638,0,0,0,0.0102592848992517,0.0361372176625032,0.159598620460144,-0.0130561900540032,0,0,0,0.152675886355946,0,0,0.151189331680518,-0.0980296075433196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00667111304276792,-0.0175848692333477,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0.00322826876806326,0,0,0,0,0,0,0,0,0,0,0,0,0.108230113287756,0,0.205830949860269,0,0.167078537286704,0,0,0,0,0.00816545470339075,0,0.259035267775616,0,0,0,0,-0.113521304396566,0,0,0,0,0,0.114348923096693,0,0.0255257108192438,0,0,0,0.0962260266832332,0,0,0.200578687559248,0,-0.0155756918959393,0.0433562583902208,0,0,0,0,0,0
X600808.SH,0,0,-1.73472347597681e-18,0.130293835626004,0,0.141695529191114,0,0,-0.0528976643938679,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107027586325847,0,0,0.0677632947008977,0,0,0.108655193013995,0,0,0,0,0,0,0,0,0,5.10067476616788e-05,0.220958849237386,0.284804847649802,0,0,0,0,-0.0850416814408726,0,0,0,-0.0588596554986182,0,0.00454711123633738,-0.0351760761399579,0,0,0,0.0199958409117364,0,0
X000786.SZ,0,0.0923392508899412,0,0,0,0,0,0,-0.0427753597937219,0,0,0,0,0,0,0,0,0,0,0,0.367873159251203,0.128152346270788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248918134517323,0,0,0,0.27136256116518,0,0,0,0,-0.106675757783561,-0.00288102187866632,0,0,0,-0.000560294215082185,0,0,0,0,0,0,0
