,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600188.SH,X600547.SH,X601600.SH,X600795.SH,X601991.SH,X600362.SH,X600027.SH,X600157.SH,X600111.SH,X600489.SH,X600886.SH,X601992.SH,X600309.SH,X600623.SH,X600660.SH,X300072.SZ,X600299.SH,X002466.SZ,X000792.SZ,X601158.SH,X002075.SZ,X000709.SZ,X600583.SH,X000723.SZ,X000983.SZ,X000408.SZ,X000898.SZ,X600352.SH,X000883.SZ,X600549.SH,X000539.SZ,X600176.SH,X000027.SZ,X002470.SZ,X000630.SZ,X002460.SZ,X601699.SH,X000012.SZ,X000060.SZ,X002407.SZ,X000937.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0.0133869415224746,0,0,0,0.628535423507027,0,0,0,0,0,0,0,0,0,0,0,0,0.0166814230568608,0,0,0,0,0,0.0223549188207007,0.0464711508401303,0,0,0,0,0,0,0,0.032952755561079,0,0.00302248144705304,0,0,0,0,0.0171908090492356,0,0.0154922373187793,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,-0.0245693385499847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132933483901288,0,0,0,0,0.533257693314727,0.0599263109452831,0.20007949032849,-0.19054480143337,0,0,0,0,0.181400506978878,0,0,0,0.06462242361471,0,0.0935601048630397,0,0,0,0,0,0,0,0.353370911873013,0,0,0.0622709997582929,-0.0978260007515361,0,0,0,0,0.169905988737361,0
X601699.SH,0,0,0,0,0,0,0,0.158152130781026,0,0,0,0,0,0,0,0,0.165408489182,0.0479813105712153,0,0,0,0,-0.0720768526613007,0,0,0,0,0,0,-0.0247547764749142,0,0,0,0.204898714854645,0.0666971089739067,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.192848527589727,0.00968664073307035,0.315764632329519,0,0.00750268146417209,0,0,0,0,0,0,0
X000012.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116831170147734,0,0,0,0,0.253033117881188,0,0,0.00882040343915644,0,0.240265883099044,0,0.0629818024633884,0,0,0,0,0,0,0,0,0.0306716307657725,0,0,0,0.0681524299021724,0,0,0,0,0,0,0,0,-0.026076914297295,0,0,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0,0,0.113262385869785,0,0,0,0,0.377768619452838,0,0,0.185715965432393,0,0,0.0801565331675102,0,0,0,0,0,0,0.012730308659407,0,0.109135688501514,0,0,0,0,0.151718244043111,0,0,0,0.0115920527237405,0,0,0,0.0643724781013428,0,0,0,0.222245818618332,0,-0.112170211262613,0,0,0.00336700191756252,0,0,0,0,0,0,0
X002407.SZ,0,0,0,0,0,0,0,0,0,-0.000164821969176356,0.0475669409318959,0,0,0,0,0,0,0,-0.0174622851684684,0,0,0,0,0,0,0,0.521904172014874,0.139186435284451,0,0,0,0,0,0,0.0808606162526271,0,0,0,0.175548283314962,0,0,0,0,0,0.161971520279474,0,0,0,0,-0.120990566196225,0,-0.0213061535506499,0.0621014336881285,0,0,0,0.645866831631746,0,0
X000937.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0501226109210171,0,0,0,0,0,0.156783943898053,0.135396887495075,0,0,0,-0.0866832708349787,0,-0.10673207923291,0.0493530714884722,0,0,0,0.0313976029206151,0,0,0,0.174010273471633,0,0,0,0,0,0,0,0.0438684969987989,0.0819648799315373,0,-0.0225132258024646,0.375167723301705,0.153035220850507,0,0,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.00283611961624804,0,0,0,0,0,0,0,0,0,0,0,0,-0.0571124959133818,2.16840434497101e-19,0,0,0,0,-0.00339452004354391,0.00941164359189907,0,0,0,0,0,0,0,0,0.0271809697569084,0,-0.00828637345208663,0,0,0,-0.054394802878991,0,0,0,0.020119415082456,0,0,0,-0.0108797823340594,-0.0225901059034735,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,-0.261444567460601,-0.210346272988845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.368309016258601,0,0.173114706520741,0,-0.336547254276036,0,0,0,0,0,0.127744192404354,0,0,0,0,0,0.266216299317513,0,0,0,-1.00063122619568,1.15799672803475,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131898055487248,0,0,-0.0237423959334025,0,0,0,-0.0212873907511411,-0.0487477853619281,0,0,0,0,0,0,0,0.0267017257235699,0,0,0,0,0,0.0950139127171179,0,0,0,-0.0850596965786777,0,0,-1.73472347597681e-18,-0.0245432088200762,0,0,0.250269792017508,0,0,0,0,0.241755983380608,0,0
RealEstate_excess,0,0,0,0,0,0.0606319862201584,0,0,0,0.065782598475842,0,0,0,0,0,-0.256877975994885,0,-0.0696836664632053,-0.0499294606792689,0,0,-0.0513113415489384,0.0605489387497129,0,0.0508447545029881,-3.46944695195361e-18,0,0,0,-0.0586813609925015,0,0,0,0.0493493273035228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523264785068332,0,0,0.341722254152709,0,0,0,0
MKreturn,0,0,0,0,0,0,0,-0.174410889504314,0,0,0.0301874976315898,0,0,0,0,0,0,-0.0571176115237453,0,0,0,0,0.0444917479827993,0,-0.0143894730307087,0,0.135193911451474,0,0,0,0,0,-0.147232471142952,0,0,0,0,0,0,0,0,0,0.134928520638081,0,0,0,0,0,0,0,0,-0.0204213155909853,0,0.44409137144423,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,-0.00178488895270545,0,0,0,0,0,0,0,0,0,0,-0.000167515582075301,0.0023484247049228,0,0.0084147612101148,0,0,0,-0.00495574453898189,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00205202014968752,0,0,0,-0.00171898113417132,0,0,0,0,0,0.00145153582448123,-0.00555774095352481,0,0,-0.0778684811874654,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00240836240937515,0,0,0,0,0,0,0,-0.0292675104626563,-0.0043275521012801,0,0,0,0,0,0,0,0,0,0,0,0.0158634613530632,0,-0.0234028958000543,0,0.0344001585713892,0,0,0.00295106365977369,0,0,0,0,0,-0.0857011290441984,0.0417747901254502,0,0,0,0,-0.859347892403072,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,-0.00856545325478977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191428378291776,-0.00755388965815445,0,0,0,0,0,0,0.00795216589647731,0,0,0,-0.00207085476525933,0,0,0,0,0,0.00646211513179171,-0.00759795755184085,0,0,0.00859207261107513,0,0,0.0103571319977432,0,0,0,0,-0.18905656123273,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,-0.00116499610486756,-0.00192310544620774,0,0,0,0,0,0,-0.00601700714989152,0,0,0,0,0,0,0.0049148949811108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0026393007373406,0,0,0,0,0.12077693729509,0,0
