,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X600010.SH,X600111.SH,X000786.SZ,X600176.SH,X601600.SH,X600011.SH,X601898.SH,X600886.SH,X600188.SH,X000301.SZ,X600426.SH,X002466.SZ,X600352.SH,X000932.SZ,X600801.SH,X600219.SH,X601991.SH,X600803.SH,X600795.SH,X002080.SZ,X600489.SH,X000027.SZ,X600688.SH,X600486.SH,X600299.SH,X002353.SZ,X000807.SZ,X000898.SZ,X600516.SH,X600027.SH,X601168.SH,X600295.SH,X000630.SZ,X601992.SH,X000723.SZ,X600157.SH,X600315.SH,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600803.SH,0,0,0,0,0,0,0.111620039102287,0.125091863620807,0,0,0,0,0,0.103178119231958,0,0,0,0,0,0,-0.257060098806787,0.0811110372746936,0,0.141457925545034,0.0805620687538227,0.0715702374779604,0,0.0304452299677324,0,0,0,0,0,0,0,0.0297975159869519,0,0.149978878035729,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,-0.00594994137267683,0,0,0,-0.197704494231069,0,0
X600795.SH,0,0,0,0,0,0,-0.0917463359746795,0,0,0,0,0,0,0,0,0,0,0.300351965033453,0,0,0,0,0,0.0101089810131445,0,0.0245194215779186,0,0,0.0275502694649719,0,0,0,0,0.0341446923239683,0,0,0,0,0.0952287297995126,0,0,0,-0.0290181943130917,0.0760812591455084,0,0,0,0,0,0,0,0.037514613166222,-0.0226830446972662,0,0,0,0,0,0
X002080.SZ,0,0,0,0,0,0,0,0.115457183612052,0,0,0,0.0791422282270579,0,0,0,0,0,0,0.191750311794596,0,0,0,0,0,0,0,0,0,0.172748904055004,0,0,0,0,0,0,0,0,0,0.130074574989877,0,0.128527843812084,0,0,0,0,0,0.0593438892577059,0,0,0.26465732438381,0.127085512085248,0,-0.0231379824502081,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0.00812741379467162,0,0,0.363571107757957,0,0,0,0,0,0.0811394469741462,0,0,0,0,0,0,0,0,0,0,0.0701492667938489,0,0,0,0.029395553717522,0,0.0361168818791154,0,0,0,0,0.0690599047599319,0,0,0,0,0,0.0368191174607149,0,0.0192672929986608,0,0,0,0,0.000402898315805068,1.0842021724855e-19,0,0,0,0,0,0
X000027.SZ,0,0,0,-0.0332916040768794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184722560328967,0,0.0206163549672745,0.118100328423157,0,0,0.19357747078647,0,-0.075737976022757,0,0,0,0.0104438434824335,0,0,0,-0.102785431335272,0,0
X600688.SH,0,0,0,0.0633957002777353,0,0,0.00217740369405668,0,0,0,0,0,0,0.108736399552019,0,0,0,0,0,0,0.0716032670265516,0,0,-0.0265489411481005,0,0,0,0,0,0,0,0,0.164575390242873,-0.00645593544356085,0,-0.141852966241273,0,0.0487159591987695,0,0,-8.67361737988404e-19,0,0,0.0193599691030573,0,0,0,0,0,-0.00715539460762614,0,-0.021347212058723,0,0,0,0,0,0,0
X600486.SH,0,0,0,0,0,0,0,0,0,0.342893910808618,0,0,0,0,0,0,0,0,0,0,0.0259328670595814,0,0.296263932111766,0.0779125853640843,0,0,0,0.0259154211867641,0,0,0,-0.0249198467120725,0,0,0,0,0,0,0,0,-0.262476165052617,0,0.0864715144535844,0,0,0,0,0,0,0,-0.0285226251338181,-0.0113754394269311,0.024539924494243,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0.0822651159362964,-0.0324073148918327,-0.0490468548004963,0,0,0.0319975082318215,-0.00149493753795835,0,0,0,0,0,0,0,0,0,0,0.0375693181384984,0,0.0240986164738871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206949859975724,0,0,0,0,-0.0680783523288979,0,0.194551321985165,0,0.0113886798127207,0,0,0,0,0.0892314990626047,0,0
X002353.SZ,0,0,0,0,0,0,0.0840320836537862,0,0,0,0,0,0,0.57778195310957,0,0.0516451389428499,0,0,0,0,0,0.158300873444389,0,0.113639098550766,0,0,0,0,0,0,0,0,0,-0.0800358900509041,0,0,-0.131740271658959,0,0,0,0,0,-0.103815971756693,-0.0857788349618419,0,0,0,0,0,0,0,0,-0.0445988392930162,0,0,0,0.0366361093742693,0,0
X000807.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701685713089245,0,0,0,0,0,0,0,0,0,0,0,0,0.0353512402682054,0,0,0,0,0,0,0,0,0,0,0.20500645255572,0,0,0,0,0,0,0,0.0475938401175908,0,0,0,-0.0323061039187593,-0.0304559290950908,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0.280169396161342,0.00271245339546852,0,-0.0654677706320196,0,0,0,0.0197901297869261,0,0,-0.0308318519024707,0,0,0.0677235138547991,0,0,0,0,0,0,0.156801220707163,0,-0.0455628882769208,0,0,0,0,0,-0.0879408172479384,0,0,0,0,0.0595256339076873,0,0,0,0,0,0.186669563212188,0,0,0,0,0,0,-0.0230260957454828,0.0114218936628118,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.133286782745168,0,0,0.0166069319073941,0,0,0.129938382430828,0,0.1235686568467,0,-0.266471476583186,0,0,0,0.269509687608607,0,0,0,0,0,0,0.16547685009818,0,0,0,0.118043262421772,0.27224685980094,0,0,0,0,-8.22856434327532e-05,0,0,-0.00693300897977301,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,-0.0145332288113718,0,0,-0.0425531332617668,0,0.00621747280438057,0,0,0,0,0,0,0,0,0.0484463796134603,0,0,0,0,0.00340825181507681,0.0586196896358785,0,0.0342276516510608,0,0,0,0,0.128393969213074,0,0,0,0,0.0408662824037974,0,0.0326233129778551,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.00320154926286351,0.0116748221232285,0,0,0,0,0,0
X601168.SH,0,0,0,0,0,0,0.118344584694849,0.109366677456476,0,0,0,0.508146026228531,0,0,0,0,0,0,0,-0.0318280182860082,0,0,0,0,0,0,0,0,0,0,0,-0.0720876452098163,0,0.0333794381695632,0,0,0.180632957646009,0,0,0,0,0,0,0,0,0,0.0950259675987683,0,0.0559840333861272,0.105274366303548,0,-0.0240875823665707,-0.0066032623264573,0,0,0,0.0415082576761804,0,0
X600295.SH,0,0,0,0,0,0,0,0,0.229243116154741,0,0,0.151744667852873,0.172781415832844,0.288396133401004,0,0,0,0,0,0,0,0,0,-0.077159674899136,0,0,0.233271888787595,0,0,0,0,0,0,0.271422830628281,0,0,0,0,0,0,0.112269913261123,0,0.102841947429078,0,0,0,0,0,0,-0.0787055006002277,-0.0549476423128172,0,0.0797411623236254,0,0,0,0.148983675215247,0,0
