,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600547.SH,X600886.SH,X600011.SH,X600585.SH,X600660.SH,X601600.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X600111.SH,X000708.SZ,X600027.SH,X600803.SH,X002460.SZ,X600426.SH,X601991.SH,X600160.SH,X000301.SZ,X000983.SZ,X601699.SH,X002466.SZ,X000786.SZ,X600219.SH,X000807.SZ,X002128.SZ,X000630.SZ,X600176.SH,X000933.SZ,X601168.SH,X600985.SH,X000877.SZ,X600096.SH,X000408.SZ,X000883.SZ,X002353.SZ,X000027.SZ,X002271.SZ,X002409.SZ,X000932.SZ,X600299.SH,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600027.SH,0,0,0,0,0.304728163610208,0.0110539062063908,0,0,0,0.500900919671621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331462045793984,0,0,0,0,-0.020042572238332,0.0322892981422801,0,0,0.0844529763590093,0,0,0,0,0,0,-0.0538693820978322,-0.085789969182072,0,0,0,0,-0.136717356589404,0,0,0,0,-0.0449687710246228,0,0,0,0,0.0451505915654468,0,0
X600803.SH,0,0,0,0,0,0,0.0397505279180117,0,0,0,0,-0.12063735535613,0,0.143775345555335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251449043361164,0,0,0,0.0742802618957882,0.0163974041201768,0,0,0,0,0.160476409282334,0.15688230133202,0,0,0,0,0,0,0,-0.0659236893856737,0.141567883579368,-0.0348878963773998,0,0,0,-0.0404939749341509,0,0
X002460.SZ,0,0,0,0,0,0,0,0,-0.0158517295286454,0,0,0,0,0,0.0556620860834994,0,0,0,0,0,0,0,0,0,0,0.020659328733865,0.026788534511448,0,0,0.830773182184711,0,0,0,0,0,0,0,0,0,0,0.044566490971116,0,0,0,0,0.0544010689754945,0,0,0,0.0294918536956463,0,-0.0528832450345573,0,0,0,0,0.0216081639977738,0,0
X600426.SH,0,0,0,0.347922501219437,0,0,-0.200114705251232,0,0,0,0,0,0,0,0.0380181227042121,0,0,0,0,0,0,0,0,0,0,-0.0914053389120752,0,0,0,0,0,0,0,0,0,0.15739672489995,0.0518645635347111,0,0,0,0,0,0,0.0909131367123457,0,0,0,0,0.267510926291083,0.0230080612202179,0,8.67361737988404e-19,-0.0226493652071377,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.0185665438820913,0,0.0727455974722406,-0.0383800625932192,0,0.0126654608585733,0.0944528836565094,0,0,0,0,0,0,0.0502316717689626,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.26164500475272,0,0,-0.0556233640278939,0,0,0,0.195449311026502,0,0,0,0,0,0,0.0177036797615255,0,0
X600160.SH,0,0,-0.199942649770771,0,0,0,0,-0.315236048525785,0,0,0,0.624340470852255,0,0,0.00483901700720198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295167569929607,0,0,0.322623552125028,0,0,0.245268710854775,0,0,0.0486070251240519,0,0.071181081588648,0,0.25133424894957,0,0.208785338632977,0,0,0,0,-0.118713706905227,0,0.0301731579306246,0,0,0,-0.165646614604088,0,0
X000301.SZ,0,0,0,0,0,0,0,0.0335320710286925,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.14289636979145,0.1747623006988,0,0,-0.0898428357605329,0,0,0,0,0,0,0,0,0,0,0,0,0.0595036044053891,0.298612790393869,0,0,0,0,0,0,0,0.0378606422985369,0,0,0,0,-0.0286921511946574,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0.0915920213370098,0,0.124572849194326,0,0,0,0,-0.0437520687456053,0.00730701112744493,0,0,0.0549742241781235,0,0,0,0,0,0,0,0,0,0,0,0,0.296414031390934,0,0,0,0.0213573745764701,0,1.73472347597681e-18,0,0,0,0.0564860608457123,0,0.0287524524404095,0.121130186021645,0,0,0,0,1.93961019233562e-05,0.0418064419873922,0,0,0,0,0,0,0,0,-0.0155192648048332,0,0
X601699.SH,0,0.0531167553886569,0,0,0.331028178190104,0,0.325284949485529,0,0,0,0,0,-0.0122175415266768,0,0,0.0555484357177728,0,0,0,0,0,0,0,0,0,0,0,0.338337399702416,0,-8.67361737988404e-19,0,0,0,0,0,-0.140499347523469,0,0,0.0697823503601155,0,0,0,0,0,0,0.0738495870310424,-0.0623826198421355,0,0,-0.0361770398934435,0,0,-0.0574818060638058,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,-0.0581098797344092,0,0,0,0,0,0,0,0.0674274792472066,0,0,0,0.0506806317178628,0,0,0.0878740181750716,0.702739064628455,0,0.01133839523022,0,0,0,0,0,0,0,0,0,0,0.164670801836708,0,0,0,0,0.00694131418356982,-0.138044752016308,0,0,0,0,0,0,0,0,-0.0378765101940144,0.343252196746095,-0.263164387063251,0,0,0,-0.0428820660756725,0,0
