,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X600886.SH,X000792.SZ,X002466.SZ,X002460.SZ,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600795.SH,X600426.SH,X000877.SZ,X600362.SH,X601699.SH,X002271.SZ,X000983.SZ,X600027.SH,X600489.SH,X600803.SH,X601991.SH,X600176.SH,X000807.SZ,X600160.SH,X000786.SZ,X000932.SZ,X000630.SZ,X000408.SZ,X600985.SH,X000933.SZ,X600219.SH,X300037.SZ,X000629.SZ,X600688.SH,X600612.SH,X000723.SZ,X002128.SZ,X601168.SH,X600157.SH,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600219.SH,0,0,0,0,0,0.0405979732965804,0,0,0,0,0.0732418350219205,0,0,0.0332875324215911,0,0,0,0,0.101958486423081,0,0,0.0979010117219255,0,0,0,0,0,0,0,0,0,0,0,-0.00809255852957564,0,0,0.394607847712061,0.0271859665222741,0,-0.107507139955409,0,0,0.0478421883836732,0,0,0,0,0,0,-0.0116294218489545,-0.038416472740412,0.00634479367211712,0,0,0,0,0,0,0
X300037.SZ,0,0,0,0,-0.0347588742104676,0,0,0.0869974216030235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293550355375512,-0.0906956621898299,0,-0.0482426075377748,0.075588875103381,0,0.0183840286776258,0,0,0,0,0,0.138184080976192,0,0,-0.116088018706406,0,0,0,0,0,0,0,0,0.0623086630164957,0,-0.127011253284219,0.168930765705247,0,0,0,-0.255389909966734,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0,0.0760900792056637,0,0,0,0.13084058620517,0,0.0723100218669051,0,0.0322709038857105,0.0801655256331223,0,0,0.056835569815528,0,0,0.104159078556343,0,0,0,0,0,0,0.0546300531903413,0.0185766454441523,0,0,0,0,0,0,0,0.013122613501058,0,0,0.0991909744593548,0.0400104094244674,0,0,0,0,0,0.00440768645654015,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0.123188453038891,0,0,0,0,0,0,0,0,0.0983727625673036,0,0,0,0,0.144424635655648,0.143204460577601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0633171131413724,0,0.020879157856662,0.0593312697213906,0.019566706275383,0,0,0,0,0,-0.00370542659801884,0,0,0,0.031374230659344,0,0
X600612.SH,0,0,0,0,0,-0.068633301604359,0,0.158452065415111,0,0,0,0,0,0,0,0,0,0,0,0.422269108473074,0,-0.0224053605553399,0,0,0,0,0,0,0,-0.105141178422224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125876020577357,0.139488422452313,0.00347674716924465,-0.00164982810877284,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0.0414840095335754,0.0157952047692539,0,0,0,-0.281712873692815,0,0,0,0,0.0381584294395408,0,0.28042878077718,0.146855454729804,0,0,0,0,0.0523550242206168,0,0,0,0.0235863914930694,0,0,0.0751322239030439,0,0,0,0.102752531602545,0,0,0,0,0.109548189888799,0,0,0,0,0.0705139516290142,-0.0421819540758346,0,0,0,0,0,0,-0.0109651728014905,0,0,0,0,0,0,0
X002128.SZ,0,0,0,0,0,0,0,0,0,0,0.0510039869344924,0,0,0,0.0517906230889074,0,0,0,0,0,0.0746964539255936,0,0,0,0,0,0.323591266021784,0,0.0571649069771973,0,0,0,0,0,0,0,0,0,0,0.0573047074226474,0,0,-3.46944695195361e-18,0.183391417592641,0.0181473514781462,0,0,0,0,0.0343481380502951,0,0.00535331570299159,0,0,0,0,0.0595626400019725,0,0
X601168.SH,0,-0.0249974891544012,0,0,0,0,0,-0.0713879604966147,0,0,0,0,0,0,0,-0.0129395923535997,0,0,0,0,-0.142027471550139,0,0,0,0,0,0,0,0.478884998746048,0,0,0,0,0.0514274036125029,0,0.233424106804156,0,0,0,0.229977036437604,0,0,0,0,0,0,0,0,0.0932052197110362,0,0,0,0,0,0,0,0.0911672673800365,0,0
X600157.SH,0,0,0,0.146364936887888,0,0,0,0,0,0,0,0,0,0,0.0330772641058347,0.0450251883585045,0,0,0,0,0,0,0,0,0,0,0.0325476483567644,0,0,0,0,0,0.00336109632092851,0,0,0.0297711729174526,0,0.0293952252108418,0,0,0,0.0270309397880623,0,0,0,0.0520844676549529,0,0.038991536171565,0,0.0414061863900477,0.0605633688955898,-0.0019250314685541,-0.0111220701488025,0,0,0,0,0,0
X002409.SZ,0,0,0,0,-0.927983552644194,0,0,0.204827280618052,0,0,0,0,0,0,0.510221793425492,0,0,0,-0.377504506131934,0,0,0,-0.112966924688209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.653903247306678,0,0,0,0,-0.259783708473412,0,0,0,0,0,0,0.0528249976820967,-0.0951534794877276,0,0,0,0,0,0
Change_TY3M,0,0,0,0,-0.0125486242283177,0,0,0,0,0,0,-0.716606216940486,0,-0.0840935714661374,0,0.0547933055626282,0,0,0,0,0,0,0,0,0,0,0,0.111217877927231,0,0.0511418660692211,0.128921540570652,-0.0632479085360791,0,-0.0455982407567152,0,0,0,0,-0.162040969540162,6.93889390390723e-18,0,0,0,0,0.204937953691101,0,0,0,0,0,0,-0.00724576977450515,0.000808069820067109,0,0,0,0,0,0
