,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600585.SH,X600660.SH,X600886.SH,X600547.SH,X002466.SZ,X601600.SH,X002460.SZ,X000792.SZ,X600795.SH,X000708.SZ,X601699.SH,X600010.SH,X000301.SZ,X600111.SH,X600362.SH,X000983.SZ,X600027.SH,X600803.SH,X000877.SZ,X600426.SH,X000786.SZ,X601991.SH,X600489.SH,X002271.SZ,X600985.SH,X600160.SH,X000408.SZ,X000630.SZ,X000807.SZ,X000933.SZ,X000932.SZ,X600612.SH,X600176.SH,X600348.SH,X600219.SH,X300037.SZ,X601168.SH,X002128.SZ,X600157.SH,X002353.SZ,X600688.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0183221046300531,0,0,0,0,0,0.0286655387892225,0,0,0,0,0,0,0,0,0,0,0.071870257664189,0,0.136984099774859,0,0,0,0,0.151588529404183,0.108020398370713,0,0,0,0,0,0,0.30673611934367,0,0,0,0,0,0,-0.0404110566739581,0.0349147002091339,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.610868595109268,0,0,0,0,0.229524686116626,0,0,0,0.208866223824862,0,0,0,0,0,0.0316498388273067,0,0,-0.0435520550988239,0.00233785979586136,-0.144650254375361,0,0,0,0,0,0,0,0,-0.0499964551883171,0,0,0,0,0,0,0,0.0784251686400817,0,-0.0145727432406553,0.00623409679218894,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.284341412990147,6.93889390390723e-18,0,0,0,0,0,0,0.108220154510659,0.243472250666865,0,0,0,0,0,0,0,0,0,0.0802460298432613,0,0,0.0542025490702088,0,0,0,0.0810650070046498,0,0.0576175393424413,0,0,0,0,0,0,0.0233327154383524,0,0,0,0.0318124336886592,-0.0327400911712016,0,0.107924864144501,0,-0.00431533186212833,0,0
X600795.SH,0.0209666602653473,0,0,0,0.0602306855848454,0.155998496780675,0,0,0,0,0.292643396958274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0561074279364282,0.155697366676142,0,0,0,0,0,0,0,0.0208649930352566,0,0.107789410765657,0,0,0,-0.00676074939389332,0,0,0,0.0547605708242315,0,0,0,0,-0.00267216259922386,0,0,0,0.0143706538142775,0,0
X000708.SZ,0,0,0,0,0,0,0.16475292520974,0.120257725011545,0,0,0,0,-0.109476529072279,0,0,0,0,0,0,0.251317268832094,0,0,0,0,0.00366451086610017,0,0,0,0,0.0190422784542232,0,0,0,0,0,0.0798630581890908,0,0,0.174496513244014,0,0,0,0,0,0.0205962481481926,0,0,0,0,0.279736880703914,0,-0.0251619786157511,0.0395088481653826,-0.0882679592133646,0,0,0,0,0
X601699.SH,0,0.161135973235915,0,0,0.418418538093471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0679719372860985,0,0,0.0991792895893794,0,0,0,-0.2119442116877,0.0161801757662692,0,0,0,0.239941878153124,0,0,0,0,0.128379385519697,0,0.129421169564369,0,0,0,0,0,0,0,0.0583689456114094,0,0,0.0332706757439572,0.0303991873703611,-0.0371527841221996,0,0,0,0.0283600162064709,0,0
X600010.SH,0,0,0,0,0,0,-0.0387612592900792,0,0,0,0,0,0.0873766792713976,0,0,0,0,0,0,0,0.0497443904417926,0.39698447849262,0,0,0,0,0,0,0.0151250270387476,0,0,0,0,0,0,0,0,0,0.0670603975850071,0,0,0,0,0,0,0,0,0,0,0,0,0.0191248847870402,-0.00102779950187438,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0478211847876727,0,0.083919698131352,0,0,0.00476164495396781,0,0.236411356810668,0,0,0,0,0,0,0,0,-0.0807009146726393,0,0.0282218115979746,-0.0189049392580423,0,0,0,0,0,0,0,0,0,0,0,0.137281632369996,0,0,0,0.122483847715048,0,0,0,0.0238443426384379,-0.00568168174238379,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,-0.0654640011438686,0,0,0,0,0.287531920121236,0,0.00105089928937682,0,0,0,0,0.0637748106746819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365583711266627,0,0,0,0,0,0,0,0,0,0,0,0.1471799324763,0,0,0,0.023064853175514,-0.0270654070011815,0,0,0,0.0247647228373819,0,0
X600362.SH,0,0,0,0.0504655855503362,0.0490337324350574,0,0.0528683601666126,0,0,0,0,0,0,0,0,0,0,0.149728180448441,0,0,0,0,0,0,0,0,0,0,0,0,0.0626715927178585,0.0723008202118813,0,0,0,0.350045776620456,0,0,0,0.0352347965628654,0,0.0481858842286407,0.102520314095574,0,0,0,0,0,0,0,0,0.00278092667584574,0.00617005456714132,-0.0907101263729033,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633924456179103,0,0,0,0,0,0,-0.0634236693143279,0.515787525212452,0,0.0778184776093119,0,0,0,0,0,0,0,0,0,0,0,0,0.264115363980635,0,0,0,0,0,-0.154006788600284,0,0,0,0.0484659757736743,-0.046006809072209,0,0,0,0.440332421669179,0,0
X600027.SH,0,0,0,0,-0.0202202056225313,0,0.47949619830415,0,0,0.0732186723896568,0,0,-0.0122853834548398,0,0,0,-3.46944695195361e-18,0,-0.123007558417327,0.0427269149362657,0,0,0,0,0,-0.0818308765069914,0,0,0,0.272190253983167,0.010584441505187,-0.156794525075639,0,0,0,0,0,0,0.0260156700520291,0,0,0,0,0,0,0,0,0,0,0,0,-0.0142084417766686,0,0,0,0,0,0,0
X600803.SH,0,0,6.93889390390723e-18,0.210652581387168,0,0,-0.0238321565694065,0,0,0,0,-0.179156252895947,0,0,0,0,0,0,0.141479122228839,0,0,0,0,0,0,0,0,0,0.228149036103944,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.127850804171494,0,0,0,0,0,0,0,0,0,0.129568017164514,0,0.0190728802659512,0,0,0,0.0734435936123069,0,0
X000877.SZ,0,0,0,0,0.0601813463336338,0,-0.0903967470106237,0,0.538681286261937,0,-0.284592714976952,0,0.0653881318806559,0,0,0,0,0,0,0,0,0,0,0.0722071908861573,0,0,0,0,0.00343838553261459,0,-0.0348866041851447,0,0,0,0,0,0,0,-0.000265012297981289,0,0,0,0,0,0,0,0,0,0,0,0,0.0243845028657401,-0.0261739653804889,0,0,0,0,0,0
X600426.SH,0,0,0,0.341574207944126,0,0,0,0,0,0,0,0.133816061523929,0,0,0.0195784239135641,0,0,0,0,0,0,0,0,0,0,0.196801281703708,0,0,0,0,0.147916441212425,0,0,0,0,0.140368568962706,0,0.272657264272545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166594957343403,0,0,0,0,-0.0998709166402779,0,0
X000786.SZ,0,0,0,0.246582416413002,0,0,0,0,0.568927313547969,0,0,0,0,-0.0297886164669727,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0160090445662081,0,0,0,0.0489334674253166,-0.263170689041847,0,0,-0.0389385078562646,0,0.0456991367118074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486329900027218,-0.0564898436525864,-0.274692117013474,0,0,0.25380498884569,0,0
