,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600547.SH,X600660.SH,X600886.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X600111.SH,X600010.SH,X000708.SZ,X601699.SH,X000301.SZ,X600426.SH,X600362.SH,X000877.SZ,X000983.SZ,X600027.SH,X600489.SH,X600803.SH,X002271.SZ,X601991.SH,X600160.SH,X600176.SH,X600985.SH,X000807.SZ,X000630.SZ,X000408.SZ,X000786.SZ,X000932.SZ,X600612.SH,X300037.SZ,X000933.SZ,X600219.SH,X002128.SZ,X600995.SH,X600348.SH,X000629.SZ,X600688.SH,X600157.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000629.SZ,0,0,0,0,0,0,0,0,0,0.00387864301525808,0,0,0.178858898828859,0.186076444400745,0,0,0,0.0545193660409689,0,0,-0.0426004269591477,0.0666335109173769,0,0.191451974756142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0902178974316948,0,0,0,0,0,0,0,0,0,0,0.0162017739662375,0.0164303296632678,-0.0169205487091832,0,0,0,0,0,0
X600688.SH,0,0.0190613119073622,0,0,0,0.12625717410847,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.00773424914468493,0.147825367096427,0,0,0,0,0.211902306719814,0,0,0,0,0,0,0,0,0.131187483674539,0,0,0,0,0,0,0,0.0780193580553941,0.0522402297311186,0,0,0,0,0,0,0,0,0,0.103272229398093,0,0.0212202192097492,-0.0380523407316094,0,0,0,1.38777878078145e-17,0,0
X600157.SH,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0182137212039626,0,0,0,0.18588640297493,0,0,0.0319136395929889,0,0,0.00957432448460587,0.0436364885713055,0.00912384504552697,0,0,0,0,0,0.047701563156859,0,0,0,0,0,0,0,0,0,0,0.0289212341151654,0,0,0.0640447856959052,0,0,0,0.0324747765761715,0,-0.019698124066635,0,0,0,0,-0.107209685584868,0,0
X000723.SZ,0,0,0,0,0.0852412041891115,0,0,0,0,0.0566444272816394,0,0,0,0,0,0,0,0.245719105985225,0,0,0,0,0,0,0,0,0,0,0,0.238901478189018,0.053405197982532,0.0636380652550737,0,0.023211238061877,0,0,0,0,0,0,0,0,0,0,0,0.0587343498760082,0,0,0.0326792338634404,0,0,0,-0.0165538959167176,0,0,0,-0.0215431128894527,0,0
Change_TY3M,0,0,0,0,-0.367721852093633,0,0,0,0,0,-0.275043162495681,-0.0710775421120858,-0.165213493298228,0.05475295953493,0,0,0,0,-0.723574667845921,0,0,0.40340550739133,-6.93889390390723e-18,0,0,-0.139306050441459,0,0,0.0855097867522272,0,0,0,0,0,0,0,0,0,0.224184312203212,0.0594468027749268,0,0,0,0,0,0,0,0,0,0,0,-0.00527397846254525,0,0,0,0,0,0,0
Slope,0,0.258138837053703,0,0,0,0,0,0,0,0.0111244454549521,0,0,0,0,0,0,0,0,0,0,0,0,-0.345575432491406,0,0.10840752629777,0,0,1.73472347597681e-18,-0.192830806768676,0,0,-0.0677890894571871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09784400320065,0,0,0,-2.04427324132029,0,0
TED,0,0,0,0,0,0,0,-0.189903003793026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380401320018731,0,0,-0.0948383568654136,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.556258363491229,0,0,0,0,0.350831494238241,0,0
RealEstate_excess,-0.0637222676627995,0,0,0,0,0,0,-0.00722656284836093,0,0.0791060451519765,0,0,0,0,0,0,-0.183014560212895,0,0,0.140471590671436,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,-0.00959978167158731,-0.0253698931852755,0.0219652198086203,0,0,0.0990371978876074,0,0,-0.0948216279611912,0,0,0,0,0,0,0,0,0,0,0,0.0120525908770915,-0.0372639183374156,0,0,0,0,0,0
MKreturn,0,0,0,0,-0.0115810704142376,0.0720194854414101,0,0,0,0,0,0,0,-0.116356181574068,0,0,0,0,0,0,-0.0266734420517039,0,0,0,0,0,0,-0.0143577138646004,0,0,0,0,0.0925953624201526,0,0,0,0,0,0,0,0.0325677671566072,0,0,0,0,0,0,0,0,0,-0.117939777809731,-0.00986710284271857,0.01150263711584,0,0,0,-1.73472347597681e-18,0,0
MKvol,0,0.000658902653688151,0,0,0,0.000272201670517261,0,-0.00113736334485044,0,0,0,0,0,0,0,-0.0012566978127618,0,0,0,0,0,0,0,0,0,0,0,0.00113680404221149,0,0.000877548540932508,0,0,0,0,0.00109081604434816,0,0.00146845527398147,0,0,0,0,0,0,0,0,0,0,0.00476598935498796,0,0,0,0.00207142025953642,-0.00284174814550504,0,0,0,-0.00911436705739818,0,0
