,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X601898.SH,X600011.SH,X600547.SH,X601600.SH,X600660.SH,X002460.SZ,X600886.SH,X000792.SZ,X002466.SZ,X000708.SZ,X600111.SH,X600010.SH,X000301.SZ,X600426.SH,X600795.SH,X000877.SZ,X600362.SH,X002271.SZ,X601699.SH,X600803.SH,X000983.SZ,X600489.SH,X600027.SH,X600176.SH,X000807.SZ,X601991.SH,X000786.SZ,X000932.SZ,X000630.SZ,X600160.SH,X000933.SZ,X000408.SZ,X600219.SH,X600985.SH,X600688.SH,X000629.SZ,X300037.SZ,X002128.SZ,X002353.SZ,X600157.SH,X600612.SH,X601168.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000877.SZ,0,0,0,0,0.0214275780870551,0,0.345986316749072,0,0,-0.122443819494599,0,0,0,0,-0.107621012339286,0,0,0,0,0,0,0,0,0,0,0,0.0502935409116695,0.00640488924442064,0,0,0,0.177786784458579,0.105006314290746,0,0,0.0904361650680442,0,0,0,0,0.0799950756001375,0,0,0,0,0,0,0,0,0,0,0.0258460275681291,-0.00423135667381533,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,-0.0382067619947406,0,0.040430417542098,0,0,0,0,0.0440464434941135,0,0,0,0.00429385610210812,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.15261648207057,0,0,0,0,0,0,0.261236420549521,0,0,0,0.069720604672773,0.07026141683739,0.072341252350403,0.0373091380164089,0.00698653594102116,0,0.00645968205148778,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0.373497946677122,0,0,0,0,-0.149071214152303,0,-0.0480640190254227,0,0.200464426425011,0.255330739608869,0,0,0.0230946429964862,0,-0.220373287353365,0,0,0,0.0104824145623762,0,0,-0.10442879370438,0,0,0,0,0.253300938326951,0,0,0,0,0.0349977578326433,0,0.0844327594593793,0,0,0.10941689772028,0,0.0271151344950139,0,0,0,0,0.0487759243336334,0.00920323918991201,0,0,0,0,0,0,0
X601699.SH,0,0,0,0,0.373645446450546,0,-0.499588464603667,0,0,0.199749775205871,0,-0.120942349852885,0,-0.121888018963642,0,-0.045406454041979,0.141477482726353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563094371677854,0,0,0,0,0,0.0792995176657364,0,0,0.217894218599679,0,0,-0.0207533378333656,0,0.170218103741891,0,0.0148488581929256,0,0,-0.0373036860571215,0,0,0,0,0,0,0,0
X600803.SH,0,0,0,0,0,-0.0598197767265499,-0.0755116718292875,0,0,0,0,0,0,0.336610857309619,0,0,0,0.504915218537691,0,0,0.0577370813465543,0,0,0,0,0.321392786282419,0,0.0847251701532767,0,0,0,0.109556618299856,0.367211965936099,0,0,0.0198581761027316,0.0392102652835099,-0.0091737513836596,0,0,0,0,0,0,0,0,0,-0.146347742758493,0,0,0,-0.0287306368225866,0,0.340611893683605,0,0,0,0,0
X000983.SZ,0,0,0,0,0.313672038181202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0621892328225773,0,0,0,0,-0.0220148574071438,0,0,0,0,0,0,0,0,0,0,0.0924925983606525,0,0,0,0.231782001971711,0,0,-0.0644199627558358,0,0,0,-0.000192773259366203,-0.0135240352316898,0.0636068187236108,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0.597121039645081,0.13354039100855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,-0.0235924163364667,0,0,0,-0.0768198214548053,0,0,0.0580114743648693,0,0,0.0256169683242198,0,0,0,0,0,0,0,0,0,0,0,0.15440460629119,0,0,-0.00683135871144088,-0.0145465343347504,0,0,0,0,0,0
X600027.SH,0.136387487972499,0,0,0,0,0,0,0,0.509861943133644,0,0,0,0,0,0,0,0,0,0,0,0,0.13480844129174,0,0,0,0,0,-0.0704439628647575,0.0473064801888888,0,0.0467853131755983,0,0.092131248204791,0,0,0,0,0,0,0,0,0,0,0,0,0.00481103166124788,0,0,0.133323995021118,0,0.00623119074292844,-0.0232449646405811,-0.00677386406145998,0,0,0,0,0,0
X600176.SH,0,0,0.124735793336504,0,0,0.212926609488395,0.198435670535253,0,0,0,0,0,0,0,0,0,0,-0.212155278736528,0,0,0,0,0,0,0.1257237085775,0,0,0,0,0.0633589074298663,0,0.416025617750732,0,0,0,0,0.182208921655093,0,-0.118040002742228,0,0,0,0,0,0,0,-0.0362387627191722,0,0,0,0.190542299839602,0.175965316914676,-0.179283099703006,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,0,0,-0.0860972870121964,0,0.182912746230136,0,0,-0.0190581955084426,0,-0.0256078486345755,0.0444546395719453,0,0,0,-0.197308771592324,-0.0891443873281569,0.019232624240203,0,0,0,0,0,0,-0.217590306439424,0.181687530783594,0,0,0,0,0.45576666393688,0,0.102910812270551,0,0,0,0,0,0,0,0,0,0,0,0.157532950048762,0,0.00902969360922334,-4.33680868994202e-19,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.186427288450513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167779282056906,0,0,0.0354797706295324,0,0,0,0,0,0.0510895572775279,0,0,0,0,0,0,0,0.0936734431091494,0,0,0,0.0243716069066998,0.0226466820635351,0,0,0.0157034795127654,4.33680868994202e-19,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0.140320702148303,0.00981362977877932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05318470064355,0,0,0,0.452730474368218,0,0,0.152959827698692,0,0,0,0,0,0,0,0,0.0331862214448241,0.139636279248284,0.0829750735398624,0,0,0,0,0.126676269853558,0,-0.163488342482913,0,0,0,0.00852398174954533,0,0.0384003894355764,0,-8.67361737988404e-19,0,0,0,0,0
X000932.SZ,0,-0.186042467801175,0,0,0,0.342165477792686,0.31684197808194,0,-0.017081568616644,0,0,0.142727846369135,0,0,0,0,0,-0.0604229443457128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0261266714114126,0,0,0,0,0,0,0,0,0,0.246807449841609,0.0644557622818467,0.136860122385846,0,-0.0510233171446023,0.0116256037285168,0,0,0,0,0,0,0
