,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X000708.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X600010.SH,X000786.SZ,X600111.SH,X600176.SH,X601600.SH,X601898.SH,X600011.SH,X600886.SH,X000301.SZ,X002466.SZ,X600188.SH,X600426.SH,X600352.SH,X600801.SH,X000932.SZ,X601991.SH,X600803.SH,X600219.SH,X600795.SH,X600489.SH,X002080.SZ,X000027.SZ,X600688.SH,X600486.SH,X600299.SH,X600516.SH,X000898.SZ,X000807.SZ,X002353.SZ,X601168.SH,X600027.SH,X000723.SZ,X600157.SH,X601992.SH,X600315.SH,X000630.SZ,X300037.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601168.SH,0,0,0,0,0,0,0.10324000806989,0.124646664268064,0,0,0,0.420821856710839,0,0,0,0,0,0,0,-0.201378357823572,3.46944695195361e-18,0,0,0.00891708258196743,0,0,0,0,0,0,0,0,-0.0554860716186583,0,0,0,0.153312200158125,0,0,0.113925964964247,0,0,0,0.144304711862527,0.0728868781183324,0,0.0215913385734695,0,0.0836291096964031,0,0,-0.0227765709953316,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,-0.020753104577067,0,-0.0381625516036718,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0780080369954495,0,0,2.16840434497101e-19,0.0471887424842088,0,0,0.0410148081483599,0.0134534363725043,0.0391528423114838,0,0,0,0,0,0.115802520378684,0,0,0,0,0,0.0543296890744019,4.33680868994202e-19,0,0,0,0,0,-0.0088523235414328,0,0,0,0,0.00464638885459317,0.0110130225427739,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228576276178854,0,0,0,0,0,0,0,0.221853967454149,0,0,0,0,0,0,0,0,0,0,0.235924342171011,0,0,0,0,0,0.0237301592203545,0,0.116926502630819,0,0,0,0,0.109298575373313,0,0.127816264944107,0,0,0.053720061087903,-0.0980217188042579,0,0,0,-0.0597300783455024,0,0
X600157.SH,0,0,0,-0.050214126131415,0,0,0,0.0914277761029677,-0.230644616431348,0,0,0,0.0864560308268839,0,0,0,0,-0.111651839978825,0,0,0,0,0,0,0,0,0,0,0,0.196563199872138,0,0,0,0.0285131131585298,0,0,0.0264586194573722,-0.0545536130540692,0,0,0,0,0,0,0,0,0.00138869921092035,0,8.67361737988404e-19,0,0.104921766540972,0.055033926075189,-3.46944695195361e-18,0,0,0,-0.0327772601389236,0,0
X601992.SH,0,0,0,-0.00364026542193689,0,0,0,0,0,-0.039752785267246,0,0,0.100770193719052,0,0.00376239974398713,0,0,0,0,0,0,0.0188872201057162,0,0,0.0765307264766674,0,0,0,0,-0.0284577698096312,0,0,0,0,0,-0.182595214279938,0,0,0,0,0,0.0376824137244805,0,0.0281334464463069,0,0,-0.0801273398121557,0,0,0,0,0,0.000942898849372792,0,0,0,0,0,0
X600315.SH,0,0,0,0.052237101000509,0,0.106329536933034,0,-0.123556943454567,0,0,0,0.0848075276865854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.138832632259467,0,0,0,0,0.0986622014848273,0,0,0,0,0,0,0,0.148704937298648,0,0.151920901908874,0,0,0,0,0,-0.118450739954807,0.351677082558419,0.0328242419789409,0,0,0,0,-0.159812949022641,0,0
X000630.SZ,0,0,0,0,0,0,0,0,-0.0488902263499768,0,0,0.308896350787888,0,0,0,0,0.142292362668469,0,0,0,-0.0792776769520116,0.0212186698807761,0,0,0,0,0,0,0,0,0,0.0663163362881946,0.0202119871437799,0,0,0,0,0.0957895545868502,0,0,0,0.075607859301806,0,0,0,0,0,0,0,0,0,-0.036374224029661,0,0,0,0,0,0,0
X300037.SZ,0,-0.417785229765577,-0.105858223409139,0,-0.186859745123394,0,0,0,0,-0.172898950274694,0,0.129801141611342,0,0,0,0.307099900795221,0,0,-0.0105214747446401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341249457584599,0,0,0.0757274973705467,-0.0468933634568159,0,0,0.048165643911887,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0
X000830.SZ,0,0,0,0.465437022772097,0,0,0,0,0,0,0,0.158882109291185,0,0,0,0,0,0,0,0,0,0.0478775140444048,-0.0195331960753623,0.245944171951715,0.129025360524235,0,0,0,0,0.194325876235216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0993817931185866,0.0577704280774727,0,0,0,0,0.0412750241220992,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,-0.0215307723473079,0,0,0,-0.0618509436977721,0,0,0,0,0,0,0,0,0,-0.0447705625499839,0.0131778796638839,0,0,-0.309934658279562,0,0,0,0,0,0,0,0,0.180469678094456,0,0.0390946727486681,0,0,0,0.11278689039148,0,-0.106912189300162,0,0.0748658481374107,0,0,0,0,0,-0.0716851362198377,0,0.02807335872227,-0.0282505512334869,0,0,0,-0.0375998527733493,0,0
Slope,0,0,0,0,0,0,0,-0.0761609650293728,0,0,0,0,0,0,0.295188512748213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31952292246113,-0.160585505212615,0,-0.252692960687394,0,0,0,0.0751846143931255,0,-0.0805848445620748,0,0.12150895238631,0,0,0,0.530404911962206,0,0,0.312557172491909,0,-0.0927092959821593,0,0.640175271566949,0,1.27284950383112,0,0,0,1.17698026474805,0,0
TED,0,0,0,0,0,0.20536600039489,0,0,0,-0.0105002784149668,0,0,0,0,0,0,0,0.0746793606573528,0,0,0,0,0,0,0,0,0,0,-0.00348247995063946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0873300295237885,0,0,-0.243718694221476,0,-0.0892486426316349,0.0290214493234284,-0.562625790084903,0.743953497222856,0,0,0,0,-0.323381816696647,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,-0.0339218248767982,0,0,-0.0389761066231884,0,0,0,0,0,0.0171422651336257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0527551855612903,0,-0.0318577672259995,0,0,0,0,0,0,0,0.148437609911965,0,0,-0.00147385251187759,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,-0.0149816400844965,0.059921105812085,-0.0534520624010895,-0.0101443378236249,0,0,0,0,0.00771449661665785,0,0,0,0,0,0,0.0344660407078085,0,0,0,0,0,0,0,-0.106347883209581,0,0,0,-0.0167941615029167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0207490523579291,0,-0.0960176093488899,-0.0128061992308691,4.33680868994202e-19,0,0,0,0.0575492221227174,0,0
MKvol,0,0,0,0,0,0,0,0,-0.000166267942512068,0,0,0,0,0,-0.000235163809676323,0,0,0,0,0,-0.000837007696344231,-8.67115210157122e-05,0,0,0,0,0,0,0,0,0,0,0.000358815982957024,0,0,0,0,0,0,0.00136653936345227,-0.00337005639115885,0,0,0,0,0,0,0,0.000121146697722091,0,0.00262671218213146,-2.71050543121376e-20,0,0,0,0,-0.00500772905966951,0,0
CarbonVol_Shenzhen,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.0165180583749137,0,0,0.00898973364031023,0,0,0.0349808985997358,0,0,0,-0.132517770800399,0,0,0,0,0,0,0,0.128148923495952,0,0,0,0.0777050393842739,0,0,0,-0.0447784434898033,0,0,0,0,0,-0.0513276195461894,0,0,0,0,-0.017260292934818,0,0,0.196594149789409,-0.189960593227827,0,0,0,0,0,-3.622473204874
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00250296201172793,0,0,0,0,0,0,-0.00484545150560871,-0.00451331386765331,0,-0.000344924555513174,0,0,0,0,0,0,0,0,0.00187683956816164,0,0,0,0,0,0,0.0068186345685528,0,0,0,0.00153750537108505,0,0,0,0,0,0,0.0101704065112091,0.00117934530058644,0,0,0,0,-0.00761504191918519,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00188747738811728,0,0,0,0,0,0,0
