,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X000301.SZ,X601898.SH,X600011.SH,X600019.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000877.SZ,X600886.SH,X600547.SH,X601600.SH,X002271.SZ,X600795.SH,X600803.SH,X600426.SH,X600176.SH,X600362.SH,X601991.SH,X000983.SZ,X600027.SH,X000629.SZ,X600348.SH,X000408.SZ,X000723.SZ,X601699.SH,X600096.SH,X600160.SH,X000786.SZ,X600141.SH,X300073.SZ,X600219.SH,X002080.SZ,X002353.SZ,X600157.SH,X600549.SH,X600295.SH,X000933.SZ,X000807.SZ,X600378.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000807.SZ,0,0,0,0,0,0.0893550835925455,0,0,0,-0.0266639943609407,0,0.0162402765002753,0,0,0,0,0,0,0,0,0.477100319781215,0,0.00426468015346625,0,0,0,0,0,0.150046809340493,0,0,0,0,0,3.46944695195361e-18,0.0327754434213441,0,0,0,0,0.00299270384272515,0,0,0,0.0233764546009833,0.0655364900072212,0.0241919908794705,0,0,0,0,0,-0.027194600308421,0,0,0,0,0,0
X600378.SH,0,0,0,0,0,0,0,0,0,0.0463281975355395,0,0,0,0.173885191315291,-0.0379960586386352,0.0563600399031083,-0.13136581411267,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789936933200031,0.0052920894032892,0,0,0,0.059437805796026,0,0,0,0,0,0,0.0481202671716618,0,0.0500782260491965,0,0,0,0,0,0,0.0319042082223762,-1.73472347597681e-18,0,0,0,0.0334329618629227,0,0
X600985.SH,0,0.0195630097761665,0,0,0.00764176844032515,0,0,0,0,0.033599707537674,0.329490583098112,0.0480473972507478,0,0.0217836156022213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864565312265409,0,-0.0159456404801856,0.00898052901631577,0,0,0.148331287283036,0,0,0,0,0,0,0,0.0367257430720039,0,0,0,0.0648609538185761,0,0,0,0,0,-0.00392163607989044,0,0,0,0,0,0
Change_TY3M,0,0,0,0.216175178126139,-2.16840434497101e-19,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.00393780043627723,0,0,0,0,0,0,0,0.0483221440094641,0,0,0,0,0,0,0,0.00329176051256628,-0.336593089190145,0,0.204946329182806,0,0,0,0,-0.0273891659041792,0,0.056800494749457,0,0,-0.113511518583675,0,0,0,0,0,0,-0.121219148009488,-0.00115319691052351,0,0,0,0,0,0
Slope,0,0,0,0,0,0.0821146380293983,0,0,0,0,0,0,0,0.120630726100633,-0.0431454119531903,-0.110359430673842,0,0,0,0,0,0.0094594719389537,0,0,-0.231063369623516,0,0,0,0.134865707425831,0,0,-0.0859926889962509,0,0,0,0.0248674105738187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397714316701286,0,0,0,-0.369591012224168,0,0
TED,-0.226871965586244,0,0,0,0,0,0,0,0,0.378884056789571,0,0,0,0,0,0,0,0,0.132806298446056,0,0,0,0,-0.509207531187124,0,0,0,0,6.93889390390723e-18,-0.19324169300106,0.196720536248365,0,0,0,0,0,0,0,-0.0956382272068143,0.291065927326571,0,0,-0.28973890877647,0,0,-0.347452451178999,0,-0.216573261250628,0,0,0,0.225091153166534,0,0,0,0,0.992145445896652,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0.0580501557627554,0,0,0,0,0,0,0,0,-0.0336767758453868,0,-0.0699973351094123,0,0,0,0,0,0,-0.0521395240058968,0,-0.0065594733193159,-0.00617918260246839,0,0,0,0,0,0,0,0,0,0,0.0917831753151999,0,0,0,0,-0.0389029676768575,-0.0262664455464113,0,0.0255601111407588,0,-0.00772199279511847,-0.0537414774827442,0,0,0,0,0,0
MKreturn,0,-0.136069587261427,0,0,0,0.0514028467028783,0,0,0,0,0,0,0,-0.126374708845888,-0.00398890102042113,0,-0.0220142005506909,0,0,0,0,0,0.059025591918348,0.0391748103853687,0,0,0,0,0,0,0,-0.0154773986218084,0,0,0,0,0.0163663140862946,0,0,0,0.0414460007986056,0,0,0,0,0,0,0,0.0403258860774579,0,0,0.0137232395258775,-0.0358998823906709,0,0,0,0.0469892845654968,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276154314042215,-0.000235399343973803,0,0,0,0,0,0,0,0.00643359635414549,0,0,0,0,0,0,0,0,0,-0.00357228897976792,0,-0.00109875822215944,0,0,0,0,-0.000583166806362025,0,0,0.00165952044456683,-0.00817423207852801,0.0088422111043552,0,0,0,0.0158294041680807,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415452006554252,0,0,0,0,0,0,0,0,0,-0.0335552326378459,0,0,0,0,0,0,0,0,0,0,-0.376146288119727,0.280325200891758,0,0,0,0,0,0
