,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X600111.SH,X601991.SH,X600027.SH,X600157.SH,X600362.SH,X600188.SH,X600886.SH,X600623.SH,X002466.SZ,X601992.SH,X600547.SH,X600660.SH,X600299.SH,X600309.SH,X000792.SZ,X600489.SH,X601158.SH,X300072.SZ,X600583.SH,X000883.SZ,X000709.SZ,X600549.SH,X600352.SH,X000898.SZ,X002075.SZ,X000723.SZ,X000539.SZ,X000027.SZ,X000630.SZ,X002460.SZ,X002470.SZ,X002407.SZ,X000983.SZ,X000012.SZ,X600021.SH,X600176.SH,X600098.SH,X000060.SZ,X000761.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600098.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00497040857949826,0,0,0,0,6.93889390390723e-18,0,-0.0368176184599805,0,0.221171621375165,0,0.110998185662194,-0.0162243683919724,0,0,0,0,0,0.110574940229511,-1.73472347597681e-18,0,-6.93889390390723e-18,0,0,0.0211191124480559,0,0,0.182981023685987,0.021347766490067,0,0,0,0.233454618383012,0,0,0,0,0,0,0.0599093597710525,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0,0,0,0,0.107744198261337,0,0,0,0.411124170868888,0.0462014426758832,0,-0.0200950365003645,0,0,0,0,0,0,0,0.145285817725163,0,0,0,0,0,0.122758424641946,0,0,0.134023650051552,0,0,0,0,0,0,0.134231761081209,0,0,0,0,0,0,0,0,-0.0298389155772648,0,0,0,0,0,0,0
X000761.SZ,0,0,0,0,0,0,0,-0.273042520649135,0,0,0,0.251246603760442,0,0,0.103909978547394,0,0,0,0.0572495289406011,0,0,0,0,0,0.128635484823571,0,0,0,-0.0114843835347611,0,0,-0.558006419823604,0,0.0532601079258193,0,0,0.103785008109294,0,0,0,0,0,0,0.323914223990661,0,0,0,0,0.0408360243018684,0,0,-0.2128525348629,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0.0263574786900036,0,0,0,0,0,0,0.0471522193722716,-0.0834373070723044,0,-0.0186853462412513,0,0,0,0,-0.0538284445455758,0,0,0,0,0,0.0146982515991819,0,0,-0.0163368319157207,0,0,0,0,-1.73472347597681e-18,0,0,0.0364068062197773,0,0,0,0,0,0,0,0,-0.126661047406546,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0.0173019668992008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223057790605723,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0456751465859825,0,0,0,0,0.0203143932463878,0,0,0,-0.0330342253306168,0,-0.357837593742728,-0.177406889217411,0,0,0,0,1.17091003239452,0,-0.252459112716622,0,-0.354720000378429,0,0
TED,0,0,0,0,0,0.0743164817990944,0,0,0.27724603956233,0,0,0,0,0,-0.0956334216827636,0,0,0,-0.119522526574326,0,0,0,0.141530571334104,0.0664250148310701,0,0,0,0,-0.0296709210083904,0,0,0,0,0,0,0,0.00767702382651074,-0.107841459689872,0,0,0,0,0.0543270297960887,0,0,0,0,0,0,0.453127004049202,-0.735009974316852,0.613458937195026,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0243308149441098,-0.372932137962159,0,0,-0.0543018015289702,-0.000905760188976498,0.166133423996807,-0.0379928530005181,0,8.67361737988404e-19,0.262476511648988,0,0,0,0,0,0,0,0.00120344705638234,0,0,0.0499567004645303,0,0,0,0,0,0,0,0.128800063561368,0,-0.0472539768800928,-0.123523561745575,0,0,0,0,-0.0734568213244712,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0.0474371808455094,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013110612337509,0,-0.118180090867946,0,0,0,0,0,1.35525271560688e-20,0,0.122994738413205,0,0,0,0,0.0681555021750699,0,0,0,-0.0661133989440413,0,0,-0.0491724737652587,0.0662438734911203,0,0,0.00432835568964555,0,0.511681722292018,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,-0.00262428668652249,0,0,0,0,0.0179496406796387,0,0.00341952983968982,-0.00728002917594357,0,0,0,-0.0261005958800061,0,0,0.0232179864911776,0,-0.0190395170237525,0,0,0,-0.00843880261831943,0,0,-0.00693687342107317,0,0,0,0,0,0,0.0249221090901842,0,0,0,0,0,0,-0.0124206915311993,0,0.028647407296401,0,0,0,0,-0.256615824614521,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0.0193225869571314,0,0,0,0,0,0,0.00159582860717835,0.0282117709865408,0,0.0569672451802283,0,0,0,-0.0441942391187425,0,0,0,0,0,0,0,0,0,0.0143578969351025,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00349453578492342,0,-0.0087678979497639,-0.120124168404678,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0.00253555449468636,0,0,0,0,0,0,0,0,0,0,0,0.0105561222936637,0.00137572645624426,-0.0252403225790341,0.00443398723827192,0,0,0,-0.0184974479911643,0,0,0,0,0,0,0,0.00449869980793637,0,0,0,0,0,0,0,0,0,-0.0120957097790937,0,0,0,0,0.00807561902041472,0,0,-0.0188411898026605,-0.0247005932361971,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0.00689636702884791,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,-0.00224282220826007,-0.00387908674269089,0,0,0,0,0,0,0,0,0,0,0,0,-0.0349738286327768,0,0,0.0173828460797163,-0.0114316742826338,0,0,0,0,0,-0.0158134362582084,0,0,0,0,0.0101928399409452,0,0.000203597556251844,0,-0.0821635445459096,0.101456049680553,0,0,0,0,0,0
