,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X000708.SZ,X600660.SH,X002271.SZ,X600011.SH,X002460.SZ,X600886.SH,X000786.SZ,X601898.SH,X600010.SH,X600362.SH,X600176.SH,X601600.SH,X600801.SH,X600489.SH,X600352.SH,X600188.SH,X601991.SH,X600426.SH,X600795.SH,X600111.SH,X600688.SH,X002080.SZ,X600027.SH,X600299.SH,X601992.SH,X000301.SZ,X002466.SZ,X000932.SZ,X600803.SH,X002075.SZ,X600529.SH,X600219.SH,X300037.SZ,X000027.SZ,X002353.SZ,X600486.SH,X000883.SZ,X600315.SH,X601158.SH,X000898.SZ,X000723.SZ,X000878.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234296281841075,0,0,0,0,0,0,0,0,0.240086322996217,0,0.0636483688391319,0,0,0,8.67361737988404e-19,0.00889948091151728,0.0092578926944037,0,0,0,0,0.0988273461685429,0,0.0178130996260561,0,0,0,0,0,0,0,0,0,0.0907408846118379,0.0174375841831315,0,0,-0.0173616740229845,-0.000559593008454125,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0.292359505674205,0,0,0,0,0.0457840799969296,0,-8.67361737988404e-19,0,0,0,-0.155104173700307,0,0.00122973928966529,0,0,0.115575969778562,0,0,0,0.0922481702798857,0,0,0,0,0.110056099261517,0.251778669595854,0,0,0,0.0095121396749104,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,-0.00923715346969222,-0.0463059881223793,0,0,0,0,0,0,0
X600486.SH,0,0,0,0,0.235650207685733,0,0,0,0,0,0.0920848490100876,0,0,0,0,0,0,0,0,0,0,0,0.0872182586598469,0,0.0265916594635304,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.0830188640140648,0,-0.0344995462908941,0,0,0,0,0.0297989426838501,0,0,0,-0.0228123095930882,0,0,0,0,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0.0352066157057728,0,0,0,0,0,0.00942977589104079,0.0610815762095576,0.226073022405656,0,0,0,0,0.0194555187229943,0,0,0,0,0,0,0.0602544522415118,0,0.0172575006646089,0,0,0,0,0,0,0,0,-0.0523474990346356,0.0317159860669678,0,0.0861488222093204,0,0,0,0,0,0.0138031646450957,0,0,0.0314309429432908,0.0494045696917877,0,0.0137265106452802,-0.0137201112205282,0,0,0,0,0,0,0
X600315.SH,0,0,0,0,0.287592939976942,0,0,0.265733076843908,0,0,0,0,0,0,0,0,0,0,0,0,-0.0898239681131412,0,0,0,0,0,0.0106904331849009,0,0,0,0,0,0,0,0,0,0.0878436077285299,0,0,0,0,0.118142147492345,0.380980259197347,0,0,0,0,0.103043023496051,-0.0606261401324185,0,0,0,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0.0465330562522551,0,0,0,0,0,0,0,0,0.0309405111969536,0,0,0,0.0411506886773704,0,0,0,-0.0104285325254113,0,0,0,0,0,0,0.0428161266094039,0,0,0,0,0.0586116716376491,0,0,0.00716824419304967,-0.0311702423230978,0,0,0,0,-0.0212126681675526,0,-0.00326157538722821,0,0,0,0.0326630171601578,0,0,0,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0.118283527133642,-0.061144891980395,0,0.0175508462561716,0,0,0.0137260901385383,0,0,0,0.25790150042894,0,0.0461376496184915,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0426765989932375,0.0336375648571969,0,0,-0.0232258497812001,0,0,0.127330144182554,0.000810947648176467,0,0,0,0,0,0.0585053782243378,0,0,0,0,-0.0210872900402714,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,-0.151371112203827,-0.120822156580628,0,0,0.083708949647088,0,0.209559593928069,0,0,0,0,0,0,0.356597080827944,0,0,0,0,0,0,0,0,0,0,0,0,0.0283911438508609,0,0,0,0,0,0,0,0,0.0617838682305612,0,0.180060967095316,0,0,0,-0.116137286909038,0.00469820041342446,0.00844604792166004,0,0,0,0,0,0
X000878.SZ,0,0,0,0,0,0,0,0,0,0,0.150713358479825,0,0,0,0,0,0.646820968303258,0.0497489953552782,0,0,0.100599608663914,0,0.0873082011352989,0,0,0,0.0925659957340749,0,0,0,0,0,0,0,0,0.0796815013544432,-0.103194325148632,0.0141904285778367,0,0.0320352716551708,0,0,0,0,0.105438267143737,0,0,0,0,0,0,0,-0.00489753503688861,0,0,0,0,0,0
X600612.SH,0,0,0,0,0.0134777096671853,0,0,0,0.0336177270483453,0,0,-0.0760440492953385,0,0,0,0,0,0,0,0,0.183287725948038,0,0,-0.025980586440013,0,0,0.201725223844289,0,0,0,0,0,-0.00279768876631514,0,0,0,0,0,0,-0.0375511751005688,0,0,0,0,0.040454749128604,0,0,0,0.0586647398899948,0,0,-0.0257859717295817,-0.0129720120702695,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0.0814981198743388,0,-3.50176954219993e-05,0,0.00717965868555376,0.114519233008626,0,-0.0313552747459397,0,0,0,0,0,0,0,0,0,0,0,0.0865145344320515,0,0,0,0,-0.0504324795277353,0,0,0,-0.0870063948313626,0,0,0,-0.0405099809752122,0,0.122646074017453,0,0,0,0,0,0.0832717132076196,0,0,0,0,0,0,-0.0522185194058942,0.0174144227410275,0,0,0,0,0,0
Slope,0,0,0,0,0,0,-0.185390692244843,0,-0.542765380670853,0,0,0,0,0.22728399340349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0388113394606892,0,0,0,0,-0.0250201652921269,0,0,0,0.317930183202208,0,0,0,0,0,0,0.0225116081913168,0,0,0,0,-0.00757406249484593,0,0,0.757120106216083,0,0,0,-2.10235580352252,0,0
TED,0,0,0,0,0,0,0,0,0,0.098418221878163,0,-0.023848467763622,0,-0.160287308949903,0,0,0,0.340996226725498,0,0,0,-0.304180208967357,0,0,0,0,0,0,0,-0.130974649294184,0,0,-0.176970485854424,0.336892219813864,0,0,-0.078657701520459,-0.209113586991169,0,0,-0.257542185995708,0,0,0,0,0,-0.175472451736721,-0.0300299547153647,0,0,0,0.864087012522522,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,-0.0239740028506191,0.0136035900744319,0,0,0,0,-0.00372974387454166,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174106113537702,0,0,-0.0708776022281297,0,0,0,-0.00846768839401429,0.0788104618223246,-0.00619726055939433,-0.0490455440674064,0.0818459692487354,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0233472775694038,1.0842021724855e-19,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0.122053821925586,0,-0.0104736317006411,0,0,0,0.0487371203726993,0,0.0118604013894157,0,0,0,0,0,0,0,0,0,0.124081059162063,0,0,0,0,0,-0.0301644660466036,0,0.0778078333471909,0,0,0,0.0626775536974717,0,-0.115862774733966,0,0,0,0,0,0,0,-0.184083044821029,0,0,0,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0.00784182605818435,0.00264607563756541,0,0.00878293603177221,0,0,0,0,0,0,-0.00547426864039687,0,0,-0.00229903422511184,0,0,-0.00357862280459256,0,0,0,-0.000885835821737169,0,-0.00116716084263885,-0.00220645269671683,0,-0.00378282712319304,0.0102621702558344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00359159652342715,0.0014522437654714,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,-0.0684528683924961,0,0,0,0,0,0,0.0271281071741043,0,0,-0.0492486136539627,0,0,0,0,0,0,0,0.0914296294729807,0,0,0,-0.0989387082305966,0.0952817254532762,-0.166074653550292,0,0,0,0,-0.00695434192583851,0.0149201426030934,0,0,0,0,0,0,0,0,0,0,-0.0181850503756963,0.0368733196573711,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,-0.000319172811832176,0,0,0,-0.0029348245860786,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00456986358740945,0,0,0,-0.00302432496593617,0,0,0,0,0,0,0,0,0,0,0.0027472199390953,0,0,0,0,0,0.0171087885288261,-0.00526424042030977,0.0207371019833085,0,0,0,0,0,0
