,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X002466.SZ,X000792.SZ,X600019.SH,X600010.SH,X600660.SH,X000301.SZ,X600188.SH,X000877.SZ,X000708.SZ,X002271.SZ,X600011.SH,X601600.SH,X600547.SH,X601898.SH,X600362.SH,X600176.SH,X600886.SH,X600426.SH,X002080.SZ,X000723.SZ,X600803.SH,X600219.SH,X000408.SZ,X002326.SZ,X300037.SZ,X600688.SH,X300073.SZ,X600399.SH,X000786.SZ,X601991.SH,X000825.SZ,X600795.SH,X600141.SH,X600516.SH,X600096.SH,X000831.SZ,X600352.SH,X600489.SH,X000959.SZ,X600157.SH,X600295.SH,X002409.SZ,X000155.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300073.SZ,0,0,0,0,0.358576778440922,0,0.0437203791960592,0,0,0,0,0,0.124036757053787,-0.187881846978953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0917595400340194,0,0,0,0.0728423939980936,0,0,0,0,0,0.0348321968122713,0,0,0,0.0498874273475834,0,0,0,0,-0.062784076854556,0,-0.0433617271244159,0,0,0.0129316685667942,0,0,0,0,0,0
X600399.SH,0,0,0,0,0.156314634681548,0,0.197116160987616,0,0,0,0,0,0,0,0,0,0,0.0545468256826717,-0.00785805988554081,-0.101793988755298,0,0,0,0,0,0,0,0.0904074716469851,-0.139219635847403,0,1.73472347597681e-18,0.0881227614191786,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.0620945234969183,0,0,0,0,0,0,-0.0812050115241644,0,0,0,0.0247372994942529,0,0
X000786.SZ,0,0,0,0,0,0.253641314514082,-0.0822136307443878,0,0,0,0,0,0,0,0,0,0.292505823031885,0,0,0,0.048605361848195,0.198482906231619,0.216212312164026,0,0,0,-0.0726928533431615,0,0,0,0,0,0,0,0,0,-0.0337972207009294,0,0,-0.164969375665608,-0.0198447699654565,0,0,0,0,0,0,0.124600567991488,0,0,0,-0.0307625356070995,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0684363028327617,0,-0.032379688394538,0,0,0.0864626517255604,0,0,0,0,0,0.0241163272484932,0,0.0214408558593388,0,0,0,0,0,0.0134680221941959,0,0,0,0,0,0,0.57427895035478,0,0,0,0,0,0,0,0,0.0150227768084718,0,0,0,-0.000251474206907231,0,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0.182437353434583,0,0,0,0,0,0,0,0.0386499181450056,0.0425253043282706,0,0.0683569802617933,0.314701302845674,0,0.00821370474555628,0,0,0,0,0.125990833465904,0,0,0.229113581635586,0,0,0,0.0742240510871512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0592355768797954,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.00783948459716858,0,0.242532792971839,0,0,0,0,0,0,0,0,0,0,0.136689482226022,0,0,0,0,0,0,0,0,0,0,0.359090996488195,0,0,0,0,0,0.153368205011488,0,0,0,0,0,0,0,0,-0.055939757627863,0,0,0,0,0,0,0
X600141.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.146752042564188,0,0,0,0,0,0,0,0,0,0,0,0,0.0654258443523179,0,0,0,0,0,0.0392686479198137,0,0.0901694038013346,0,0,0,0.108400480832636,0,0,0,0.431765219205783,0.177169018071961,0,0,0,0,0.175302691310754,0,0.100644086464468,0,0.0844068198260527,0,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0,0.137632853910717,0,0,0,0,0,0,0.128872589057594,0,-0.0924893344814071,0,0,0,0,0,0,0,0,0,0,0.274481752429138,0,0,0,0,0,0,0,0,0,0,0,0,0.0480130788468246,-0.0516407205657632,0,0,0,0,0.0678844894015304,0,0.185668798728635,0,0.0268119395375768,0,0,0,0,0,0,0
X600096.SH,0,0,0,0,-0.0730352698399596,0,0,0,0,0,0,0,0.25245722313763,0.199191452924097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12631345138604,-0.0223610546526704,0,0,0,0,0,0,0,0,0.395317087952824,-0.0114553913981211,0,0,0,0,0,0,0.0284602679130435,0,0.0107715363993717,0,0,0,0,0,0,-0.0949687140149317,0,0
X000831.SZ,0,0,0,0,0,0,0.452247158161723,4.33680868994202e-19,0,0,0,0,0,0.0407019874255547,0,0,0,0,0,0,0,0,0,0,0,0.00825819694041277,0,0,0,0.0659280574626709,0,0,0,0,0,0,0,0,0,0.083777953450151,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.155007646411398,0,0.00301570543920344,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0.380805036622701,0,0,0.0318569822802195,0,0,0,0,0.0123037975165843,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.180385467905924,0,0,0,0,0.0387969842986602,0.110768934336036,0,0,0,0,0,0,0,0,0,0,0.0862042773286235,0,-0.0370799388653443,0,0,0,0,0.0414175950846409,0,0,0,0,-0.017428436648728,0,0,0,0,0,0
X600489.SH,0,0,0,0,0.0218434160045324,0,0,0.00201810692362322,0,0.00120676936462206,0,0,0,0,0.0322191351961842,0,0,0,0.00558410919383947,0.231132381129138,0,0.0683410502585365,0,0,0,0,0.0667279409204584,0,0.128936328460655,0,0.0134088572516993,0,0,0,0,0.144553910841182,0,0,0,-0.0783796495964691,0,0,0,0,0,0,0,0,0,0,0,0,0.00986473619175676,0,0,0,0,0,0
X000959.SZ,0,0,0,0,-0.0900596995578958,0,-1.38777878078145e-17,0,0,0,0.167731065300294,0,0,0.125526470124249,0,0,0,0,0.0868966156984831,0,0,0,0,0.0872064104870643,0,0,0.00972785169061232,0,0.286301533267701,0,0,0,0,0,0,0,0,0.0291044696918809,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.00079150111888,0,0,0,0,0,0
X600157.SH,0,0.280606988449702,0,0,0,0,0,-0.0591283872789403,0,0,0,0,0,0.0140085830534747,0.133878949510198,0,0,0,0,0,0.0619965242775287,0.113895919324882,0,0,0,0,0,0.000385124337832434,0.208599347884739,0,0.147787391096693,0,0,0,0,0,0,0.0463638222485493,0,0,0,0,0,0,0,0,0,0,0,0.0717569637125663,0,0,-0.0514670880845303,0,0,0,0,0,0
