,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600362.SH,X600188.SH,X600886.SH,X600352.SH,X600795.SH,X600111.SH,X000723.SZ,X600801.SH,X601992.SH,X600027.SH,X000898.SZ,X600489.SH,X002271.SZ,X600176.SH,X600516.SH,X000709.SZ,X002460.SZ,X000786.SZ,X000629.SZ,X002466.SZ,X000883.SZ,X600299.SH,X600219.SH,X601158.SH,X600808.SH,X000553.SZ,X000630.SZ,X600583.SH,X600985.SH,X000027.SZ,X600426.SH,X601699.SH,X000401.SZ,X600339.SH,X600612.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601158.SH,0,0,0,-0.0224968696284433,0,-0.0382018451883813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192944175836877,0.0711138544155808,0,0.0326983268055582,-0.0368059045482231,0,0,0,0,0,0,0.0779429371738534,0,0.073107339255914,0,0,0,0,0,0.174129940551739,0,0,0,0,0,0,0,0,0,0,-0.00183894276201763,0,0,0,0.000690090468233951,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109052959240222,0,0,0,0.127321032823306,0.0415964299878792,0,0,0.156448251630889,0,0,-0.0527422777472495,0,0,0,0,0,0,0,0,0,0,0,0,-0.0339760850633577,0,0.0918620980252873,0,0,-0.0640304854998917,0,0,0,0,0.978908975819786,0,-0.00685974792095069,-0.0486036370071936,0,0,0,-0.0128657145517573,0,0
X000553.SZ,0,0,0,0,0,0,0,0.28032070933898,0,0,0,0,0,0,0,0,0.229519128956754,0.137155765307077,0,0,0.0654427229826652,0,0,0,0,0,0.30689362683067,0.0772194454462527,0.194909759773036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0251193211461002,-0.0766896446425286,0,0,0,-0.0736335900476584,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452698416573712,0,0,0,0,0,0.0231369487910235,0,0,0.0376543921887846,0,0.0308778051158419,0,0,0.0720912762987963,0,0,0,0,0,0,0.0197294789447619,0,0,0,0.0241532786291956,0,0.107922026411655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0796239517226493,0,0,0,0,0,0,-0.0164388061273146,0,0,0.0435153663247057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328674601577516,0,0,0,0.0278189542796487,0.201217199062275,0,0.0367491286071425,0,0.1570798818363,0,0.00561421417504019,0,0,0,0,0.00361593633390619,0,0
X600985.SH,0,0,0,0,0.0611353581882769,0,0,0,8.67361737988404e-19,0.0913916389245138,0,0,0,0,0.0172911965163123,0,0.775363875909225,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.00961895758735377,0,4.33680868994202e-19,0,0.107511181080448,0,0,0.107269208427703,0,0,0,0,0,0,0,0,0,0,0.100606748175859,0,0,0,0,0.129925784844272,-0.0582846442171942,0,0.43644154206169,0,0.0773084401417506,0,0
X000027.SZ,0,0,0,0,0,0.0275948976590114,0,0.0425681534901957,0,0,0,0,0.0811811976947617,0,0,0,0,0,0,-0.00764681569474921,0,0,0.0654742360763664,0,0,0,0.00982280159258906,0,0,0,-8.67361737988404e-19,0,0,0.0338520261928891,0,0.105128539166286,0,0,0,0,0.0518796757886381,0,0,0,0,0,0,0,0,0,0,-0.00247706750504633,0,0,0,0,0,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445895941161306,0,0.189456624816871,0,0.116360638818555,0,-0.182549095469614,0,0,0,0,0.319674229576255,0.233646244380655,0.187173997030219,0,0,0,0,0,0,0.0364689071897224,0,0,0,0,0,0,0,0,0,0,0,-0.00279679513830202,0,0,-0.146150269628858,0.0364234366746583,0,0,0,0,0.0366855734358332,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.195384710856329,0,0,0,0.0440493999858312,0,0,0,0,0,0,0,0.000411764511122016,0,0,0.0148366597829286,0.0282687323596342,0,0.190890259247367,0.0283250270234533,0,0.209116547055365,0,0,0,0,0.0109591722400938,0,0,0,0,0,0,0,0,0
X000401.SZ,0,0,0,0,0,0,0,-0.0527910968356785,0,0,0.418419896951368,0,0,0,0,0,0,-0.071347613463001,0,0.0564551759277737,0.0701440905252059,0.198196567291954,0.201237587228802,0,0,0,0.192919104006564,0,0,0,0,0.353635859559803,0,0,0,-0.0232534752651356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0133966296780635,0.0463602206907952,0,0,0,0.0225234611156561,0,0
