,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600019.SH,X600585.SH,X600188.SH,X600547.SH,X601898.SH,X002460.SZ,X601600.SH,X002466.SZ,X000792.SZ,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X002271.SZ,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600176.SH,X600027.SH,X600803.SH,X601991.SH,X000807.SZ,X600489.SH,X601699.SH,X000983.SZ,X000786.SZ,X600160.SH,X000932.SZ,X000630.SZ,X000408.SZ,X000539.SZ,X300037.SZ,X600219.SH,X000629.SZ,X002080.SZ,X600688.SH,X000723.SZ,X600995.SH,X000933.SZ,X600157.SH,X600612.SH,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000877.SZ,0,0,0,0,0,0.330187861964333,0,-0.00686109047384227,0,0,0,0,0,0,0,0,0,0,0,0,0.0703868395383292,0,-0.0740499204669953,0,0,0.0704524010613437,0,0,0.0483214888511435,0,0,0,0.0222358616669521,0,0,0,0,0,0,0,0,0,0,0,0.0434429553100314,0.186443147691186,0,0,-0.00655809089448644,0,0,0,0.0200604483928731,0.122099941357036,0,0,0,0,0
X600426.SH,0,0,0,0,0,0.102795911573479,0,0.281536436899955,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,-0.00308585858218552,0,0,0,0,0.0175949845186227,0,0,0,0,0,0,0,0.120334155768455,0,0,0,0.0743797070363968,0.133229589681442,0,0.344474452663453,0,0,0,0,0,0.0704292343377794,0,0,0,0.0807470833358194,0,0,0,0,0,0,0
X600362.SH,0,0.114445860879151,0,0,0,0,0,0,0.0507193510356195,0,0,0.142624984336433,0,0,0,0,0,0,0,0,0,0,0.0267789932098255,0,0,0,0.0221508626011151,0.0540698968353674,0,0.0137020047964353,0,0,0,0,-0.0257928446834176,0,0,0,0,0,0,0.084574072312053,0.0485769556396147,0,0.0857465609532228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0.0361133087246022,0,0,0.271496047790214,0,0,0.0940325058839259,0,0,0.0335923887100239,0.0306286612975594,0,0,0,0,0,0,0,0,-0.00392868647524338,0,0,0,0,0,0,0.0545739901505008,0,0,0,0,0,0,-0.00671995518260573,0,0,0,0.031959701219648,0,0,0,0,0,0,0.222246816636309,0,0,0,0,0,0.019389390427713,-0.0205547639745726,0,0,0,0,0,0
X600176.SH,0,0,0.181324117702336,0,-0.152682606339328,0,0.0644645129900831,-0.163992948173726,0,0,0,0,0,0,0,0,0,0,0,0,0.0887455346018846,0,0,0,0,0,-0.029573826035267,0.250065377079882,0.241779537449261,1.73472347597681e-18,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0498585319701569,0,0,0.0315306283169924,-0.0850935129904658,0,-0.0980164723226339,0,0,0,0
X600027.SH,0.169900374165801,0,0,0,0.815575534117406,0,0,-0.0120867397554074,0,0,0,0.0175812961158171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225250759275625,0,0.133417069913548,0,0,0,0,0,0,0,0.0620362138681712,0,0,0,0,0,-0.106411262867317,0,0.143535698539504,0,0.223084829444732,0,0,0.00281880171126223,0.0423326763266067,0,0,0,0,0,0
X600803.SH,0,0,0,0,0,0,0,0.0485909686185642,0.244074045595089,0.0623510341032255,0,0.0404582746343443,0,0,0,0.634735195109399,0,0,0.0670681568728188,0,0,0,0,0,0,0,0.0106078620822545,0,0,0,0,0.0714538119744514,0,0.15268101560716,0,0,0,0,0,0,0,0,0,0,0,0,0.0874818188294,0,0,0,0,-0.0234026125744901,-0.066187070866322,-0.217544850371028,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241927060721318,0,0,0,0,0.329251186845217,0,0,0,0.096048731364397,-0.0115858110875221,0,0,0,0,0,0,0.173498468098089,0,0,-0.300093415239782,0,0,0.0547123325464322,0,0,0.0169830063003389,0,-0.106386749110379,0,-0.0253263552321316,0,0,0,0,0,0,0
X000807.SZ,0,0,0,-0.01855559906498,-0.3454987513051,0,0,0,0,0,0,0.366945349708539,0,0,0,0,0,0.0141734562763988,0,0,-0.044399827608712,0,0,0,0,0,0,0,0,0,0,0,-0.0872427881325666,0,0,0,0.311154420154859,0,0.0661095457003733,0,0,0,0,0,0,0,0.301879676197193,0,0,0.152239833797657,0,2.16840434497101e-19,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0.653242214782778,0,0.0151903444104879,0.0681625019081803,0.0361236861770879,0,0,0,0,0,0,0.0542123454937939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687101114449567,0,0,0,0.0688573708044961,0,0,0,0,0,0.0582967538937897,0,0.0333544214286094,0,0,0,0,0,-0.00842231541403029,0,0,0,0,0,0
