,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002466.SZ,X002460.SZ,X600585.SH,X600188.SH,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X002271.SZ,X600111.SH,X600660.SH,X000877.SZ,X000301.SZ,X600010.SH,X000708.SZ,X600886.SH,X600547.SH,X600795.SH,X601600.SH,X600176.SH,X600362.SH,X000408.SZ,X600426.SH,X600096.SH,X000786.SZ,X601991.SH,X300073.SZ,X000629.SZ,X600803.SH,X000983.SZ,X600027.SH,X000723.SZ,X002080.SZ,X600141.SH,X601699.SH,X600219.SH,X600801.SH,X002192.SZ,X600157.SH,X600486.SH,X000959.SZ,X000883.SZ,X600160.SH,X600399.SH,X002353.SZ,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600160.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29624969439439,0,0,0,0,0,0.0452892683120248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209996825415423,0,0.261123514189856,0,0,0,0,0,0,0,0,0.0316617749456852,0,0,0,0.0423000480808249,0.0359162664860047,0,0,0,0,0,0
X600399.SH,0,0,0,0.0230305790665726,0,0,0,0,0,0,-0.13650950838401,0,0,0.06504463574636,0,0,0,-0.0417355779531563,0,0,0,0.105367499998542,0,0,0,0,0.404668294093056,0,0,0,0,0,0,0,0.0207218143696906,0,0.0484375268439282,0,0,0,0,0.0272925779612465,0,0.0439156082894032,0,0,0.34911203765211,0,0,0,0,0,-0.0223294082466046,0,0,0,0,0,0
X002353.SZ,0.707753087973576,0,0,0,0,-0.0864616906625522,0,0,0,0.0156043548917639,0.057229445231412,0,0,0,0,0,0,0,0,0,0,0,-0.037393478881555,0,0,0,0,0.0732394709451429,0,0,-0.0139569104390209,0,0,0,0,0,0,0,0,0,0,0.107163674432658,0,0.0623406691426342,0,0,0,0,0,-0.0304275869500634,0,0.0256767567186174,-0.0837306418253211,0,0,0,0,0,0
X300037.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0413730455868184,0,0,0,0,0.0302549687857214,0,0,0,0,0,0,0,0,0,0,0.134708789519354,0,0,0.0182651048062413,0.0100589113066815,0,0,0,0,0.358792993697677,0,0,0,0,0.0607919139323239,0,0,0,0,0,0.120805526610047,0,0,0,-0.00888840229892235,0,0,0,0,0.0419803682639294,0,0
Change_TY3M,0,0,0,0,0,0,0,0.129075261013101,0,0,0,0,0,0,0,0,0.115999238545954,-0.12921376904024,0,0,0,0,0,0,0,0,-0.0249869955768603,-0.225375086764263,0,0,0,-0.0484960995430299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104884087093624,-0.100887621220207,-0.10340462762048,0,0,-0.0598462383150285,0,0
Slope,0,0,0,0,0,0,0,0,0,0,-0.0773714858146373,0,0,0,-0.939266476534251,0,0,0,0,0,0,0,0,0,0,0,0.268684058854892,0,0,0,0,0.384976881489405,0,-0.354916180198873,0,0,0,0,-0.561407286678799,0,0,0,0,-0.285458511028515,0,0.733597807719855,0,0,0.582812103252956,0,-0.314992430780926,0,0.16930618625472,0,0,0,-1.10637901973501,0,0
TED,0,0,0,0,0,0,0,0,0.0303892024388086,0,0,0.102100404157369,0,-0.119840380470986,-0.234608659420997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217690847993334,0,0,0.093164696958456,0.147341074581212,0,0,0,0,0,0,-0.114990004788346,0,0,0,0,0,-0.0946684231124033,0,0,-0.171682927827019,0.230321582299958,0,0,0,0,0.349881221950042,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0.0136852764072443,0,0,0,0,-0.0867516174540984,0,0,0,0.0116777336217982,0,0,0,0,0,0,0.0688200755066436,0,0.0546851466804403,0,0,0,0,0,0.0940908920731121,0,0,0,0,0,0,0,0,0,0,0,0.0660769107476106,0,0,0.0456757010920638,0,0,0,0,-0.0195177016538645,0,0
MKreturn,0,0,0,0,0,0,0,0.0783682300976057,0,0,0,-0.0202898595505785,-0.0227213457379199,0,-0.0818541746658425,0,0.151781393782338,0,0,0,0,0,0,0,0,0.004518687317198,0,0,0,0,0,0.0246680718770827,0,0,0,0,0,0,0.0106380786173974,0,0,0.0141094589059395,0,-0.212059127277863,0,0,0,0,-0.119354535621364,0,0,0.0400722715228247,0,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,-0.000923809726668788,0,0,0,0,0,0.00323875983252208,0,0,0.00156141972255645,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000788882627984579,0,0.000125843680569808,0,0,0,0,0,0.000329979404433234,0,0,0,0.00809329673199772,-0.00851584616797707,0,0,0,0.0163757641488203,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091878198843601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.53340465402575,0.4962785966438,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105620855676673,0,0,0,-0.00546939070426907,-0.00349203568225217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00620266155924191,0,0,0,0,0,0,0,-0.0151358918756659,0,0,-0.00764362320629412,-0.00857120219456261,0,0,-0.0565108540546244,0.0397387879516116,0,0,0,0.00820766066654012,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0.00108092693733452,0,0,0,0,0,0,0,0,0,-0.0104290417402348,-0.01662426479888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041365811208913,0,0,-0.00350408498755085,0,0,0,0,0,0,0,0,0,0,-0.00465567747763346,-0.0181284255211308,0,-0.00645955987824917,-0.042900278610905,0.0338735574888182,0,0,0,0,0,0
