,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600660.SH,X600688.SH,X601991.SH,X600547.SH,X601600.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X000898.SZ,X600027.SH,X601992.SH,X002466.SZ,X600111.SH,X000629.SZ,X600176.SH,X600516.SH,X000709.SZ,X600808.SH,X600299.SH,X002460.SZ,X600352.SH,X600801.SH,X000825.SZ,X002110.SZ,X300072.SZ,X600426.SH,X600339.SH,X600583.SH,X600489.SH,X000786.SZ,X601158.SH,X000553.SZ,X600219.SH,X601699.SH,X000883.SZ,X000932.SZ,X000408.SZ,X000301.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600801.SH,0,0,0,0.129521801914672,0,0.00242774178777774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0564189674238877,0,0.0954912952501714,0.00664431807963673,0,0,0.207658261481471,-0.0920423952963773,0,0,0,0,0.0967535687712923,0,0.430729169703715,0,0,0,0.427827180962074,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0124015724571085,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0.0640464954349711,0,0,0.321580958490639,0,-0.0866193495204547,0.897982681259844,0,0,0.124426433581103,0,0,0.0202183066034584,0,0,0,0,0.107290793524259,0,0,0,0,0,0.0803674224588154,0,0,0,0,0,0,0,0,0,-0.0850311771236075,0,0,0,0,0,0,0.433019444622513,0,0,-0.0362787997264904,6.93889390390723e-18,0,0,0,0,0,0
X002110.SZ,0,0,0,0,0.349283058955784,0,-0.0701300056581322,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-0.0128651121798658,0,0.226529516687495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505032125293203,0,0,0,0.0128261498720922,-0.0159511414471088,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,-0.0982162365871502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467686315524028,0.396291579317595,-0.556656100327653,0,0,0.751946807965044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.487808738713269,0.134920701169655,0,-0.368422851589353,-0.0847912701884456,0,0,0,0,0,0,0
X600426.SH,0,-0.0989338496610665,0,0,0,0,0.434678383329269,-0.103904137969497,0,0,0,0,0,-0.0896231749342424,0,0,0,0,0,0,0,0,0,0,0.327905729578445,0,-0.0431419301595113,0.30659378573976,0,0,0,0.0553676352680867,0,0,0.082736438376184,0,0,0,0,0.131322022111003,0,-0.0892465632715228,0,0,0,0.0816610253561531,0,0.0514513977065006,0,0.0110073722177836,0.0318782525663121,0,0,0,0,0,0
X600339.SH,0.291088326349593,0.163239225253576,0,0,0,0,-0.0547890588865216,0,0,0,0,0,0.0747284248415463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0568417767247056,0,0,0,0,0,0.0398286662907355,0,0,0.705248831738757,0,0,0,0,0,0,0,0,-0.113728995089999,0.0753511860966447,0,-0.0319878373298713,-0.0384138340639135,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0.132519255059179,0,0,0,0.117976107343553,0.122786982925723,0,0,0,0,0,0,0,0,0,0,-0.106264615869166,0,0,0,0,0.0331715397929394,0,0,0,0,0,0,0,0.482698910367168,0,0,0,0,0,0.373510535790595,0,0,-0.0650709934077862,0.0218036206274632,0,0,-0.00999748394232578,0,0,0,0,0,0,0
X600489.SH,0.0233381901113797,0,0,0,0,0,0,0,0.0630547577662325,0,0,0,0.390493972887598,0.0981201959087672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0617405653370887,0,0,0,0,0.13966722620016,0,0,0,0,0,0,0,0,0,0,0.0485513119749645,0,-0.00717462600465077,0,0,0,0,0,0,0
X000786.SZ,0,0,0,0.254317718341864,0,0,0.0644032308765741,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581075178496116,0,0.112717566024017,0,0,0,-0.0766402523274166,0,0,0.0232103185458217,0.683849365940066,0,0,0,0,0.132100969989588,0,0,0,0,0,0.000709460225188949,0,-0.106046931970774,0,0,0,0,0,-0.0311445526511885,-0.0643925435607741,0,0,0,0,0,0
X601158.SH,0.128632190603297,0,0.0457134478437405,0,0,-1.0842021724855e-19,0,0,0.00131801415743761,0.0210776248918647,0,0,0,0.015143385029899,0,0,0,0,0,0,0,0.168687511465346,0,0,0,0,0,0,0,0,0.0417884327536459,0.0320110324330774,0,0,0.0314324418742198,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,-0.00762050762077892,-0.0127272785898525,0,0,0,0,0,0
X000553.SZ,0,0,0,0,0,0.0105567273459779,0,0,0,0,0,0.16522835073133,0,0.00476391685042685,0,0,0,0,0,0,0,0.205243601069395,0,0,0,0.0642744030834831,0,0,0,0,0,8.67361737988404e-19,0,0,0.0761718620284776,0.544086447378447,0,0,0,0.0474702304443093,0,0,0,0,0,0,-0.0685693232501048,-8.67361737988404e-19,-0.0338273882089649,-0.0496550518622162,-0.0726313831735843,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0.159434936435857,0.128323122795428,0,0,0,0,0,0.178567433117245,0,0,0,0,0,0,0,0.0642231526490652,0,0,0,0,0.0524668545038083,0,0,0,0,-0.0286865050476804,0,0,0.042474028249594,0,0,0.106361898085235,0,0,0,0,0,0.162063667608226,0,0,0.0430706399119107,-0.151002581401328,0,0.017766776357855,0,0,0,0,0,0,0
X601699.SH,0,0,0.143993703431558,0,0.0408418097062728,0,0,0,0.0189856127781143,0,0,0,0,0,0.335927407205197,0,0,0,0,0,0.00213858919223757,0,0,0.119170867090599,0,0,0.0997167090892518,0.0532565659609658,0,0.0265648798611339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00728323825464477,0,0,0.00335770887234636,-0.0334396583400643,0,0,0,0,0,0
X000883.SZ,0,0,0.0336216200472678,0,0,0,0,0,0.0458123051476653,0,0,0,0,0,0,0,0,0.112018551969361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0917075931210366,0,0.184611101468961,0,0,0,0.0933642147971421,0,0,0,0,0,0,0,-0.0185339446347082,0.00540754928452737,0,0,0,0,0,0
X000932.SZ,8.67361737988404e-19,0,0,0,0,0,0.040865329632193,0.023970557191677,0,0,0,0,0,0,0.138125890845722,0,0,0,0.0762831952599499,0,0,0,0,0.0260514976913086,0,0.0524111445450232,0,0.174711016400715,0,0,0,0,-0.00190892576655663,0.56737597242085,-0.0448429610129916,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,-0.014531098024875,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0.487690236496489,0,0.223160464885666,-0.434907358967969,-0.1246295111559,0,0.192453259022111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113049024599751,0,0.265531236869247,0,0,0.203785679844476,0,0,0.00500201182753491,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,-0.0267325606134984,0,0,0,0,0,0
X000301.SZ,0.156863095240808,0,0,0,0,0,0,0,0.268062255529015,0,0,0.155393578368405,0,0,0.0345065169767573,0,0,0,0.243636700638856,0.0730838360987513,0,0,0,0,-0.0167792317215319,0,0,0,0,0,0,0,0,-0.0522146058719719,0,0,0.210357260556341,0,0.128091633501341,0,0,0,0,0,0,0,0.0587761046493973,0,0,-0.0169157103691268,0,0,0,0,0,0,0
Change_TY3M,-0.312484944828224,0,0,0,0,0.0596666255020269,-6.93889390390723e-18,0,0,0.0126977169510435,0,0.145372136149266,0,0,-0.358759629962564,0,0,0,0,0,0,0.0239176878044937,0,0,0.358258328495588,-0.0901024249646215,0,0,0,0.172219287246712,0,0.072834704956245,0,0,-0.48008599953325,0,0,0,-0.15791204056733,0,0,0,0,0,0,0,0,0,0,-0.0759666807067737,-0.111324952158484,0,0.223628615379266,0,0.28840411354057,0.203705035575477,0
Slope,0,0,0,0,0,-0.670983640931824,0.785922971098958,0,-0.523496916969332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.230312667130849,-1.57773728636819,1.9963052809683,0,0,0,0,0,0,0,-0.448425627798485,1.93954075514427,0,0,0,0,0,0,0,0,-2.34545278231241,-0.786523973910859,0,0,-2.5390095918734,0,-1.06750104816164,0,0,0,1.60499685499233,0,0
TED,0,0,0,0,0,0.214030194585505,0,0,0,0,0,0,0,0,0,0,0,0,0.789239887506724,0,0,0,0,-0.0984950422636044,0,0,0,0.271495943200206,0,0,-0.710614829030889,0,0,0,-0.028685246936197,0,0,0,0,0,0,0,0,0,0,0,-0.336055922539639,0,-0.929188417156725,0,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0.0373523842092735,-0.0851129537676422,-0.0393842620315012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126347994079595,0,0,0.0091314437342993,0,0,0.0702309614370935,0,-0.077943531964359,0,0,0.0786441848141468,-0.0979927859307653,0,0,0,0.0812490110656797,0,0,-0.0500689755431149,-0.0582810047122047,0,0,0,0,0,0.00885278950977836,-0.000964766621658026,0,0,0,0,-0.0450841000421425,0
MKreturn,0,0,0,-0.132064222910251,0,0,0.144342385107654,0,0,0,0,0,0,0,0,0,0,0,-0.0486576266326405,0,0.241352337021489,0,0,0,0,0,-0.0600324171984938,0,0,0,0,-0.0104748559925411,-0.279143225892826,0,0,0,0,0,-0.0905725101305881,0.122654841431459,0,0,0,0,0,0,0,-0.125770136485735,0.073151789864859,-0.0375838332908119,-0.0254044959153491,0,0,0,0,0,0
MKvol,0,0.00182472229418252,0,0,0,0.00486829648753833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000138182286191441,0,0,0,0,0,-0.00151999183730333,0,-0.00157777916716223,0.00212551408163206,-6.92188619221843e-05,0,-0.000616304785004814,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118390759976245,0,0,0,0,0.0211820277490484,0,0
CarbonVol_Shenzhen,0,0,0,0,0,-0.0160090985836226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183096010716464,-0.0181557295709589,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00441357284696316,-0.00369259288448396,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.58678759735667e-05,0,0,0,0,0,0.00379683383666857,0,-0.00153461767856757,0,-0.00363125229600321,0,0,0,0,0,0.00262553778904326,0.00279024858235501,0,-0.00136999393987423,0,0,0,0,0,0,0,-0.0030974315124043,0,0,0,0.00579393964716707,-0.0051820354921983,0,0,0,0.0301217071038486,0.0709205899621594,0
