,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600547.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X600352.SH,X600362.SH,X600188.SH,X600795.SH,X600111.SH,X600801.SH,X000723.SZ,X601992.SH,X600027.SH,X000898.SZ,X002271.SZ,X600489.SH,X600176.SH,X600516.SH,X002460.SZ,X000709.SZ,X002466.SZ,X000786.SZ,X000629.SZ,X600299.SH,X000883.SZ,X601158.SH,X600219.SH,X600808.SH,X000553.SZ,X000630.SZ,X000401.SZ,X600985.SH,X601699.SH,X000027.SZ,X600583.SH,X600426.SH,X600339.SH,X000825.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000027.SZ,0,0,0,0,0,0,0.0212384729039402,0,0,0,0,0.0718345340551334,0,0,0,0,0,0,0,-0.00191037632469806,0,0,0,0,0,0.0103723585890662,0,0,0,0,0,0.0616081607574796,0,0,0.107756098434632,0,0,0,0,0.0127195088151273,0,0,0,0,0,0,0.0514154055488184,0,0,0,0,4.33680868994202e-19,-0.00848860157880408,0,0,0,0.00490260345125554,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0757917095928165,0,0,0.0293013216381351,0,0,0,0,0,0,0,0,0,0,0.128337684506778,0,0,0,0,0,0.153946333389552,0,0,0.0558860151057093,0,0,0.133557401437008,0.0838455376224723,0,0,0,0.000582005490625584,0,0,0,0,0.0132459880731409,0,0
X600426.SH,0,0,0,0,0,0.0225507983161436,0,0,0,0.0951668448862283,0,0,0,0,0,0.136714541216266,0,0.497428032183836,0,0.0542983931554111,-0.0597778439511206,0,0,0,0,0.111766323819213,0,0.0471626814591729,0.153087604279276,0,0,0,0,0,0.117561826603713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.323325082615178,0.0442930012267,0,0,0,0,0.0460064907448661,0,0
X600339.SH,0,0,0,0,0,0.059329375849317,0,0,0.00882035074795861,0,0,0,0,0,0,0.0479648463047076,0,0,0,0,0,0,0,0,0,0,0,0,0.0066032193556413,0.26500152492056,0,0,0,0,0,0.242389660683876,0,0,0,0,0,0.189652206369696,0.00136571822119005,0,0,0.126984316084116,0,0,0,0,0,0.00412783804897665,0,0,0,0,0.0294223099443382,0,0
X000825.SZ,0,0,0,0,0,0,0.0186079551587508,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0855800879049589,-0.0327475849496368,0,0.111160947981192,0,0,0,0,0,0,0,0.179009679579407,0,0,0,0.137105864682984,0,0,0.113806596880139,0.0977581342793993,0,0,0,0,0,0.197682185173457,0.0712228908989116,0,0,0,0.163618517138778,0,0.0219627035558468,0,0,0,0.032128171850722,0,0
X600612.SH,0,0,0,0,0,0.398324769098736,0.108445221396369,0,0,0,0,0,0,0,0,-0.00633629357930283,0,0,0,-0.0100247562854401,0,0,0,0,0,0.0690466814596437,0.331262633443356,0,-0.119033513780488,0,-0.13853160135109,0,0,0,0.407765085939553,0,0,0,0,0,0,-0.0152727421266595,0,0,0,0,0,0,0,0,0.0514472618899339,0,0.0509107163747474,0,0,0,0.00720252621391491,0,0
Change_TY3M,0,0,0,0,0,0,-0.0623620686567799,0,0,-0.28640170382798,0,0,0,0,0,-0.0839233487773577,0,0.0177156692070648,0,0.135275534522154,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725391519831861,0,0,0,0,0,0,0,0,0,0,0,0.0905539107112198,0,0,0.0517172987036841,6.93889390390723e-18,0,-0.0117194797467541,-0.204686918189715,0,0,0,-0.0684168673962023,0,0
Slope,0,0,0,0,-0.157303974712424,0,0,0,0,0,0,0,0,0,0,-0.591911402435676,-0.0953007139584758,0,0,0,-0.257730405332416,0.114532067982828,0,0,0,0,0,0,0,0,0,0,0,0,0.226959343004993,0,0,0,0,-0.0978483046740128,-0.438704238853806,0,0,0,0,0,0,0,0,0,0,0,1.26879129044881,0,-1.18399116199259,0,-0.245082316711365,0,0
TED,0,0,0,0,0,0,-0.548992469264769,0,0,0,0,-0.241186719555854,0,0,0,0,0,0,0,0,0,-0.154982688254741,0,-0.113434058375898,0.28994707186311,0.322538184313495,0,0,-0.328794937825322,0,0,-0.154765950291473,0.419404787119684,0,0,0,0,0,0,0,0,0,0,0,0,0.0274617824436594,0.128853505647965,0,0,0.11808009259341,-0.198922648631435,0.0923627550902281,0,0,0,0,-0.262441075698524,0,0
RealEstate_excess,0,0,0,0,0,0,0,-6.93889390390723e-18,-0.0244972150891097,0,0,0,0,0.0221195951451089,0,0,0,0,0,0,0,-0.0424920505297108,0,0,0,0,0,0,0.10128588764704,-0.142301121238648,0,0,0,0,0,0,0,0,0,0,0,0.025959550017894,0.0467473090424619,0,-0.0401466991105625,0,-0.00364983732584373,-0.0580813335827559,0,0,0,-0.0219071472420806,0.021655665639617,0,0.296862333473849,0,0.0113573788555383,0,0
MKreturn,0,0,0,0,0,0,0.0236917390529073,-0.230409866026478,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0167613226996088,0,0,0,-0.169639771144348,-3.46944695195361e-18,0,0,0,0,0,0,-0.106729623970924,0,0,0,0,0,0.0971000183264852,0,0.0341827821410373,0.167011164411198,0,0,0,0,-3.46944695195361e-18,0,0.17510296011907,0,0.0239956335774841,0,0.469367925936184,0,0,0.0813610701208205,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000945497593819769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000923478471577777,0,0,0,0,0,0,0,0,0,-0.000429613201189788,0.000939372735873995,0,0,0,0.00123624900315594,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.250078641916702,0,0.155129857615297,0,0,0,0,0,0,0,-0.294837819537914,0,0,0,0,0,0,-0.736123541413605,0.118930428229195,0,0,0,0,0,0,0,0.0204749763268064,0,-0.29876481720455,-0.486301134590169,0,0,0,0,-7.20747780211045,0
