,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X601600.SH,X600585.SH,X600011.SH,X600547.SH,X600886.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X600362.SH,X002460.SZ,X600489.SH,X000708.SZ,X002466.SZ,X600803.SH,X600160.SH,X600027.SH,X000807.SZ,X000301.SZ,X601991.SH,X000786.SZ,X600219.SH,X600426.SH,X000983.SZ,X002128.SZ,X000408.SZ,X601699.SH,X000877.SZ,X600176.SH,X000630.SZ,X601168.SH,X000933.SZ,X600096.SH,X600985.SH,X002353.SZ,X600157.SH,X600378.SH,X002271.SZ,X600995.SH,X000831.SZ,X600352.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600378.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148383361400729,0,0.0163060184523158,0.150427988990077,0,0.0881210096436682,0,0.0456594588413584,0,0,0,0,-0.297028092540083,0,0,0,0,0.0481382475758519,0,0,0,0,0,0.128808618349524,0.228171830611838,0,0,0.0479083117646922,0,0,0.0611031453949101,0,0,0,0,0,0,0,0,0,-0.0544756500565696,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378207082256728,0,0,0,0,0,0,0,0.0750024637306201,0,0.147343351734572,0,0,0,0,0,0,0.427561471954738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208454275702387,-0.00206174233509792,0,-0.090056396288909,0,0,-0.160393983051156,0,0
X600995.SH,0,0,0,0.0248590689751052,0.122449034134074,0.0696206999863794,0,0,0,0,0,0,0,0,0,0,0,0,0.101936335923751,0,0,0,0.133352146754907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161116573266973,0,0,0,0,0,-0.0356774487858735,0.0844994672763087,0,0,0,0,0,0,-0.0495449969176408,0.0244143662214829,0,0,0,0,0,0
X000831.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740437013715889,0,0,0.227431593394195,0,0,0,-0.0143212574552089,0,0,-0.0542967724556146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.062879084184789,0,0,0,0,0,0,0,0,0.0222880525603554,-0.0724487051384367,0.0661079693012897,0,0,0,0.0432853103484536,0,0
X600352.SH,0,0,0,0,0.0222316777416771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770631343082473,0,0,0,1.73472347597681e-18,0.0505984688806758,0,0,0,0,0,0,0.11444667923456,0.134883431135844,0,0,0,0,0,0,-0.0223441169397889,-0.0649702656503033,0,0,0,-0.0146338427570045,0,0
X600688.SH,0,0,0.0336622176657921,0,0,0,0,0,0,0,0,0,0,0,0.0811909984452784,0,0,0,0,0,0,0.0448112126041015,0,0,0,0,0,0,0,0,0,0.100317874949498,0,0,-1.73472347597681e-18,0,0.277653740445062,0.0460912751615418,0,0.0135655864143215,0,0,0,0.00707305969691892,0,0,0,0,0,0,0,0,0.000516728512369473,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0554000305193968,0,0,0,0,-0.0993435390790994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0190317842037968,0,0,0,0.0805994346116533,-0.480596441493552,0.119737875071043,0,0,-0.0298653369340063,0,0
Slope,0,0,0,0,0,0,0,-0.146899653179144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00395300246976092,0,0,0,0,0,0,0,0,0,0,0,-0.697103478994936,0,0,0,0,0,0,0,0,0,0,0,0.583600949246533,0.521713547970934,0,0,1.18226370469774,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149118487757077,0,0,0,0,0,0,0.192923682539147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.177513385742063,0,0,0,0,0,0,-0.0382489959318376,0.435191082241133,0,0,0,0,-0.253243283437312,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0308515303494521,0,0,-0.0149688996298851,-0.143413407368445,0.307988775099587,0,0,0,-0.121198318259731,0,0,0,0.302947549453685,0,0,0,0,0,0,0,0,0,0,-0.108652631127838,-0.164495905706781,0,0,0.252330871414766,0,0,0.0661284917825924,0.0104921461306163,-0.0455667381559763,0,0.141515114864724,0,-0.124170881262445,0,0
MKreturn,0,0,-0.622856634997657,0,0,0,0,0.168026408064406,0,0,0,0,0,0,0,0.121885716024925,0,0,0,0,0,-0.100866287078873,0,0,0.0379216610124473,0,0,0,-0.0293285530808236,0,0,0,0,0,0,-0.0143125930396289,-0.0980462030049833,0,0,-0.0707465551201488,0,0,0,0.0113819280376262,0,0.124971699528051,0,0,0,0,-0.0995146785506376,0,-0.022895638497246,0.02129693530715,0,0,-0.10912857173293,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209519741694058,0,0,0.00866601986130869,-0.0160909043259737,0,-0.000863741363616768,0.0018374366591512,0,0,-0.00312930046750533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206696326642798,0,0,0,0,0,0,-0.00951901428142098,0.000711802261576066,-0.0021391649525453,0.0113037694464384,0,0,-0.0061892984766279,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00226511646271861,0,0,0,-0.00565996486509073,0,0,0.0038882050956282,0,0,0,1.0842021724855e-19,0,-0.00220527982143079,0,0,0,0,0,0,0,0,0,0,0.0161640903366359,0,0,0.0123470792305991,0,0,0,-0.0122474802824686,0.00938177524105453,-0.00825499395611865,0.00159300774208265,0.0201722096684322,0,-0.000761353468540558,0,0
