,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X601600.SH,X600585.SH,X600011.SH,X600547.SH,X600886.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X600362.SH,X002460.SZ,X600489.SH,X000708.SZ,X002466.SZ,X600803.SH,X600160.SH,X600027.SH,X000807.SZ,X000301.SZ,X601991.SH,X000786.SZ,X600219.SH,X600426.SH,X000983.SZ,X002128.SZ,X000408.SZ,X601699.SH,X000877.SZ,X600176.SH,X000630.SZ,X601168.SH,X000933.SZ,X600096.SH,X600985.SH,X002353.SZ,X600157.SH,X600378.SH,X002271.SZ,X600995.SH,X000831.SZ,X600352.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601699.SH,0,0,0,0,0,0,0.0945856771555709,0.0372985304956504,0,0,0,0,0,0,0,0,0,0,0,0.194188152888927,0.0598575342618184,0,0,0,-0.107399422187497,0,0.149602509022451,0,0,0,0,0.203870896878621,0.13919118506284,0,0,0,0,0,0.176886530845249,0,0,0,0.0368385677085069,0,0,0,0,0,0,0,0,-0.0106489108579319,0.00933491396631676,0,0,0,0,0,0
X000877.SZ,0,0.0424583252155496,0,0,0,0,0,0.0325005850978854,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0847192996069649,0,0.160341700562082,0,0,0.261274184154357,0,0,0.0479078948971695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151704481180211,0.516354317967884,0,0.310557385062231,0,0,-0.0502385607578321,-0.0150770082837668,-0.0372012896099739,0,0,0,0.0203995060016107,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323494493078672,0,0,0,0.00367928807433158,0,0,0,0,0,0.125096964074924,0,0.0575866515438817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0805834387613988,0.232285163140714,0,0,0,0,0.0866353130809834,0,-0.0184228837473632,-1.1357189842149e-05,0,0,0,4.33680868994202e-19,0,0
X000630.SZ,0,0,0,0.0119637264954697,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339788098342491,0,0,0.231511798472898,0,0,0,0,0,0,0.038456946034411,0,0,0,0,0,0,0,0,0.032778069626372,0,1.38777878078145e-17,0.178439318671478,0,0,0,0,0,0,0,0,0,0.0443761205615908,-0.0193542044536296,0,2.16840434497101e-19,0,0,0,-0.00982147985760118,0,0
X601168.SH,0,0,0,0,0.0709752378355699,0,0,0.0312939715962824,0,0,0,0,0,0,0,0,0,0.23753156788949,0,0.191518847353668,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206078895478534,0.073994213332006,0,0,0,0,0.164777670447784,0,0,0,0.0270432381117795,0.110750896257415,0,0,0.0180830806702938,0,0,0,0.0108142689755714,0.00367880605158831,0,0,0,0,0,0
X000933.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934930199267676,0,0,0,0,0,0,0,0,0,0.0581165177399569,0,0.285893705073773,0.14782723945004,0,0.00568281465574982,0,0,0,0,0,0.121092734432377,0,0,0,0.242690099937189,0,0,0,0,0,0,0,0,0.0696638703179262,0,0,0,0.0078399509364836,0,0,0,0,0,0,0
X600096.SH,0,0.00141875672962554,0,0,0,0,0.0448845305229631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152335053851634,0.0253708996776305,0,0,0,0,0,0,0,0,0.0875790292366798,0.131059110934855,0,0.119819017066436,0,0,0,0.0827240149398132,0,0,0,0,0.155156681185451,0,0,0,0,0,-0.034524671605463,0,-0.00120289338863183,0,0,0,0,0,0
X600985.SH,0,0,0,0,0.0953546300998401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244621340900917,0,0,0,0,0.107213338215345,0,0.0365510745481786,0,0.00343790209164146,0.0515601357528909,0,0.00159180712039794,0,0,0.0334167191770115,0.0273660032036897,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,-0.0277373547293358,0,0
X002353.SZ,0,0,0,0,0,0,0,0.349487043154141,0.00156989466455829,0,0,0,0,0,0,0,0,0,0,-0.0560102108738375,0,0,0,-0.0942597175117972,0,0,0,0,0,0,0.48731533595423,0,0,0,0,-0.0472669658696415,0,0,0,0,0,0.275267493435108,0,0,0,0,0,0,0,0,-0.0143132413841362,0.0178084004603398,0.0496055110383783,0,0,0,-0.0200556981875393,0,0
X600157.SH,0,0,0,0,0,0,0,0,0.125628663674242,0,0.0333258487990113,0.122270938430219,0,0,0.262678060189582,0,0,0,-0.0142499165661908,0.0779170567742187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687681531612124,0,0,0,0,0,0,0,0.132293520510909,0,0,0,0,0,-0.0894766206567958,0,0.0418851193503323,0,0,0,0.167662403560865,0,0
