,X600519.SH,X600104.SH,X000858.SZ,X000651.SZ,X002415.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X000568.SZ,X000338.SZ,X600031.SH,X600741.SH,X600703.SH,X300003.SZ,X600271.SH,X601877.SH,X300124.SZ,X000596.SZ,X600487.SH,X002008.SZ,X002236.SZ,X002456.SZ,X002007.SZ,X600809.SH,X000100.SZ,X600566.SH,X002179.SZ,X600867.SH,X600498.SH,X000661.SZ,X300146.SZ,X000625.SZ,X600066.SH,X002294.SZ,X600177.SH,X000157.SZ,X300136.SZ,X000977.SZ,X600089.SH,X002506.SZ,X002180.SZ,X002241.SZ,X600372.SH,X300142.SZ,X600522.SH,X000050.SZ,X000981.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600177.SH,0,0,0,0,-0.00702484832846058,0,0,0,0,0,0,0,0.1106353428027,-0.0515500778666706,0,0,0,0,0,0,0,0,0,0,0,0,0.010531865717777,0.174419739590546,0,0,0,0,0,0.0641133208399163,0.0265517608784389,0,0,0,0,0.0425890242260393,-0.0205648030145228,0,0,0,0.0133154689619164,0.00213537530087986,0,0.21467558159074,0.026976729412539,0,0,0,-0.0067161477575505,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0.0284324537536516,0,0,0,0,0,0,0,0,0,0,0,0.0309274320997011,0,0,0,0,0,0,0,0,0,0,0,0,0.00699385168614127,0,0.12305136705657,0,0,0,0,0.0780762530445695,0,0,0,0,0,0,0,0.370655024647719,0.0146114421229168,0,0,-0.0270609980772732,-0.0162290721226113,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0,0,0.0839597121632493,0,0,0,0,0,0.0263403893451212,0,0,0.0677960029761978,0,0,0,0,0.483325507009496,-0.182898315972997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157013978939575,0,0,0,0.555434129718504,0,0,0,0,0,0.0573817964394467,-0.0755424301593238,-0.0800873808011422,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0.341545829540915,0,0,0,0,0,0,0,0,0.72080416017081,0,0.0979490769727531,0,0,0,0,0,0,0,0,0,0,0,0,0.161209739932704,-0.0440531074003262,0,0,0,0,0,0,0,0,0,0,0,0,0.0462567133715436,0,-0.0447558280407859,0,-0.241449371680011,0,-0.00152796969686166,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0.240418114145327,0,0,0,0,0,0,0,0,0.00629939665689104,0,0,0,0,0,0,0,0,0.00554928940810421,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.145660303066491,0,0,0.0789795070223849,0.0646607717247804,0,0,0,0,0.00953741936044122,0,0,0,0,0,-0.0165060356597534,-0.023639001825096,0,0,0,0,0,0
X002506.SZ,0,0,0,0,-0.100230993416609,0,0,0.319614350945481,0,-0.0773878655223049,-0.0384599703741135,0.0267669818993921,0,0,0,-0.00822322166008652,0,0,0,0,0,0,0,-0.0238338262867567,0,0.10895644956458,0,0,0,0,-0.023704349134309,0.0739520198644845,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0405465555539034,0,0,0,0,0,0.0212460699697633,0.0213126539006582,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0,0.0537790332654637,0,0.228972428843733,0,0,0.198633947594832,0,0.00130671219541449,0,0,0,0,0,0.101746498896525,0,0,0,0,0,0,0,0.115450983328476,0.315729520578913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0339010573694492,-0.0208898061617416,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0313474852201328,0,0,0,0,0.172146489016351,0,0.0901234523024467,0,0,0,0.0097938114707755,0,0,0.11900135081688,0,0,0,0,0,0,0,0.154721753767392,0,0,0,0,0.16983716409834,0,0,0,0,0,0.0325871032846588,0,0,0,0,0,0,0.0193336311265225,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167807864045213,0.000462931275560012,0,0.0362092439224473,0.138924402008057,0,0,0.0999068399439799,0,0.00351139263964104,0,0,0,0,0,0,0.196994095957492,0,0,0,-0.00984445119698212,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347304096414438,0,0,0,0.0706617078504307,0.030859412448919,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.0848901578815551,0,0,0.0461958246387536,0,0,0,0.0555280845575553,0,0,0,0,0,0,0,0.156257655190275,0,0,0,0,0,0,0.503967213159261,0,0,0.0900078294648539,0,0,0,0,0,0,0,0,0,0,0,0,0.0923795232478913,0.0783025683141473,0,-0.0272994402983914,-0.105800358156498,0,0,0,-0.0766554012418055,-0.60972531480145,0
