,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X002304.SZ,X000858.SZ,X600031.SH,X600690.SH,X600276.SH,X000100.SZ,X600271.SH,X600118.SH,X002129.SZ,X600372.SH,X000338.SZ,X000157.SZ,X600703.SH,X600089.SH,X002241.SZ,X600741.SH,X600177.SH,X002236.SZ,X600582.SH,X600066.SH,X002292.SZ,X600060.SH,X300124.SZ,X000977.SZ,X000559.SZ,X002475.SZ,X002456.SZ,X000800.SZ,X601877.SH,X600435.SH,X002491.SZ,X002465.SZ,X600839.SH,X300003.SZ,X002294.SZ,X000581.SZ,X000623.SZ,X002007.SZ,X600867.SH,X000568.SZ,X000869.SZ,X300146.SZ,X002276.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600741.SH,0.132981010007848,0,0.191812331600167,0,0,0,0,0,0,0,0,0,0,0,-0.187212054560495,0.206374161473659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04957961118439,0,-0.00229541321428834,0.115505410815812,0,0,0,0,0,0,0,-0.123494990631368,0,0,-0.011751401810833,0,0,0,0,0,-0.00216188695976531,0.0475333816566409,0,0,0,0,0,0
X600177.SH,0.183148671682158,0,0,0,0,0,0.108701304780588,0,0,0,0,0,0,-0.0781219076325028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524054829252527,0,0.1028657933117,0,0,-0.0595149344039981,0,0,0,0,0,0,0,0.0532796673387659,0,0.0225257681890978,0,0,0,0,-0.0110969005350519,0.000703462755427991,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0.234345298178645,0,0,0.246411841563414,0,0,0,0,0,0,0,0.0871811370705846,0,0,0,-0.02384150669752,0,0.108485347141596,0,0,0.0262996378293761,0.113556070961509,0,0,-0.0597689777862263,0,0,0,0,0,0.0241192013285424,0.195421401899551,-0.0485227137871877,0,0,0,0,0,0.00501652504117509,0,0,-0.00168893143925446,0,0,0,0,0,0,0
X600582.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121734527895501,0,0,0,0.269074601954752,0,0,0,0,0,0,0,0.0234648191271608,0,0.0651965340707091,0,0,0.30860590891194,0,-0.0196891834149081,0,0,0,0,0,0.0275894455745108,0,0,0.229656674693674,0.0862874122205664,0,0,0,0,1.38777878078145e-17,0,-0.00345748273611779,0.00798780168445771,0,0,0,0,0,0
X600066.SH,0,0.0162688366872708,0.0317148135969203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328958098399954,0.161799145343231,0,-0.0790338543032511,-0.0533740622684753,0,0,0.0249931916961126,0,0,0,0,0,0,0,0,0.280656259262215,0,0,0,0.0597207779207213,0,0.0322484463776658,0,0,0.0135918114647721,0,0,0,0,0,0
X002292.SZ,0,0,0.149538012584813,0,0,0,0,0,0,-0.0933598963044188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269627648219556,0.128620866175345,0,0,0,0.146535626729063,0,0,0,0,0.00343875085431057,0,0,0,0,0,0,0.11971118979946,0,0,0,0.276436445071013,0.0324063446505617,0,0,0.0455700319044441,0,0,-0.0358168259193798,-0.0331855594659612,0,0,0,0,0,0
X600060.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.246192696429986,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339689071515294,0.0424956667444634,0,0,0.182841271703033,0.105455059079578,0,0.200153452536324,-1.73472347597681e-18,0,0.109464915702943,0,0,0,0,0,0.0237274300725148,0,0,0,0,0,0,0.0919092931466455,0,0.0031835127544465,-0.000859806368304958,0,0,0,0,0,0
X300124.SZ,0,0,0.121809752461754,0,0,0,0,0,0,0,0,0,0,0,0.128088535111363,0.119826234109778,0,0,0,0.0810809609526669,0,0,0,-0.0991783723262493,0,0.0704237080113449,0,0,0,0,0,0.0219816095041758,0,0,0,0,0.186890659666552,0,0,0,0.147621568485548,0,0,0,0,0,0,0,0,0,0,-0.0196610647518385,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0.0207692567529863,0,0,0,0,0,0,0.073448825375372,0,0,0,0,0.179634302578312,0,0,0,0,0,0,0,0,0,0,0,0.070203122896087,0.18973721216783,0.073309372072162,0,0.0830358133421887,0,0.0819906709261968,0,0,0,0,0,0.190996654648255,0.00184658195774504,0.0297623502266902,0,0,0,0,0,0,0.0054753291545784,0,0,0.0125215044010224,0.00307916220297272,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762480088673145,0,0,0,0,0,0.0898282294038013,0,0,0,0,0,0.0150575307458175,0,0,0.190061965367311,0.124850615274375,0,0,0,0.108934873605717,0,0,0,0,0,0,0.12135217679295,0.0678796830988977,0,0,0,0,0,0,0,0.0567965792062974,0,0.0222385948628173,0,0,0,0,0,0,0
