,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600031.SH,X600809.SH,X600690.SH,X002304.SZ,X002475.SZ,X600104.SH,X000725.SZ,X000661.SZ,X000338.SZ,X300124.SZ,X003816.SZ,X300014.SZ,X000063.SZ,X000100.SZ,X000596.SZ,X000157.SZ,X600703.SH,X002241.SZ,X002129.SZ,X600741.SH,X000625.SZ,X601877.SH,X002179.SZ,X002007.SZ,X002236.SZ,X300142.SZ,X002371.SZ,X002049.SZ,X002414.SZ,X600584.SH,X600183.SH,X601799.SH,X300003.SZ,X000799.SZ,X000800.SZ,X002074.SZ,X002008.SZ,X000066.SZ,X300146.SZ,X600089.SH,X002294.SZ,X000977.SZ,X600707.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0305750258669419,0,0,0,0,0,0,0,0,0.143334636628254,0,0.533254561838257,0,0,0,0,0,0.0436235399909146,0,0,0,-0.0158991518079709,0,0,0.0878305731450615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00304148636836543,0,0,0,0.0297957094199653,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0575594711523243,0,0,0,0,0,-0.101630225148498,0,0,0,0,0,0,0.0350285587554692,0,0,0,0,0,0,-0.0209427914246143,0,0,0,0.00914738837421717,0,0,-0.0964269968968077,0.166310451768519,0.201068721234481,0,-0.0380804982669653,0,0.0281358755866894,0,0,0,0,0,0.00192095017430519,0,0,0,0,-0.0933324293114244,0,0
X000725.SZ,0,0,0.143487889868059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146686295737348,0,0,0.0502782402134896,0.102971651069756,0.0889254408842872,0,0,0,0,0,0,0,0.00103545594218406,0,0.000382811013957077,0,0,0,0.0588535004109981,0.0684169170812448,0,0,0,0,0,0.0454017599375319,0,0,0,0,0,0,0.0331281592381781,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0.0786674700668132,0,0,0,0,0,0,0,0,0,0,0,0,0.133736836176252,0.0338194668776412,0,0.112085982549007,0,0,0,0,0,0.0683715094802489,0.0630688482790345,0,0,-1.0842021724855e-19,0,0,0,0,0,0.158769519259904,0,0,-0.0413650136454534,0.00588512904012415,0,0,0,0.0884462078968829,0,0,0,0,0,-0.0293496334482283,0,0,0,0,0.0220625713055641,0,0
X000338.SZ,0,0,0,-0.0238423728508441,0,0.0586621694202675,0,0,0,0,0,0,0,0,0,0,0,0.130790290458044,0,0,0,0.220941203234036,0,0.0517032633726424,0,0,0,0,0,0,0.0231076162872846,0,0.181924438835674,0,0,-0.00662018223748244,0,0,0,0,0,0,0,-0.0813204608750978,0,0,0,0.0378097297847278,0,0,0,0.0120708236093485,0,0,0,0,0,0,0
X300124.SZ,0,0,0.136163028548383,0,0,0,0.417892014418179,0.0104968010427462,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0338010136929,0,0,0,0,0,0,0.0335079149692686,0,0,0,0,0,0,0,0,0,0,0.064873157882601,0,0,0,0,0,0.139438201836685,0,0.025780458363663,0,0,0,0,0,0,0,0,-0.0651715518528311,0,0,0,-0.0916490155258203,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00888337069863721,0,0,0,0.0400037990068145,0,-0.00830862153903201,0,0,0,0,0,0,8.67361737988404e-19,0,-0.0995161842667329,0,0,0.0171988554925435,0.0122576445597863,-0.0602929029532482,0,0,0,0,0,0.0366252431410269,0,0,0,0.00963484738103797,0.0104728378913401,0,0,-0.00395284575461086,0,0,0,0,0.062356360968453,0,0
X300014.SZ,0,0,0,0,0,-0.0767567453884809,0,0,0,0,0,0,0,0,0,0.0811701678649693,0,0,0,0.224048061975367,0,0,0,0,0,0,0,0,0.196310556224801,0,0,0,0,0,0,-0.0326764846959348,0,0,0,0,0.165105336057806,0.29883447461212,0,-0.145429946108378,0,0.0953683315232491,0,-0.38200923064734,0,0,0,-0.00567709080162941,0,0,0,0,0.680556860078056,0,0
X000063.SZ,0,0,0,0,0,0,0,0.161675714366412,0,0,0,0,0,0.234783687171721,0,0,0,0,0,0,0,0,0,0,-0.133250229429897,-0.153633398502808,0,0,0,0,0,0,0.0609465707831445,0,0,0.403868373655617,0.106901765555029,0.0389807456573109,0,0,0,0,0,0.0453956614248414,0,0,0,0,-0.0265692282054703,0,0,0.0100964222252275,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0.0978309305486778,0,0,0,0,0,0.17472454645017,0,0,0,0,0,0,0,0,0.0991519422382396,0.392225485619338,0,0.192695882916549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150785760613051,0,0,0.228574131484119,0,0,-0.0216193292515823,0,0,0,0,-0.0339732181874865,0,0
