,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000063.SZ,X002304.SZ,X000858.SZ,X000625.SZ,X600031.SH,X600690.SH,X600276.SH,X000100.SZ,X600271.SH,X600372.SH,X600118.SH,X000157.SZ,X600703.SH,X000338.SZ,X002129.SZ,X000559.SZ,X002241.SZ,X600089.SH,X600839.SH,X600741.SH,X600177.SH,X300124.SZ,X002456.SZ,X002236.SZ,X600582.SH,X600066.SH,X002292.SZ,X002475.SZ,X000800.SZ,X002465.SZ,X600060.SH,X600435.SH,X000977.SZ,X300003.SZ,X600198.SH,X601877.SH,X000568.SZ,X000050.SZ,X000581.SZ,X002223.SZ,X300146.SZ,X000623.SZ,X600166.SH,X002294.SZ,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600703.SH,0,0,0,-0.0765277815704066,0,0,0,0,0,0.223704310215099,0,0,0,0,0,0.0709627384411982,0.0215588330614897,0,0,0,0,0,0,0.19114778712986,0,0,0,0,-0.116483263705501,0.0821357033986661,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.115697776350122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000338.SZ,0,0,0.0183705188418721,0,0,0,0,0,0,0.0249427621469596,0,0,0,0,0,0,0.162390094874278,0,0,0,-8.67361737988404e-19,0,0.0660770123681579,0,0,0,0,0,0,0.0537521912987061,0,0,0,0,0,0.00301488173172056,0,0,0,0,0,0.0498246377954676,0,0.0400637079721818,0,0,0,0,0.210832409445278,0,0,0.00309360774505583,0.0018433026183603,0,0,0,0,0,0
X002129.SZ,0,0,0.0865199906459174,0,0,0,0,0,0,0,0,0,0.0864390457166931,0,0,0,0,0,0,0,0.0523920916854654,0,0,0,0,0.313324230602895,0.245437774825442,0,0,0,0,-0.190732731909998,0,0,0,0,0,0.157148645571766,0,0,0,0,0.008683965734978,0,0,0,0,0,0,0,0,-0.00347170792164067,0,0,0,0,0,0,0
X000559.SZ,0,0,0.055340285592026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00939322261225308,0,0.138902218755411,0.0539515232498023,0,0,0,0,0,0.137198699220723,0.0417228482859971,0.111419592149706,0.0956013877418772,0,0.0978941959433312,0,0.0343309075050075,0.053772081597008,0,0,0,0,0,0.0733669302696054,0,0,0,-0.00792459527661389,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0.0293820807811903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00847098217856843,0,0,0.0938036955442495,0,0.0678999828380636,0,0,0,0.22339050447021,0.0273848466600187,0,0,0,0,0.122970194428986,0,0.02734244916794,0.10005799979826,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0123737273373614,-0.012638476125707,0,0,0,0,0,0
X600089.SH,-0.0767228653000124,0,0,0,0,0.256793771149659,1.73472347597681e-18,0,0,0.10947259750622,0,0,0,0,0.127293739991792,0,0,0,0,0.0172726418589188,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.12274246991546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108531785272453,0,0,0,0,0,0,-0.0111037137126821,-0.00458554609364564,0,0,0,0,0,0
X600839.SH,0,0,0,0,0.0217527193707805,0,0,0,0,0,0,0,0.0488964554368367,0,0.0575907994684936,0.0623038670313713,0,0,0,0,0.2028864799902,0,0.155719250895269,0,0,0,0,0,0,0.051006378594701,0,0,0,0.0914041953275972,0,0.0610537954992551,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0800715260296003,0,0,0,0,-0.00981060942587429,-0.00178768142213492,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179892269458298,0,0,0,0.106589399481807,0,0,0,0,0,0.0849002761254311,0,0,0,0,0,0,0,0.277282743110107,0,0,0,0.0745311083408092,0,0,0,0,0,0,0,0,0,0,0,0.0288999315092664,0,-0.00534719985656319,0.0276915266965309,0,0,0,0,0,0
X600177.SH,0,0,0.135402166591893,0.0320258085788882,0,0.185207383178041,0,0,0,0,0.127624845131428,0.237602523804181,0,0,0.080527056015371,0,0,0,0,0,0.0262510024853035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130204514244437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113818580057638,-4.33680868994202e-19,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141645921684039,0,0,0,0,0,0,0,0,0,-0.189480802624631,0,0,0,0,0,0,0,-0.16177532626903,0,0,0.150391624342411,0,0.521112237986093,0,0,0,2.16840434497101e-19,0,0,0,-0.0720689872149619,0.138141889104858,0,0,0,-0.0248986933821834,-0.00605772455744214,0,0,0,0,0,0
X002456.SZ,0,0,0,0.170375019265991,0,0,0,0,0,0,0,0,0,0,0,0,0.269360266119842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443751057832231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349844487852767,0.00650709335198392,0,0,0,0,0,0
X002236.SZ,0,0,0.113018615375055,0,0,0,0,0,0,0,0.0461200544877682,0,0,0.236437233042553,0,0,0,0,0,0,0.0903489497484173,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0989650386444192,0,-0.0113752910292318,0,0,0,0.14892133674669,0,0,0,0,0,0,0,0,0,0,0.162541658226883,0,0,0.0102968670146844,0.0177553527723745,0,0,0,0,0,0
X600582.SH,0,0,0,0,0,0,0,0,0,0,0,0.0497201915772161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149682435777364,0,0,0,0,0,0.306064367808938,-0.00199891887020368,0,0,0,0,0.0599078558824129,0,0,0,0.184382492220886,0,0,0,0.254680122910018,0,0,0,0,-0.0137980240655795,0,0,0,0,0,0,0
X600066.SH,0,0,0,-0.0464773215159957,0,0,0,0,0,0,0,0,0,0.04097625836187,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0482989221607628,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.0757607088585642,0.00842825804270308,0,-0.00691001328486233,0,0,0,0,0,0,4.33680868994202e-19,0.0452704576330464,0,0,0.176738450866218,0,0,0.00653397945953041,0,0,0,0,0,0
X002292.SZ,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105544721213059,0,0,0,0.245674352319937,0.17877746327908,0,0,0,0.00836227726258196,0,0,0,-0.0300736194814283,0,0.0254550390635732,0.0433895039605673,0,0,0,0,0,0,0,0,0,0,0,-0.00513860304151914,-0.017993708142199,0,0,0,0,0,0
X002475.SZ,0,0,0,0.079316764844353,0,0,0,0,0,0,0,0,0,0.0850504012034926,0,0.0861466757106933,0,0.187283812449005,0,0,0,0,0,0,0,0,0.06826533514163,0,0,0.0928488785870748,0,0,0,0,0.0462356269857986,0,0,0,0,0,0,0,0.00727121361858392,0,0.0109577708603417,0,0,0,0,0,0,-0.000741637076010854,0,0,0,0,0,0,0
X000800.SZ,0,0,0,-0.163150972678477,0,-0.175847714328194,0,0,0,0,0,0,0,-0.10722077559108,0.204852429729752,0,0,0,0,0,0,0.32706400158508,0.0903790017445872,0,0.397669509291632,0,-0.249782135614329,0.0489158883055058,0,0,0,0,0,0,0,0.0221617742242759,0,-0.0782547012937063,0,0,0,0,0,0,0,0,0.199500131804755,0,0,-0.00533043835765217,0,0,0.0214095162935113,0,0,0,0,0,0
X002465.SZ,0,0,0.0278894269061158,0,0,0,0,0,0,0,0,0,0,0.0655797535300048,0.0182803220737584,0.10121872521831,0,0,0.114916135282767,0.0434087953375795,0,0.126943431781249,0.0666601610076729,0.0358313521577972,0,0,0,0,0,0,0,0,0.235867709894829,0,0,0,0.175516659123723,0,0,0,0,0,0,0,0.0166770148218742,-8.67361737988404e-19,0,0,0,0,0,-0.00999435094497683,0,0,0,0,0,0,0
