,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600031.SH,X000063.SZ,X600690.SH,X600276.SH,X600372.SH,X000338.SZ,X000157.SZ,X600741.SH,X002241.SZ,X600089.SH,X600703.SH,X000100.SZ,X601877.SH,X000623.SZ,X600118.SH,X000581.SZ,X002236.SZ,X000550.SZ,X000568.SZ,X000559.SZ,X600066.SH,X000050.SZ,X600271.SH,X600177.SH,X002475.SZ,X600839.SH,X002294.SZ,X000869.SZ,X000400.SZ,X002456.SZ,X000800.SZ,X300124.SZ,X002129.SZ,X600435.SH,X002292.SZ,X002465.SZ,X002007.SZ,X300003.SZ,X002038.SZ,X600809.SH,X600252.SH,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600839.SH,0.234707921970738,0,0.107961754612964,0,0,0,0,0,0,0.0433613043631904,0.00398650514294209,0,0,0,6.93889390390723e-18,0,0.152026782115124,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0717609051022134,0,0,0,0,0.188977079092145,0,0,0,0,0,0,0,0,0.0950984211665282,0,0,0.0200711068794273,0,0,0,0.0369206405901274,-0.109294429123482,0,0,0,-0.0736126466016376,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0593064307046589,0.094872839555476,0,0,0,0,0,0.181623162876048,0,0.0710637576861136,0,0,0,0.117350093347746,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.102847988131985,0,0.0742105813619769,0,0,0,0,0,0,0.00399201493884959,0,0.0274931557495925,-0.0458626167939142,0,0,0,-0.0616198354920723,0,0
X000869.SZ,0,0,0.136053011897629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354700032876185,0,0.0273844723455804,0,0,-0.0830823585425393,0,0,0,0,0,0.0160540996297104,0.0355103007818271,0,0.0785780491838403,0.0200980924008065,0,0,0,0.180774861190019,0,0,0,-0.053780648415993,0.127590979463099,0,0,0,0,0.472609100557864,0.0463258693197291,0.0745159615259466,0,0.0242334114104733,-0.0301358988977312,0,0,0,0,0,0
X000400.SZ,0,0.0423747486780959,0,0,0,0,0,0,0,0.130880410636026,0,0,0.0955164362948746,0,0,0.128461745485288,0,0,0.0501523152113249,0,0,0,0,0,0.0501711773089298,0.0018816326266131,0,0,0,0,0,0,0,0,0.00198745575755058,0,0,0,0,0,0.0581632442591795,0,0,-1.73472347597681e-18,-0.063336707077705,0,0,0,0,0,0,0.00207660455529004,0,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236785416140065,0,0,0,0,0,0,-0.0425903239896312,0,0.263672618570548,0,0,0,0,0.0304418889708638,0.0917872641722313,0,0.00517724047669038,0,0,0.0171141717103273,0,0,-0.0780498538548242,0,0,0,0,0,0,0,0,0,0,0.032057319400588,0,-0.0189738671656154,0.02298152914084,0.0150078000420247,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0397198882757426,0,0.152772707162842,-3.46944695195361e-18,0,0,0.0520868331959461,0,0,0,0,0,0.101718436928466,0,-0.0601054335382452,0,0,0,0,0,0,0.0639918433583877,0.0269927238483941,0,0.151825341952556,0.0307976262288857,0,0,0,0,0,0,0.00226529293348383,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,-0.243687317804558,0,0,0,0,0,0,0.102575493235141,0,0,0,0,0,0,0.00318862448746025,0,0,0,0,0.554337960836453,0.124293923078419,0,0,0,0.263379173229704,0.115542413079364,0,0,0.0673426511615218,-0.421580093290286,0,0,0,0,0,0.0694236822493771,0,0.0801312546337608,0,0,0,0,0,0,0.125354098217734,0,-0.00948843775284242,0.0764743538211018,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0.0234443035338747,0,0.0351398376694697,0,0,0,0,0,0,0,0.0200381001244691,0,0.0532492248949666,0,0,0,0,0,0,0.0288405093577659,0,0,0,-0.0105703331622181,0,0,0.205819863627099,0,0.128580476009317,0.412497622082543,0,0,0,0.00381125561825636,-3.46944695195361e-18,0.0943241252711509,0,0,0,0,0,-0.0735935536754198,0.0603254207021352,0.0836175412867912,0,0,0,0,0
X600435.SH,0,0,0,0,0,0.121344913762927,0,0,0,0,0,-0.214583835720988,0.202553162861924,0,0,0,0,-0.0500206185708962,0,0,0,0,0,0,0,0,0,-0.0183590253730031,0,0,0,0,0,0,0,0,0,0,0.132520963289831,0,0,0,0.532033530192157,0.415274937082963,0,0,0,-0.0204094206457559,0,0,0,0.00523106383549116,-0.0580671066654933,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0.121019825145742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688061492280041,0.112203513659353,0.0154342825229072,0,0,0,0,0.0689314518199312,0,0,0,0,0,0,0.0833590595105664,0,-6.93889390390723e-18,0,0.105183737968155,0,0,0,0.00548028369118209,0,0,0,0.083027092803619,0,0.0478242975068019,-0.118291077613495,0,0,0,0,0,0
X002465.SZ,0.0655262266902283,0,0,0,0,0,0,0,0,0,0,0,0.18814799102701,0,0,0,0,0,0,0,0,0,0.0322603266099826,0,0,0,0,0,0,0,0.217399982422302,0,0,0,0,0,0,0,0,0,0.258468911277889,0.0872211689266562,0,0,0.0388286865422018,0.142229441832324,0,0,0,0,0,0,0.0978099064822093,0,0,0,0,0,0
X002007.SZ,0,0,0.0429069081789276,0.0450033798297185,0,0,0,0,0,0.168065127524237,0,0,0,0,0,0,0,0,0,0.201740452518607,0,0,0,0,0,0,0,0.0277964666086653,0,0,0.0511953495681787,0,0,0,0,0,0,0.155327222963026,0,0.147913427403102,0.0993936256112531,0,0,0,0,0,0,0,0.305189785778793,0.0651005164643142,0,-0.00502683246632067,0,0,-0.103937625232406,0,-0.00655405893813511,0,0
X300003.SZ,0,-0.136923522532299,0,0,0,0.0490543135914719,0,0,0,0,0,0,0,0,0,0.256905003948447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158494937467559,0,0.344820916551002,0,0,0,0,0.0420146375968911,0,0.122651129494779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418921570200847,0,0
X002038.SZ,0,0,0,0.133905154576596,0,0,0,0.419718499556148,0,0,0,-1.38777878078145e-17,0.0323340672175705,0,0,0.129395042736032,0,-0.10050760978104,0,0.0290043837757103,0,0,0,0,-0.0219729221150227,0,0,0.0256208491346718,0,0,0,0,0,0,0,0,0,0,0,-0.0139351048529828,0,0,-0.230451609905085,0,0.0515702908876913,0,0,0,-0.0828605092682944,-0.0251378370630807,0,0.0677111951474699,-0.0685976433725812,0.161544623864797,0,0,0.147695646456822,0,0
X600809.SH,0,0,0,0,0,0,0.516318300679494,0.0994145236838146,0,0,0.0136061163740112,0.243776844068929,0,0,0,0,0,0.0145036031290764,0,0,0,0,0,0,0,-0.198177638188278,0.605946584768894,0,-0.0591960099159797,0,0,0,0,0,0,0.284177775374409,0,0,0,0,0,-0.0949520620937737,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.00243203235393401,-0.0156702356972917,0,0,0,0,0,0
X600252.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0126423145547667,0.105636408070427,0,0,0,0,0,0,0,0.127104405755598,0,0.0674774130391227,0,0,0,0,0,0,0.123556802351115,0,0,0,0,0.0496041378117521,0.0528398427358382,0.0400063394259192,0,0.0479270923367704,0,0,0.0137878026513038,0,0.0723617714237705,0,0,-5.42101086242752e-20,0,0,0,0.0119263227387188,-0.0116819764287451,0.0241686975568768,0,0,0,0,0
X300146.SZ,0,0,0,0,0,0,0,0.267183612064125,0,0,0,0,-0.239135231458494,0,0,0.0658110833321278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15204644391047,0,0,0.0230646195847698,0,0,0,0,0,0.302934359320715,0.0267281158766476,6.93889390390723e-18,0.0561263332413584,0,0,0,0,0,0,0,0,-0.00852768116314995,0.0602163645651554,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0.0299021360181812,0,0.122549029748634,0,0,0,0,0.10023400706661,0,0,0,0,0,0,0,0,0,0,-0.0335712654190946,0,0,0,0,0,0,-0.0319228505856589,0,0,0,0,0.142741967059644,0,-0.243703436044176,-0.117662092905461,0,0,0,0,0,0.0293039209140279,-0.0621979662674344,-0.0914374443156378,0,0,0,0,0
Slope,0,0,0.921388947671093,0,0,0,0,0,0.417931533065143,0,0,0,0,0,0,-0.789951733602603,0,0,0,0,0,0.0453105029460904,0.442259639848396,0,0,0,0,0,0,0,0,0,-0.124483455851158,0,0,0,0,0,0,0.132593329360299,0,0.263446924502907,0,0,0,0,0.00169508042453431,0,0,0,0,0,0.387556558987086,0.539878512917667,0,0,0,0,0
TED,0,0,0,0,0,0,0,0.360131375737361,0,0,0,0.0275370714382721,0.100702776787092,0,0,0,0.421303076873863,0,0,-0.181232475485725,0,-0.501061858856477,0,0,0,0,0,0,0,0,0.397720897385303,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.212355905869959,0,0,0,0,0,0,-0.429265073484902,0.542674435089027,0,0,0,0,1.00869163108001,0,0
RealEstate_excess,0,0,-0.0210824893244393,-0.262409384389351,-0.0320547674963036,0,0,0,-0.154245788332251,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-0.0411771702979076,0,0,0,-0.146484983545965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0920956122855297,0,0,0,0,0.0258889619742139,-0.0851982631179118,0,0,0,-0.0523187018415547,0,0
MKreturn,-0.0488843566216188,0,0.0212324679172221,0,0,0,0,0,0,0,0,-0.0724620143473398,0.0438664142651759,0.0308381515605585,0,0,0,0,0,0,0,0.0553237625858916,0,0,-0.0130979262256504,1.0842021724855e-19,0,0,0,0,-0.0300738055833226,0,0,0.000520493012219027,0,0,0,0,0,0,-0.179705328210854,0,0,0,0.0457977138838086,0,0,0,0,0,0,0.0012103593484361,1.05879118406788e-22,0,0,0,0.0950485545684015,0,0
MKvol,0,0,0,0,0,0,0,0,0.000148492789672509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000389125914252205,0,0,0,0,0,0,0,0,0.00198692645546047,0,0,0,0.000715841760714264,-0.00135522450389131,-0.0022560538535459,0,0,0,0.00115880648145607,0,-0.00089406937212881,-0.000768554179847228,0,0,0,0.00295647794347967,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0747357401533851,0,0,0,0,0,0,0,0,0,-0.0662209313077552,0,0,0,0,0,0,0
